alias,full_name
A Sabalenka,Aryna Sabalenka
I Swiatek,Iga Swiatek
C Giorgi,Camila Giorgi
E Rybakina,Elena Rybakina
K Siniakova,Katerina Siniakova
L Fruhvirtova,Linda Fruhvirtova
M Vondrousova,Marketa Vondrousova
R Sabalenka,Aryna Sabalenka
D Kasatkina,Daria Kasatkina
J Pegula,Jessica Pegula
M Kostyuk,Marta Kostyuk
L Fernandez,Leylah Fernandez
B Krejcikova,Barbora Krejcikova
L Samsonova,Liudmila Samsonova
M Sherif,Mayar Sherif
