market_id,player_1,player_2,odds_player_1,odds_player_2,match_id,actual_winner,winner_name,loser_name,match_date
1.226774724,Despina Papamichail,Caijsa Wilda Hennemann,2.0,2.0,53c9cb2635,,,,
1.226775815,Fabio Fognini,Arthur Gea,26.0,1.01,623e1c992a,,,,
1.226776868,Nicolas Moreno de Alboran,Cristian Garin,2.88,1.54,22461a5deb,,,,
1.22677709,Tatiana Pieri,Martina Colmegna,1.6,2.66,ffede09563,,,,
1.226780132,Ekaterina Alexandrova,Danielle Collins,1000.0,1.68,4a989ea8bc,,,,
1.226781629,Errani/Paolini,Kenin/Mattek-Sands,2.0,1.85,820c7fb789,,,,
1.226783899,K Krawietz / T Puetz,I Dodig / A Krajicek,2.64,1.6,421dd2da81,,,,
1.226784531,Gastao Elias,Nikolas Sanchez Izquierdo,6.4,1.01,c3b7da7e7d,,,,
1.226784605,Pucinelli De Almeida M,Felipe Meligeni Rod,3.25,1.45,b3330846d2,,,,
1.226784631,Reis D S/Torres,Romboli/Zormann D S,3.25,1.45,be2d2bbe43,,,,
1.226784657,Collarini/Olivo,Demoliner/Luz,2.58,1.63,07f175672d,,,,
1.226784664,Mona Barthel,Celine Naef,4.9,1.25,0b920a7e49,,,,
1.226784844,Sapfo Sakellaridi,Jennifer Ruggeri,1.01,6.2,ba4cadf0a7,,,,
1.226784946,Julieta Estable,Raluca Georgiana Serban,3.25,1.45,a3bd201784,,,,
1.226786533,Jannik Sinner,Daniil Medvedev,1.57,1000.0,e48bb32cd0,Jannik Sinner,Jannik Sinner,Daniil Medvedev,2024-03-18
1.226786731,Nicolas Mejia,Thiago Agustin Tirante,3.1,1.47,1eaf74ee78,,,,
1.226788341,Jessica Bouzas Maneiro,Polina Kudermetova,1.03,26.0,f153e7daeb,,,,
1.226794743,Olga Danilovic,Simona Waltert,50.0,1.01,9ddf7492d7,,,,
1.226795846,Zeynep Sonmez,Moyuka Uchijima,1.83,2.2,5250a8cd69,,,,
1.226800197,Destanee Aiava,Lanlana Tararudee,100.0,1.01,96a52c401f,,,,
1.226800419,Polona Hercog,Irinia-Camelia Begu,36.0,1.44,992d573c31,,,,
1.226807221,Pichler/Soto,Bellier/Huesler,3.05,1.45,299d03be94,,,,
1.226812068,Goncalo Oliveira,Juan Pablo Varillas,990.0,1.01,e63953f724,,,,
1.226817731,Radu Albot,Javier Barranco Cosano,2.54,1.06,ef171d9a4d,,,,
1.226817735,Pedro Martinez,Jesper De Jong,1.71,990.0,de1f4dcce4,,,,
1.226817747,Corentin Moutet,Nikoloz Basilashvili,1.72,2.4,16c7d10f8c,,,,
1.226817835,Ugo Blanchet,Francesco Passaro,2.92,1.53,066bd9e5f2,,,,
1.226817939,Benjamin Hassan,Cristian Garin,1.01,100.0,50a5fcc117,,,,
1.226818552,Nadia Podoroska,Lucrezia Stefanini,1.32,4.2,f738a4e7bd,,,,
1.226819072,Francesca Jones,Robin Montgomery,1.09,10.0,46356664e7,,,,
1.226829058,Marcelo Tomas Barrios Vera,Matias Soto,1.53,3.15,2cfae2c398,,,,
1.226829062,Marino/Navarro Oliva,Pigossi/Piter,15.5,1.07,7ab18e95d9,,,,
1.226829066,Anne Schaefer,Alice Rame,3.2,1.46,db36e7eeda,,,,
1.226829164,Orlando Luz,Adolfo Daniel Vallejo,1.64,2.58,eca1cca1f4,,,,
1.226829799,Suzan Lamens,Julia Riera,100.0,1.84,2dae446a51,,,,
1.226829951,Danielle Collins,Elena Rybakina,1.01,1000.0,565cd38e2c,,,,
1.226832825,Mona Barthel,Margaux Rouvroy,2.18,1.82,b3e5136510,,,,
1.226832827,Buvaysar Gadamauri,Hazem Naw,4.1,1.32,e4cb8203f8,,,,
1.22683283,Ergi Kirkin,Marcello Serafini,1.16,7.0,64e49321d7,,,,
1.226833009,Pierre-Hugues Herbert,Arthur Gea,1.92,2.0,d40a0b0af4,,,,
1.226834974,Grigor Dimitrov,Alexander Zverev,2.44,1000.0,57e7a54497,Grigor Dimitrov,Grigor Dimitrov,Alexander Zverev,2024-03-18
1.226835601,Enzo Couacaud,Camilo Ugo Carabelli,3.35,1.38,94c3239ecd,,,,
1.226840542,Simona Waltert,Jessica Bouzas Maneiro,100.0,1.01,0ba91cfed7,,,,
1.226841896,Alexis Galarneau,Giovanni Mpetshi Perricard,2.92,1.52,54304c130c,,,,
1.226848641,Moyuka Uchijima,Irinia-Camelia Begu,2.3,1.01,a7d97af3d5,,,,
1.226849708,Radu Albot,Nikolas Sanchez Izquierdo,1.45,3.1,1991dcda15,,,,
1.226855133,Benjamin Hassan,Pedro Martinez,50.0,1.01,b1c66a132c,,,,
1.226855399,Dominika Salkova,Viktoria Hruncakova,100.0,1.01,d2f26a9437,,,,
1.226862051,Mai Hontama,Gabriela Lee,1.57,2.74,df601969f0,,,,
1.226862059,Robin Anderson,Ann Li,2.94,1.51,3644b12e1a,,,,
1.226862084,Haley Giavara,Mccartney Kessler,8.6,1.13,4c0e50800c,,,,
1.226862208,Lauren Davis,Sachia Vickery,21.0,1.04,a147ae1f5a,,,,
1.226862311,Katherine Sebov,Katie Volynets,100.0,1.21,b4f37ce75a,,,,
1.226862386,Linda Fruhvirtova,Nicole Melichar-Martine,1.27,4.7,c2e353451e,,,,
1.226862429,Sophie Chang,Claire Liu,5.1,1.28,319b3288a9,,,,
1.226863232,Ana Sofia Sanchez,Anca Alexia Todoni,50.0,1.26,0aff47f333,,,,
1.226863322,Xiaodi You,Maria Jose Sanchez Urib,1.01,110.0,ba9242505e,,,,
1.226863337,Elvina Kalieva,Jana Kolodynska,1.09,7.2,1dbef3e4db,,,,
1.226863444,Dalila Jakupovic,Fanny Stollar,26.0,1.01,0cb27766a0,,,,
1.226863657,Varvara Lepchenko,Carol Zhao,1.09,12.5,575371450c,,,,
1.226863705,Harmony Tan,Katarina Kozarov,1.22,5.6,fe22e157d4,,,,
1.226863707,Francesca Jones,Julia Riera,1.08,13.5,bb4cc6626c,,,,
1.226870126,Nadia Podoroska,Elisabetta Cocciaretto,1.02,110.0,fae14bdbe5,,,,
1.226875464,Denis Kudla,Nicolas Mejia,1.65,2.56,17b31ce9ee,,,,
1.22687609,Grigor Dimitrov,Jannik Sinner,4.4,1.28,6ce06b8cd2,Jannik Sinner,Jannik Sinner,Grigor Dimitrov,2024-03-18
1.226876196,Mate Valkusz,Jaime Faria,1.97,1.99,7edebde480,,,,
1.226876204,Pablo Llamas Ruiz,Eric Vanshelboim,1.2,5.8,8a9ac4e593,,,,
1.226877172,Francesco Passaro,Luca Nardi,3.0,1.5,1705720b72,,,,
1.226877211,Lucas Pouille,Frederico Ferreira Silva,1.56,3.1,b1cf73a84b,,,,
1.226877215,Matias Soto,Giovanni Mpetshi Perricard,3.05,1.53,70b667aff0,,,,
1.226880184,Brandon Holt,Martin Damm,2.86,1.71,f39ba62f29,,,,
1.226880188,Valentin Vacherot,Ethan Quinn,1.54,2.86,9c46f6452d,,,,
1.226880192,Yibing Wu,Clement Tabur,1.93,2.16,12b7857d5e,,,,
1.226880196,Stefan Kozlov,Denis Yevseyev,1.96,1.94,ec5b940a62,,,,
1.226882025,Irinia-Camelia Begu,Jessica Bouzas Maneiro,50.0,1.01,8648a33045,,,,
1.226891377,Radu Albot,Pedro Martinez,2.86,1.58,ba441b8b1e,,,,
1.226893861,Miriam Bulgaru,Victoria Jimenez Kasint,1.79,1.07,82f066d835,,,,
1.226894974,Adolfo Daniel Vallejo,Felipe Meligeni Alves,1.01,1.48,17ac819732,,,,
