player,bet_side,matches_played,total_profit,roi_percent
Lin Zhu,P1,4,2.2800000000000002,57.00000000000001
Linda Fruhvirtova,P2,29,6.859999999999999,23.655172413793103
Linda Noskova,P1,4,1.6499999999999997,41.24999999999999
Liudmila Samsonova,P2,78,13.729999999999993,17.602564102564095
Lloyd Harris,P1,36,73.79,204.97222222222226
Lloyd Harris,P2,81,33.57999999999999,41.45679012345678
Lorenzo Sonego,P1,6,2.03,33.83333333333333
Mackenzie McDonald,P2,34,53.67,157.85294117647058
Madison Keys,P2,37,8.579999999999998,23.189189189189182
Magda Linette,P1,68,15.739999999999995,23.147058823529406
Magda Linette,P2,4,5.44,136.0
Magdalena Frech,P2,10,-0.2400000000000002,-2.400000000000002
Marco Cecchinato,P1,44,-44.0,-100.0
Marcos Giron,P2,48,-48.0,-100.0
Maria Sakkari,P1,36,0.4699999999999993,1.3055555555555536
Maria Sakkari,P2,30,5.739999999999997,19.133333333333322
Marie Bouzkova,P2,82,29.74,36.26829268292683
Marta Kostyuk,P1,31,3.949999999999999,12.741935483870964
Marton Fucsovics,P2,59,35.37,59.94915254237287
Maryna Zanevska,P2,69,-69.0,-100.0
Matteo Arnaldi,P2,84,70.77000000000001,84.25000000000001
Matteo Berrettini,P2,2,-2.0,-100.0
Mattia Bellucci,P2,7,-7.0,-100.0
Michael Mmoh,P2,88,113.75999999999999,129.27272727272728
Mikael Ymer,P1,1,-1.0,-100.0
Miomir Kecmanovic,P1,41,-41.0,-100.0
Miomir Kecmanovic,P2,4,-4.0,-100.0
Mirra Andreeva,P1,3,0.9099999999999999,30.33333333333333
Na Lae Han,P2,79,-79.0,-100.0
Nicolas Jarry,P2,103,57.13999999999999,55.475728155339795
Nicolas Moreno De Alboran,P2,86,-86.0,-100.0
Oleksii Krutykh,P2,54,-54.0,-100.0
Ons Jabeur,P1,63,7.360000000000001,11.682539682539684
Pablo Carreno Busta,P1,60,5.810000000000001,9.683333333333335
Pavel Kotov,P1,36,-36.0,-100.0
Pedro Cachin,P2,47,-47.0,-100.0
Petra Kvitova,P2,90,-16.730000000000004,-18.588888888888896
Petra Martic,P1,8,5.79,72.375
Peyton Stearns,P1,4,1.96,49.0
Qinwen Zheng,P2,132,-10.72,-8.121212121212121
Quentin Halys,P2,45,-45.0,-100.0
Radu Albot,P2,87,-87.0,-100.0
Rafael Nadal,P2,15,1.29,8.6
Rebecca Peterson,P2,44,-44.0,-100.0
Rebeka Masarova,P2,36,-36.0,-100.0
Richard Gasquet,P1,1,-1.0,-100.0
Richard Gasquet,P2,46,-46.0,-100.0
Rinky Hijikata,P1,33,32.66,98.96969696969695
Rinky Hijikata,P2,45,34.480000000000004,76.62222222222223
Roberto Bautista Agut,P2,41,4.170000000000002,10.170731707317078
Sara Sorribes Tormo,P2,17,11.709999999999999,68.88235294117646
Sebastian Baez,P2,83,144.99,174.6867469879518
Sebastian Korda,P1,34,7.0799999999999965,20.823529411764696
Sebastian Korda,P2,45,-41.74,-92.75555555555556
Sebastian Ofner,P2,83,-6.900000000000001,-8.313253012048195
Shelby Rogers,P2,32,4.789999999999997,14.968749999999991
Sho Shimabukuro,P2,45,-45.0,-100.0
Shuai Zhang,P2,52,5.510000000000002,10.596153846153848
Sloane Stephens,P2,6,-6.0,-100.0
Sofia Kenin,P2,55,33.65,61.18181818181818
Sorana Cirstea,P2,42,11.99,28.547619047619047
Stefano Travaglia,P1,45,-45.0,-100.0
Stefanos Tsitsipas,P2,62,15.059999999999999,24.290322580645157
Steve Johnson,P1,46,-46.0,-100.0
Storm Hunter,P2,25,-25.0,-100.0
Tallon Griekspoor,P2,118,-52.69,-44.652542372881356
Taro Daniel,P2,69,-69.0,-100.0
Tatjana Maria,P2,9,-9.0,-100.0
Taylor Townsend,P2,32,14.979999999999999,46.81249999999999
Thanasi Kokkinakis,P2,17,3.1799999999999984,18.705882352941167
Timofey Skatov,P2,86,946.51,1100.593023255814
Titouan Droguet,P2,47,281.18,598.2553191489362
Tomas Martin Etcheverry,P2,84,45.32,53.95238095238095
Ugo Humbert,P2,155,-17.349999999999998,-11.193548387096772
Varvara Gracheva,P2,4,-4.0,-100.0
Veronika Kudermetova,P2,104,-26.590000000000007,-25.5673076923077
Victoria Azarenka,P2,84,-17.330000000000002,-20.630952380952383
Yafan Wang,P2,5,5.9,118.0
Yanina Wickmayer,P2,83,40.23,48.46987951807228
Yannick Hanfmann,P2,76,-76.0,-100.0
Yibing Wu,P2,79,58.02,73.44303797468355
Yoshihito Nishioka,P2,121,-50.74,-41.93388429752066
Yosuke Watanuki,P2,47,-47.0,-100.0
Yu Hsiou Hsu,P2,87,374.14,430.04597701149424
Yulia Putintseva,P2,6,-6.0,-100.0
Zachary Svajda,P2,45,-45.0,-100.0
Zhizhen Zhang,P2,81,30.900000000000002,38.148148148148145
Zizou Bergs,P2,52,-52.0,-100.0
