match,stake,odds,won,payout,bankroll
,50.0,4.2,True,210.0,1160.0
,58.0,4.0,True,232.0,1334.0
,66.7,2.24,True,149.40800000000002,1416.708
,70.8354,2.08,True,147.337632,1493.2102320000001
,74.6605116,1.74,True,129.909290184,1548.4590105840002
,77.42295052920002,1.71,True,132.39324540493203,1603.4293054597322
,80.17146527298661,1.31,True,105.02461950761246,1628.282459694358
,81.4141229847179,1.3,True,105.83835988013328,1652.7066965897734
,82.63533482948867,1.27,True,104.94687523345061,1675.0182369937354
,83.75091184968677,1.58,False,0.0,1591.2673251440485
,79.56336625720243,1.54,True,122.52758403609175,1634.231542922938
,81.71157714614691,1.54,True,125.83582880506624,1678.3557945818573
,83.91778972909287,1.59,True,133.42928566925767,1727.8672905220221
,86.39336452610111,1.61,False,0.0,1641.473925995921
,82.07369629979605,1.48,False,0.0,1559.400229696125
,77.97001148480626,1.48,True,115.39561699751327,1596.8258352088321
,79.8412917604416,1.46,True,116.56828597024474,1633.5528294186352
,81.67764147093176,1.45,True,118.43258013285104,1670.3077680805545
,83.51538840402773,1.41,True,117.7566976496791,1704.5490773262059
,85.2274538663103,1.4,True,119.3184354128344,1738.64005887273
,86.9320029436365,1.39,True,120.83548409165473,1772.5435400207482
,88.62717700103741,1.39,True,123.19177603144199,1807.1081390511529
,90.35540695255764,1.81,True,163.54328658412933,1880.2960186827245
,94.01480093413623,1.36,True,127.86012927042529,1914.1413470190134
,95.70706735095068,1.3,True,124.41918755623588,1942.8534672242986
,97.14267336121493,1.29,True,125.31404863596727,1971.024842499051
,98.55124212495255,1.32,True,130.08763960493738,2002.5612399790357
,100.1280619989518,2.4,True,240.30734879748428,2142.740526777568
,107.1370263388784,1.43,True,153.2059476645961,2188.809448103286
,109.4404724051643,1.63,True,178.3879700204178,2257.7569457185396
,112.88784728592698,1.68,True,189.6515834403573,2334.52068187297
,116.7260340936485,1.62,False,0.0,2217.794647779321
,110.88973238896607,2.72,True,301.6200720979877,2408.524987488343
,120.42624937441715,1.41,True,169.80101161792817,2457.899749731854
,122.89498748659271,2.12,True,260.5373734715766,2595.542135716838
,129.7771067858419,1.65,True,214.13222619663912,2679.897255127635
,133.99486275638176,2.48,True,332.30725963582677,2878.20965200708
,143.91048260035402,2.46,True,354.0197871968709,3088.3189566035967
,154.41594783017985,3.4,True,525.0142226226114,3458.9172313960285
,172.94586156980142,1.4,True,242.12420619772197,3528.095576023949
,176.40477880119747,2.0,True,352.80955760239493,3704.5003548251466
,185.22501774125735,3.75,True,694.593816529715,4213.869153613604
,210.6934576806802,3.2,True,674.2190645781767,4677.394760511101
,233.86973802555505,3.0,True,701.6092140766651,5145.13423656221
,257.25671182811055,2.3,True,591.6904372046542,5479.567961938754
,273.9783980969377,1.45,True,397.26867724055967,5602.858241082376
,280.14291205411877,1.84,True,515.4629581795785,5838.178287207836
,291.9089143603918,3.25,True,948.7039716712734,6494.973344518718
,324.7486672259359,4.4,True,1428.894135794118,7599.1188130868995
,379.955940654345,3.3,True,1253.8546041593384,8473.017476591893
,423.6508738295947,2.32,True,982.8700272846596,9032.236630046958
,451.61183150234797,1.85,True,835.4818882793438,9416.106686823954
,470.80533434119775,1.7,True,800.3690683800362,9745.670420862793
,487.2835210431397,1.58,True,769.9079632481607,10028.294863067813
,501.41474315339065,2.1,True,1052.9709606221204,10579.851080536542
,528.9925540268272,1.58,True,835.808235362387,10886.666761872102
,544.3333380936051,1.7,True,925.3666747591286,11267.700098537625
,563.3850049268813,1.47,True,828.1759572425154,11532.49105085326
,576.624552542663,1.45,True,836.1056011868612,11791.972099497458
,589.598604974873,1.82,True,1073.069461054269,12275.442955576853
,613.7721477788426,1.45,True,889.9696142793218,12551.640422077333
,627.5820211038667,1.64,True,1029.2345146103414,12953.292915583808
,647.6646457791904,1.87,True,1211.132887607086,13516.761157411704
,675.8380578705852,1.28,True,865.072714074349,13705.995813615467
,685.2997906807734,1.24,True,849.771740444159,13870.467763378852
,693.5233881689427,1.32,True,915.4508723830044,14092.395247592915
,704.6197623796457,1.58,True,1113.2992245598402,14501.07470977311
,725.0537354886555,1.67,True,1210.8397382660546,14986.860712550508
,749.3430356275254,1.75,True,1311.3503123481694,15548.867989271152
,777.4433994635576,1.43,False,0.0,14771.424589807593
,738.5712294903797,1.41,True,1041.3854335814353,15074.238793898649
,753.7119396949324,1.39,True,1047.659596175956,15368.186450379671
,768.4093225189836,1.32,True,1014.3003057250584,15614.077433585746
,780.7038716792873,1.28,True,999.3009557494878,15832.674517655947
,791.6337258827974,1.54,False,0.0,15041.04079177315
,752.0520395886575,1.67,False,0.0,14288.988752184492
,714.4494376092247,1.7,True,1214.5640439356819,14789.103358510949
,739.4551679255475,1.77,False,0.0,14049.648190585402
,702.4824095292702,1.43,True,1004.5498456268563,14351.715626682988
,717.5857813341495,1.77,False,0.0,13634.129845348838
,681.706492267442,1.28,True,872.5843101023257,13825.007663183722
,691.2503831591862,1.79,True,1237.3381858549433,14371.09546587948
,718.554773293974,1.55,True,1113.7598986056598,14766.300591191166
,738.3150295595583,1.65,True,1218.2197987732711,15246.205360404878
,762.3102680202439,1.55,True,1181.5809154313781,15665.476007816012
,783.2738003908007,1.72,True,1347.2309366721772,16229.43314409739
,811.4716572048695,1.4,True,1136.0603200868172,16554.021806979337
,827.7010903489669,1.37,True,1133.9504937780848,16860.271210408457
,843.0135605204229,1.33,False,0.0,16017.257649888033
,800.8628824944017,1.75,True,1401.510044365203,16617.904811758835
,830.8952405879418,1.3,False,0.0,15787.009571170893
