matchup+side,bets,wins,winrate,total_staked,profit,roi
Donna Vekic vs Oksana Selekhmeteva (p1),68,68,1.0,1.3035979631405108e+54,3.931546466773648e+53,30.16
Karolina Pliskova vs Xiyu Wang (p1),67,67,1.0,3.404585923924739e+54,9.734619172444924e+53,28.59
Bianca Andreescu vs Marie Bouzkova (p1),1,1,1.0,3.256871516261769e+47,8.793553093906778e+46,27.0
Jaimee Fourlis vs Linda Fruhvirtova (p2),4,4,1.0,4.314259095285109e+51,1.1224989638518107e+51,26.02
Bernarda Pera vs Moyuka Uchijima (p1),33,33,1.0,8.266017245889031e+49,2.123506698172592e+49,25.69
Anna Blinkova vs Madison Keys (p2),2,2,1.0,5.535305458934485e+50,1.4118445775504503e+50,25.51
Alison Van Uytvanck vs Petra Kvitova (p2),6,6,1.0,8.954808701796876e+48,2.2123049084466004e+48,24.71
Magda Linette vs Mayar Sherif (p1),60,60,1.0,8.112351272621281e+54,1.911979092035846e+54,23.57
Hubert Hurkacz vs Lorenzo Sonego (p1),6,6,1.0,4.907872579945366e+35,1.1447891713033065e+35,23.33
Cristina Bucsa vs Eva Lys (p1),1,1,1.0,3.186762736068268e+47,7.010878019350186e+46,22.0
Jasmine Paolini vs Liudmila Samsonova (p2),2,2,1.0,2.9994710716090315e+53,6.298889250378966e+52,21.0
Barbora Krejcikova vs Sara Bejlek (p1),22,22,1.0,4.030659886912445e+50,8.408729661032899e+49,20.86
Sebastian Korda vs Yosuke Watanuki (p1),26,26,1.0,3.972995468174485e+37,8.141493454128161e+36,20.49
Juncheng Shang vs Oscar Otte (p1),6,6,1.0,1.7270888335868574e+25,3.513032505605015e+24,20.34
Maryna Zanevska vs Veronika Kudermetova (p2),2,2,1.0,6.863938830400851e+53,1.37278776608017e+53,20.0
Elena Rybakina vs Kaja Juvan (p1),3,3,1.0,1.5485312113605175e+54,3.097062422721034e+53,20.0
Alejandro Davidovich Fokina vs Alexander Bublik (p1),8,8,1.0,1.024638163320267e+30,1.967445951069228e+29,19.2
Casper Ruud vs Tomas Machac (p1),74,74,1.0,1.7207471143017973e+36,3.2028855240696847e+35,18.61
Maria Sakkari vs Yue Yuan (p1),1,1,1.0,3.4785993290888703e+47,5.913618859451077e+46,17.0
Frances Tiafoe vs Juncheng Shang (p1),18,18,1.0,1.3230749255851185e+36,2.2492273734947003e+35,17.0
Denis Shapovalov vs Taro Daniel (p1),36,36,1.0,2.130731394189848e+36,3.5130323759674254e+35,16.49
