player_1,player_2,odds_player_1,odds_player_2,p_model,ev_p1_model,ev_p2_model,winner_name
Jiri Lehecka,Marcos Giron,1.48,2.65,0.57930424676944,-0.14262971478122877,0.11484374606098391,Marcos Giron
Aslan Karatsev,Frances Tiafoe,1.85,1.94,0.427274344587177,-0.20954246251372255,0.11108777150087668,Frances Tiafoe
Borna Coric,Pedro Cachin,1.43,3.05,0.6188003097410838,-0.11511555707025023,0.16265905528969427,Borna Coric
Karen Khachanov,Radu Albot,1.18,5.0,0.7508411825972378,-0.11400740453525948,0.24579408701381134,Karen Khachanov
Juan Pablo Varillas,Roberto Bautista Agut,2.8,1.45,0.250716138490332,-0.29799481222707047,0.08646159918901852,Juan Pablo Varillas
Sebastian Korda,Sebastian Ofner,1.55,2.45,0.5454697007890957,-0.15452196377690164,0.11359923306671549,Sebastian Ofner
Roberto Carballes Baena,Stefanos Tsitsipas,9.8,1.1,0.1035544391286392,0.014833503460664144,-0.01390988304150298,Stefanos Tsitsipas
Lorenzo Sonego,Ugo Humbert,1.8,2.0,0.4440820116601324,-0.2006523790117617,0.11183597667973522,Lorenzo Sonego
Marton Fucsovics,Novak Djokovic,12.0,1.05,0.0912953797213428,0.0955445566561135,-0.04586014870740995,Novak Djokovic
Alex Molcan,Hugo Gaston,1.59,2.5,0.5411106147290984,-0.1396341225807335,0.147223463177254,Alex Molcan
Jordan Thompson,Max Purcell,1.75,2.1,0.4661918921835631,-0.1841641886787646,0.1209970264145177,Max Purcell
Alexander Zverev,Lloyd Harris,1.06,10.0,0.8238495897518205,-0.12671943486307014,0.7615041024817946,Alexander Zverev
Alexander Bublik,Giulio Zeppieri,2.12,1.86,0.3784569682894369,-0.19767122722639363,0.15607003898164717,Giulio Zeppieri
Casper Ruud,Elias Ymer,1.06,10.5,0.8254089341688539,-0.12506652978101485,0.8332061912270345,Casper Ruud
Andrea Vavassori,Miomir Kecmanovic,2.85,1.47,0.252095422871797,-0.28152804481537863,0.09941972837845836,Andrea Vavassori
Hugo Dellien,Nicolas Jarry,3.8,1.25,0.1745917755557694,-0.3365512528880763,0.03176028055528812,Nicolas Jarry
Dominic Stricker,Tommy Paul,3.25,1.42,0.2248481652523103,-0.2692434629299916,0.1007156053417193,Tommy Paul
Genaro Alberto Olivieri,Giovanni Mpetshi Perricard,1.78,2.04,0.4530026524701613,-0.19365527860311282,0.11587458896087077,Genaro Alberto Olivieri
