market_id,player_1,player_2,odds_player_1_x,odds_player_2_x,actual_winner,winner_name,loser_name,match_date,player_1_clean,player_2_clean,selection_id_1,selection_id_2,odds_player_1_y,odds_player_2_y
1.215655056,Yibing Wu,Frances Tiafoe,500.0,1.23,Frances Tiafoe,Frances Tiafoe,Yibing Wu,2023-07-03,yibing wu,frances tiafoe,9633377,19924839,500.0,1.23
1.215655059,Lorenzo Sonego,Matteo Berrettini,50.0,1.02,Matteo Berrettini,Matteo Berrettini,Lorenzo Sonego,2023-07-03,lorenzo sonego,matteo berrettini,8826925,8962036,50.0,1.02
1.215656595,Dominic Thiem,Stefanos Tsitsipas,3.45,1.38,Stefanos Tsitsipas,Stefanos Tsitsipas,Dominic Thiem,2023-07-03,dominic thiem,stefanos tsitsipas,5720747,9193006,3.45,1.38
1.215656846,Roberto Bautista Agut,Roman Safiullin,20.0,1.05,Roman Safiullin,Roman Safiullin,Roberto Bautista Agut,2023-07-03,roberto bautista agut,roman safiullin,4290403,9125686,20.0,1.05
1.215657126,Marton Fucsovics,Tallon Griekspoor,1.02,6.2,Marton Fucsovics,Marton Fucsovics,Tallon Griekspoor,2023-07-03,marton fucsovics,tallon griekspoor,4827766,9198585,1.02,6.2
1.215657163,Richard Gasquet,Corentin Moutet,50.0,1.02,Corentin Moutet,Corentin Moutet,Richard Gasquet,2023-07-03,richard gasquet,corentin moutet,2249399,8842291,50.0,1.02
1.215657597,Andy Murray,Ryan Peniston,1.12,9.2,Andy Murray,Andy Murray,Ryan Peniston,2023-07-03,andy murray,ryan peniston,2256509,9629249,1.12,9.2
1.215657985,Adrian Mannarino,Alexander Shevchenko,1.28,4.0,Adrian Mannarino,Adrian Mannarino,Alexander Shevchenko,2023-07-03,adrian mannarino,alexander shevchenko,3066621,15134244,1.28,4.0
1.215658028,Christopher Eubanks,Thiago Monteiro,1.27,1000.0,Christopher Eubanks,Christopher Eubanks,Thiago Monteiro,2023-07-03,christopher eubanks,thiago monteiro,7445660,8326656,1.27,1000.0
1.215658199,Daniil Medvedev,Arthur Fery,1.03,44.0,Daniil Medvedev,Daniil Medvedev,Arthur Fery,2023-07-03,daniil medvedev,arthur fery,19924831,26402981,1.03,44.0
1.215658411,Aslan Karatsev,Luca Van Assche,1.69,2.38,Aslan Karatsev,Aslan Karatsev,Luca Van Assche,2023-07-03,aslan karatsev,luca van assche,7659748,27752969,1.69,2.38
1.215659048,Yannick Hanfmann,Taylor Fritz,3.0,1.5,Taylor Fritz,Taylor Fritz,Yannick Hanfmann,2023-07-03,yannick hanfmann,taylor fritz,8639275,10279360,3.0,1.5
1.215659049,Milos Raonic,Dennis Novak,2.04,100.0,Milos Raonic,Milos Raonic,Dennis Novak,2023-07-03,milos raonic,dennis novak,4105819,7335936,2.04,100.0
1.21565983,Oscar Otte,Dominik Koepfer,1.72,2.38,Oscar Otte,Oscar Otte,Dominik Koepfer,2023-07-03,oscar otte,dominik koepfer,9624731,9953145,1.72,2.38
1.215659871,Emil Ruusuvuori,Stan Wawrinka,34.0,1.02,Stan Wawrinka,Stan Wawrinka,Emil Ruusuvuori,2023-07-03,emil ruusuvuori,stan wawrinka,8979329,19924832,34.0,1.02
1.215660257,Alexei Popyrin,Dominic Stricker,100.0,1.03,Dominic Stricker,Dominic Stricker,Alexei Popyrin,2023-07-03,alexei popyrin,dominic stricker,10706479,40400880,100.0,1.03
1.215660636,Diego Schwartzman,Miomir Kecmanovic,1.03,38.0,Diego Schwartzman,Diego Schwartzman,Miomir Kecmanovic,2023-07-03,diego schwartzman,miomir kecmanovic,8736474,9657480,1.03,38.0
1.215661349,Marco Cecchinato,Nicolas Jarry,8.0,1.14,Nicolas Jarry,Nicolas Jarry,Marco Cecchinato,2023-07-03,marco cecchinato,nicolas jarry,6374165,8260515,8.0,1.14
1.215661788,Gregoire Barrere,Lloyd Harris,2.14,40.0,Gregoire Barrere,Gregoire Barrere,Lloyd Harris,2023-07-03,gregoire barrere,lloyd harris,8842295,11313212,2.14,40.0
1.215662141,Zhizhen Zhang,Botic Van de Zandschulp,32.0,1.03,Botic Van De Zandschulp,Botic Van De Zandschulp,Zhizhen Zhang,2023-07-03,zhizhen zhang,botic van de zandschulp,9628959,11204614,32.0,1.03
1.215662607,Sebastian Baez,Tomas Barrios Vera,50.0,1.02,Tomas Barrios Vera,Tomas Barrios Vera,Sebastian Baez,2023-07-03,sebastian baez,tomas barrios vera,11285506,40835377,50.0,1.02
1.215663921,Federico Coria,Ilya Ivashka,10.5,1.11,Ilya Ivashka,Ilya Ivashka,Federico Coria,2023-07-03,federico coria,ilya ivashka,8326752,19924837,10.5,1.11
1.215664801,Daniel  Evans,Quentin Halys,21.0,1.02,Quentin Halys,Quentin Halys,Daniel Evans,2023-07-03,daniel  evans,quentin halys,3103121,7287690,21.0,1.02
1.215664827,Yoshihito Nishioka,Daniel Elahi Galan,100.0,1.02,Daniel Elahi Galan,Daniel Elahi Galan,Yoshihito Nishioka,2023-07-03,yoshihito nishioka,daniel elahi galan,7137497,8860646,100.0,1.02
1.215665256,Taro Daniel,Ben Shelton,50.0,1.02,Ben Shelton,Ben Shelton,Taro Daniel,2023-07-03,taro daniel,ben shelton,8173434,39460566,50.0,1.02
1.215665523,Sebastian Ofner,Jiri Lehecka,3.0,1.5,Jiri Lehecka,Jiri Lehecka,Sebastian Ofner,2023-07-03,sebastian ofner,jiri lehecka,9631178,13203243,3.0,1.5
1.215666117,Tomas Machac,Cameron Norrie,100.0,1.22,Cameron Norrie,Cameron Norrie,Tomas Machac,2023-07-03,tomas machac,cameron norrie,16149495,42669524,100.0,1.22
1.215667204,Aleksandar Vukic,Daniel Altmaier,1.02,55.0,Aleksandar Vukic,Aleksandar Vukic,Daniel Altmaier,2023-07-03,aleksandar vukic,daniel altmaier,8979695,9632088,1.02,55.0
1.215667494,Maximilian Marterer,Borna Gojo,1.01,140.0,Maximilian Marterer,Maximilian Marterer,Borna Gojo,2023-07-03,maximilian marterer,borna gojo,7335940,10760646,1.01,140.0
1.215667983,Dusan Lajovic,Jan Choinski,1000.0,2.62,Jan Choinski,Jan Choinski,Dusan Lajovic,2023-07-03,dusan lajovic,jan choinski,4688724,8679715,1000.0,2.62
1.215668138,Alexandre Muller,Arthur Rinderknech,1.05,22.0,Alexandre Muller,Alexandre Muller,Arthur Rinderknech,2023-07-03,alexandre muller,arthur rinderknech,9630445,9953233,1.05,22.0
1.215668195,Radu Albot,Denis Shapovalov,2.24,1.8,Denis Shapovalov,Denis Shapovalov,Radu Albot,2023-07-03,radu albot,denis shapovalov,6603898,19924829,2.24,1.8
1.215668196,Gijs Brouwer,Alexander Zverev,100.0,1.11,Alexander Zverev,Alexander Zverev,Gijs Brouwer,2023-07-03,gijs brouwer,alexander zverev,9629296,19924823,100.0,1.11
1.215668766,Brandon Nakashima,Jordan Thompson,100.0,1.01,Jordan Thompson,Jordan Thompson,Brandon Nakashima,2023-07-03,brandon nakashima,jordan thompson,17806048,19924841,100.0,1.01
1.215668858,Grigor Dimitrov,Sho Shimabukuro,1.09,13.0,Grigor Dimitrov,Grigor Dimitrov,Sho Shimabukuro,2023-07-03,grigor dimitrov,sho shimabukuro,3120169,9258744,1.09,13.0
1.215669243,Hugo Dellien,Marcos Giron,55.0,1.05,Marcos Giron,Marcos Giron,Hugo Dellien,2023-07-03,hugo dellien,marcos giron,8226987,8230256,55.0,1.05
1.215669676,Alexander Bublik,Mackenzie McDonald,1.56,2.78,Alexander Bublik,Alexander Bublik,Mackenzie Mcdonald,2023-07-03,alexander bublik,mackenzie mcdonald,8907933,10691901,1.56,2.78
1.215669703,Tommy Paul,Shintaro Mochizuki,1.16,6.4,Tommy Paul,Tommy Paul,Shintaro Mochizuki,2023-07-03,tommy paul,shintaro mochizuki,8859306,20955040,1.16,6.4
1.215670491,Matteo Arnaldi,Roberto Carballes Baena,50.0,1.02,Roberto Carballes Baena,Roberto Carballes Baena,Matteo Arnaldi,2023-07-03,matteo arnaldi,roberto carballes baena,21067270,42313578,50.0,1.02
1.215670798,Liam Broady,Constant Lestienne,1.52,2.9,Liam Broady,Liam Broady,Constant Lestienne,2023-07-03,liam broady,constant lestienne,5626816,7797931,1.52,2.9
1.215671506,Enzo Couacaud,J.j. Wolf,55.0,1.27,J J Wolf,J J Wolf,Enzo Couacaud,2023-07-03,enzo couacaud,jj wolf,8174333,24339655,55.0,1.27
1.215671737,Alejandro Davidovich Fokina,Arthur Fils,1.8,2.36,Alejandro Davidovich Fokina,Alejandro Davidovich Fokina,Arthur Fils,2023-07-03,alejandro davidovich fokina,arthur fils,9953368,38374961,1.8,2.36
1.215672216,John Isner,Jaume Munar,1.5,3.2,Jaume Munar,Jaume Munar,John Isner,2023-07-03,john isner,jaume munar,2474763,9350385,1.5,3.2
1.215672253,Kimmer Coppejans,Alex De Minaur,70.0,1.01,Alex De Minaur,Alex De Minaur,Kimmer Coppejans,2023-07-03,kimmer coppejans,alex de minaur,7364095,10109527,70.0,1.01
1.215672653,Andrey Rublev,Max Purcell,1.09,11.0,Andrey Rublev,Andrey Rublev,Max Purcell,2023-07-03,andrey rublev,max purcell,7797771,10460213,1.09,11.0
1.215673252,Bernabe Zapata Miralles,Tomas Martin Etcheverry,21.0,2.36,Tomas Martin Etcheverry,Tomas Martin Etcheverry,Bernabe Zapata Miralles,2023-07-03,bernabe zapata miralles,tomas martin etcheverry,9630472,9631399,21.0,2.36
1.215673294,Guido Pella,Borna Coric,1.01,100.0,Guido Pella,Guido Pella,Borna Coric,2023-07-03,guido pella,borna coric,6162610,7446579,1.01,100.0
1.215673296,Christopher O'Connell,Hamad Medjedovic,1.01,290.0,Christopher Oconnell,Christopher Oconnell,Hamad Medjedovic,2023-07-03,christopher o'connell,hamad medjedovic,8942164,25085114,1.01,290.0
1.2156739,Marc-Andrea Huesler,Yosuke Watanuki,1.48,1.83,Yosuke Watanuki,Yosuke Watanuki,Marc Andrea Huesler,2023-07-03,marc andrea huesler,yosuke watanuki,9631939,19924830,1.48,1.83
1.215674172,Laslo Djere,Maxime Cressy,1.1,15.0,Laslo Djere,Laslo Djere,Maxime Cressy,2023-07-03,laslo djere,maxime cressy,7692106,11510005,1.1,15.0
1.215674608,Nuno Borges,Francisco Cerundolo,1000.0,1.3,Francisco Cerundolo,Francisco Cerundolo,Nuno Borges,2023-07-03,nuno borges,francisco cerundolo,9633043,11204210,1000.0,1.3
1.215674999,Juan Pablo Varillas,Lorenzo Musetti,12.5,1.08,Lorenzo Musetti,Lorenzo Musetti,Juan Pablo Varillas,2023-07-03,juan pablo varillas,lorenzo musetti,11772759,13834991,12.5,1.08
1.215675427,Benjamin Bonzi,Harold Mayot,9.6,1.11,Harold Mayot,Harold Mayot,Benjamin Bonzi,2023-07-03,benjamin bonzi,harold mayot,9632014,17806086,9.6,1.11
1.215675661,Jiri Vesely,Sebastian Korda,1.05,21.0,Jiri Vesely,Jiri Vesely,Sebastian Korda,2023-07-03,jiri vesely,sebastian korda,7032143,10902223,1.05,21.0
1.21567593,Jason Kubler,Ugo Humbert,1.11,2.74,Jason Kubler,Jason Kubler,Ugo Humbert,2023-07-03,jason kubler,ugo humbert,4448756,9633253,1.11,2.74
1.215676797,Albert Ramos-Vinolas,Hubert Hurkacz,16.0,1.06,Hubert Hurkacz,Hubert Hurkacz,Albert Ramos,2023-07-03,albert ramos vinolas,hubert hurkacz,8621877,19924838,16.0,1.06
1.215706784,Michael Mmoh,Felix Auger-Aliassime,1.01,100.0,Michael Mmoh,Michael Mmoh,Felix Auger Aliassime,2023-07-03,michael mmoh,felix auger aliassime,8798905,12210252,1.01,100.0
1.215758807,Fabian Marozsan,David Goffin,2.62,1.62,David Goffin,David Goffin,Fabian Marozsan,2023-07-03,fabian marozsan,david goffin,11942150,19924835,2.62,1.62
1.21576972,Aslan Karatsev,Andrey Rublev,200.0,1.22,Andrey Rublev,Andrey Rublev,Aslan Karatsev,2023-07-03,aslan karatsev,andrey rublev,7659748,7797771,200.0,1.22
1.215770518,David Goffin,Tomas Barrios Vera,1.4,3.5,David Goffin,David Goffin,Tomas Barrios Vera,2023-07-03,david goffin,tomas barrios vera,19924835,40835377,1.4,3.5
