bankroll,stake,payout,odds,won,ev,source_file
1025.5700000000002,1.0,1.4,1.4,1,0.3166797168852764,crossslam_miami_eval_value_bets.csv
1025.8100000000002,1.0,1.24,1.24,1,0.1308254969331415,crossslam_miami_eval_value_bets.csv
1026.8100000000002,1.0,2.0,2.0,1,0.7390916714411886,crossslam_miami_eval_value_bets.csv
1027.0600000000002,1.0,1.25,1.25,1,0.13893039049042022,crossslam_miami_eval_value_bets.csv
1029.8100000000002,1.0,3.75,3.75,1,1.7090470543568825,crossslam_miami_eval_value_bets.csv
1030.2000000000003,1.0,1.39,1.39,1,0.1505995786208758,crossslam_miami_eval_value_bets.csv
1032.4000000000003,1.0,3.2,3.2,1,1.4158858757354942,crossslam_miami_eval_value_bets.csv
1032.8100000000004,1.0,1.41,1.41,1,0.11776514515621894,crossslam_wta_iw_eval_value_bets.csv
1034.8100000000004,1.0,3.0,3.0,1,1.126784729596336,crossslam_wta_iw_eval_value_bets.csv
1035.0600000000004,1.0,1.25,1.25,1,0.10421566302767116,crossslam_wta_iw_eval_value_bets.csv
1034.0600000000004,1.0,0.0,1.43,0,0.11279645224206636,crossslam_wta_iw_eval_value_bets.csv
1034.4500000000005,1.0,1.39,1.39,1,0.1035022409386317,crossslam_wta_iw_eval_value_bets.csv
1034.6100000000006,1.0,1.16,1.16,1,0.10136651557569643,crossslam_wta_iw_eval_value_bets.csv
1034.9300000000005,1.0,1.32,1.32,1,0.11709672546484051,crossslam_wta_iw_eval_value_bets.csv
1035.2100000000005,1.0,1.28,1.28,1,0.13691884709026092,crossslam_wta_iw_eval_value_bets.csv
1035.6300000000006,1.0,1.42,1.42,1,0.13741310460740008,crossslam_wta_usopen_eval_value_bets.csv
1035.8600000000006,1.0,1.23,1.23,1,0.15495533114411542,crossslam_wta_usopen_eval_value_bets.csv
1036.1800000000005,1.0,1.32,1.32,1,0.13278171502966418,crossslam_wta_usopen_eval_value_bets.csv
1036.4500000000005,1.0,1.27,1.27,1,0.1155523425937941,crossslam_wta_usopen_eval_value_bets.csv
1036.7400000000005,1.0,1.29,1.29,1,0.12644072462797573,crossslam_wta_usopen_eval_value_bets.csv
1038.0400000000004,1.0,2.3,2.3,1,0.7376747747858736,crossslam_wta_usopen_eval_value_bets.csv
1038.4900000000005,1.0,1.45,1.45,1,0.32898737999594396,crossslam_wta_usopen_eval_value_bets.csv
1039.0500000000004,1.0,1.56,1.56,1,0.1249834769274909,crossslam_wta_usopen_eval_value_bets.csv
1039.4000000000003,1.0,1.35,1.35,1,0.1474833551122603,crossslam_wta_usopen_eval_value_bets.csv
1038.4000000000003,1.0,0.0,1.2,0,0.14218149708032435,crossslam_wta_usopen_eval_value_bets.csv
1039.2400000000002,1.0,1.84,1.84,1,0.5906478404274409,crossslam_wta_usopen_eval_value_bets.csv
1039.6400000000003,1.0,1.4,1.4,1,0.14008781671411197,crossslam_wta_usopen_eval_value_bets.csv
1039.8700000000003,1.0,1.23,1.23,1,0.11326109806479034,crossslam_wta_usopen_eval_value_bets.csv
1038.8700000000003,1.0,0.0,1.59,0,0.1059056382039123,crossslam_wta_usopen_eval_value_bets.csv
1039.0900000000004,1.0,1.22,1.22,1,0.10568164500211741,crossslam_wta_usopen_eval_value_bets.csv
1039.6300000000003,1.0,1.54,1.54,1,0.12597530185010464,crossslam_wta_usopen_eval_value_bets.csv
