market_id,player_1,player_2,odds_player_1_x,odds_player_2_x,actual_winner,winner_name,loser_name,match_date,player_1_clean,player_2_clean,selection_id_1,selection_id_2,odds_player_1_y,odds_player_2_y,odds_player_1,odds_player_2,implied_prob_1,implied_prob_2,odds_margin,implied_diff,implied_prob_diff,log_odds_diff,is_fav_player_1,label,pred_prob_player_1,predicted_prob,odds,ev,confidence,kelly_stake
1.215657518,Sofia Kenin,Cori Gauff,3.95,21.0,Sofia Kenin,Sofia Kenin,Coco Gauff,2023-07-03,sofia kenin,cori gauff,9149629,19249131,3.95,21.0,3.95,21.0,0.2531645569620253,0.0476190476190476,0.3007836045810729,0.1531645569620252,0.2055455093429776,-1.6708068588103926,1,1,0.8917142857142858,0.8917142857142858,3.95,2.522271428571429,1.0,0.8550072639225182
1.215859167,Dalma Galfi,Jule Niemeier,3.0,1.5,Dalma Galfi,Dalma Galfi,Jule Niemeier,2023-07-03,dalma galfi,jule niemeier,9304691,11173943,3.0,1.5,3.0,1.5,0.3333333333333333,0.6666666666666666,1.0,-0.3333333333333333,-0.3333333333333333,0.6931471805599453,0,1,0.82,0.82,3.0,1.46,1.0,0.73
1.215658974,Elisabetta Cocciaretto,Maria Camila Osorio Serrano,2.84,1.54,Elisabetta Cocciaretto,Elisabetta Cocciaretto,Camila Osorio,2023-07-03,elisabetta cocciaretto,maria camila osorio serrano,18848114,23677835,2.84,1.54,2.84,1.54,0.352112676056338,0.6493506493506493,1.0014633254069871,-0.2972379732943113,-0.2972379732943113,0.6120216357475768,0,1,0.83,0.83,2.84,1.3571999999999997,1.0,0.7376086956521738
1.215664539,Dalma Galfi,Linda Noskova,3.85,1.36,Dalma Galfi,Dalma Galfi,Linda Noskova,2023-07-03,dalma galfi,linda noskova,9304691,22088831,3.85,1.36,3.85,1.36,0.2597402597402597,0.7352941176470588,0.9950343773873184,-0.475553857906799,-0.475553857906799,1.040588448551732,0,1,0.56,0.56,3.85,1.1560000000000001,1.0,0.4056140350877194
1.215848444,Elina Svitolina,Sofia Kenin,2.38,1.72,Elina Svitolina,Elina Svitolina,Sofia Kenin,2023-07-03,elina svitolina,sofia kenin,6324464,9149629,2.38,1.72,2.38,1.72,0.4201680672268907,0.5813953488372093,1.0015634160641,-0.1612272816103185,-0.1612272816103185,0.3247761968580216,0,1,0.7733333333333334,0.7733333333333334,2.38,0.8405333333333336,1.0,0.609082125603865
1.215773734,Elina Svitolina,Elise Mertens,2.24,1.8,Elina Svitolina,Elina Svitolina,Elise Mertens,2023-07-03,elina svitolina,elise mertens,6324464,9002334,2.24,1.8,2.24,1.8,0.4464285714285714,0.5555555555555556,1.001984126984127,-0.1091269841269841,-0.1091269841269841,0.2186892009648295,0,1,0.76,0.76,2.24,0.7024000000000001,1.0,0.5664516129032258
1.215854139,Beatriz Haddad Maia,Sorana Cirstea ,1.81,1000.0,Beatriz Haddad Maia,Beatriz Haddad Maia,Sorana Cirstea,2023-07-03,beatriz haddad maia,sorana cirstea,7083752,51395204,1.81,1000.0,1.81,1000.0,0.5524861878453039,0.001,0.5534861878453039,0.4524861878453039,0.5514861878453039,-6.3144284337044025,1,1,0.94,0.94,1.81,0.7014,1.0,0.8659259259259258
1.21566678,Sara Sorribes Tormo,Martina Trevisan,1.4,100.0,Sara Sorribes Tormo,Sara Sorribes Tormo,Martina Trevisan,2023-07-03,sara sorribes tormo,martina trevisan,6356637,9345630,1.4,100.0,1.4,100.0,0.7142857142857143,0.01,0.7242857142857143,0.6142857142857143,0.7042857142857143,-4.268697949366879,1,1,0.975,0.975,1.4,0.365,1.0,0.9124999999999999
1.21567711,Sloane Stephens,Rebecca Peterson,1.5,3.1,Sloane Stephens,Sloane Stephens,Rebecca Peterson,2023-07-03,sloane stephens,rebecca peterson,2923342,7430598,1.5,3.1,1.5,3.1,0.6666666666666666,0.3225806451612903,0.989247311827957,0.3440860215053763,0.3440860215053763,-0.7259370033829363,1,1,0.9091666666666668,0.9091666666666668,1.5,0.36375000000000024,1.0,0.7275000000000004
1.21565555,Belinda Bencic,Katie Swan,1.37,130.0,Belinda Bencic,Belinda Bencic,Katie Swan,2023-07-03,belinda bencic,katie swan,6390244,9607742,1.37,130.0,1.37,130.0,0.7299270072992701,0.0076923076923076,0.7376193149915777,0.6299270072992701,0.7222346996069624,-4.552723710615549,1,1,0.995,0.995,1.37,0.3631500000000001,1.0,0.9814864864864864
1.215690549,Anhelina Kalinina,Jessica Bouzas Maneiro,1.34,3.9,Anhelina Kalinina,Anhelina Kalinina,Jessica Bouzas Maneiro,2023-07-03,anhelina kalinina,jessica bouzas maneiro,8907168,18848405,1.34,3.9,1.34,3.9,0.7462686567164178,0.2564102564102564,1.0026789131266742,0.4898584003061614,0.4898584003061614,-1.0683069391727806,1,1,1.0,1.0,1.34,0.3400000000000001,1.0,1.0
1.215876072,Madison Keys,Marta Kostyuk,1.33,3.85,Madison Keys,Madison Keys,Marta Kostyuk,2023-07-03,madison keys,marta kostyuk,3800907,11694656,1.33,3.85,1.33,3.85,0.7518796992481203,0.2597402597402597,1.01161995898838,0.4921394395078605,0.4921394395078605,-1.0628942060660305,1,1,1.0,1.0,1.33,0.33000000000000007,1.0,1.0
