tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points,match_date,market_id,market_time,market_name,runner_1,runner_2,player_1,player_2,actual_winner,selection_id_1,selection_id_2,odds_player_1,odds_player_2
2023-0404,Indian Wells Masters,Hard,128,M,2023-03-06,300,207989,1.0,,Carlos Alcaraz,R,183.0,ESP,19.8,106421,5.0,,Daniil Medvedev,R,198.0,RUS,27.0,6-3 6-2,3,F,70.0,1.0,0.0,49.0,37.0,30.0,7.0,9.0,0.0,0.0,0.0,2.0,48.0,31.0,19.0,7.0,8.0,0.0,3.0,2.0,6780.0,6.0,3775.0,2023-03-06,1.210896969,2023-03-06 16:00:00+00:00,Match Odds,Benoit Paire,Nicolas Mejia,Carlos Alcaraz,Daniil Medvedev,Carlos Alcaraz,,,,
2023-0404,Indian Wells Masters,Hard,128,M,2023-03-06,300,207989,1.0,,Carlos Alcaraz,R,183.0,ESP,19.8,106421,5.0,,Daniil Medvedev,R,198.0,RUS,27.0,6-3 6-2,3,F,70.0,1.0,0.0,49.0,37.0,30.0,7.0,9.0,0.0,0.0,0.0,2.0,48.0,31.0,19.0,7.0,8.0,0.0,3.0,2.0,6780.0,6.0,3775.0,2023-03-06,1.210897216,2023-03-06 16:00:00+00:00,Match Odds,Bjorn Fratangelo,Alex Bolt,Carlos Alcaraz,Daniil Medvedev,Carlos Alcaraz,,,,
2023-0404,Indian Wells Masters,Hard,128,M,2023-03-06,300,207989,1.0,,Carlos Alcaraz,R,183.0,ESP,19.8,106421,5.0,,Daniil Medvedev,R,198.0,RUS,27.0,6-3 6-2,3,F,70.0,1.0,0.0,49.0,37.0,30.0,7.0,9.0,0.0,0.0,0.0,2.0,48.0,31.0,19.0,7.0,8.0,0.0,3.0,2.0,6780.0,6.0,3775.0,2023-03-06,1.210897606,2023-03-06 16:00:00+00:00,Match Odds,Denis Yevseyev,Enzo Couacaud,Carlos Alcaraz,Daniil Medvedev,Carlos Alcaraz,,,,
2023-0404,Indian Wells Masters,Hard,128,M,2023-03-06,300,207989,1.0,,Carlos Alcaraz,R,183.0,ESP,19.8,106421,5.0,,Daniil Medvedev,R,198.0,RUS,27.0,6-3 6-2,3,F,70.0,1.0,0.0,49.0,37.0,30.0,7.0,9.0,0.0,0.0,0.0,2.0,48.0,31.0,19.0,7.0,8.0,0.0,3.0,2.0,6780.0,6.0,3775.0,2023-03-06,1.210897365,2023-03-06 16:00:00+00:00,Match Odds,Daniel Rincon,Alan Rubio,Carlos Alcaraz,Daniil Medvedev,Carlos Alcaraz,,,,
2023-0404,Indian Wells Masters,Hard,128,M,2023-03-06,300,207989,1.0,,Carlos Alcaraz,R,183.0,ESP,19.8,106421,5.0,,Daniil Medvedev,R,198.0,RUS,27.0,6-3 6-2,3,F,70.0,1.0,0.0,49.0,37.0,30.0,7.0,9.0,0.0,0.0,0.0,2.0,48.0,31.0,19.0,7.0,8.0,0.0,3.0,2.0,6780.0,6.0,3775.0,2023-03-06,1.210897752,2023-03-06 16:00:00+00:00,Match Odds,Aziz Dougaz,Marco Trungelliti,Carlos Alcaraz,Daniil Medvedev,Carlos Alcaraz,,,,
2023-0404,Indian Wells Masters,Hard,128,M,2023-03-06,300,207989,1.0,,Carlos Alcaraz,R,183.0,ESP,19.8,106421,5.0,,Daniil Medvedev,R,198.0,RUS,27.0,6-3 6-2,3,F,70.0,1.0,0.0,49.0,37.0,30.0,7.0,9.0,0.0,0.0,0.0,2.0,48.0,31.0,19.0,7.0,8.0,0.0,3.0,2.0,6780.0,6.0,3775.0,2023-03-06,1.21091189,2023-03-06 07:00:00+00:00,Match Odds,Arribage/Liutarevich,Caruso/Cobolli,Carlos Alcaraz,Daniil Medvedev,Carlos Alcaraz,,,,
2023-0404,Indian Wells Masters,Hard,128,M,2023-03-06,300,207989,1.0,,Carlos Alcaraz,R,183.0,ESP,19.8,106421,5.0,,Daniil Medvedev,R,198.0,RUS,27.0,6-3 6-2,3,F,70.0,1.0,0.0,49.0,37.0,30.0,7.0,9.0,0.0,0.0,0.0,2.0,48.0,31.0,19.0,7.0,8.0,0.0,3.0,2.0,6780.0,6.0,3775.0,2023-03-06,1.210911879,2023-03-06 07:00:00+00:00,Match Odds,Jebavy/Pavlasek,Gakhov/Roca Batalla,Carlos Alcaraz,Daniil Medvedev,Carlos Alcaraz,,,,
2023-0404,Indian Wells Masters,Hard,128,M,2023-03-06,300,207989,1.0,,Carlos Alcaraz,R,183.0,ESP,19.8,106421,5.0,,Daniil Medvedev,R,198.0,RUS,27.0,6-3 6-2,3,F,70.0,1.0,0.0,49.0,37.0,30.0,7.0,9.0,0.0,0.0,0.0,2.0,48.0,31.0,19.0,7.0,8.0,0.0,3.0,2.0,6780.0,6.0,3775.0,2023-03-06,1.210931114,2023-03-06 09:00:00+00:00,Match Odds,Added/Olivetti,Durasovic/Virtanen,Carlos Alcaraz,Daniil Medvedev,Carlos Alcaraz,,,,
2023-0404,Indian Wells Masters,Hard,128,M,2023-03-06,300,207989,1.0,,Carlos Alcaraz,R,183.0,ESP,19.8,106421,5.0,,Daniil Medvedev,R,198.0,RUS,27.0,6-3 6-2,3,F,70.0,1.0,0.0,49.0,37.0,30.0,7.0,9.0,0.0,0.0,0.0,2.0,48.0,31.0,19.0,7.0,8.0,0.0,3.0,2.0,6780.0,6.0,3775.0,2023-03-06,1.210931113,2023-03-06 09:00:00+00:00,Match Odds,Eysseric/Ramanathan,Oberleitner/Oswald,Carlos Alcaraz,Daniil Medvedev,Carlos Alcaraz,,,,
2023-0404,Indian Wells Masters,Hard,128,M,2023-03-06,300,207989,1.0,,Carlos Alcaraz,R,183.0,ESP,19.8,106421,5.0,,Daniil Medvedev,R,198.0,RUS,27.0,6-3 6-2,3,F,70.0,1.0,0.0,49.0,37.0,30.0,7.0,9.0,0.0,0.0,0.0,2.0,48.0,31.0,19.0,7.0,8.0,0.0,3.0,2.0,6780.0,6.0,3775.0,2023-03-06,1.210931105,2023-03-06 09:00:00+00:00,Match Odds,Drzewiecki/Walkow,Niklas-Salminen/Stevens,Carlos Alcaraz,Daniil Medvedev,Carlos Alcaraz,,,,
2023-0404,Indian Wells Masters,Hard,128,M,2023-03-06,300,207989,1.0,,Carlos Alcaraz,R,183.0,ESP,19.8,106421,5.0,,Daniil Medvedev,R,198.0,RUS,27.0,6-3 6-2,3,F,70.0,1.0,0.0,49.0,37.0,30.0,7.0,9.0,0.0,0.0,0.0,2.0,48.0,31.0,19.0,7.0,8.0,0.0,3.0,2.0,6780.0,6.0,3775.0,2023-03-06,1.210939582,2023-03-06 14:00:00+00:00,Match Odds,Pereira/Soto,Martos Gornes/Sitak,Carlos Alcaraz,Daniil Medvedev,Carlos Alcaraz,,,,
2023-0404,Indian Wells Masters,Hard,128,M,2023-03-06,300,207989,1.0,,Carlos Alcaraz,R,183.0,ESP,19.8,106421,5.0,,Daniil Medvedev,R,198.0,RUS,27.0,6-3 6-2,3,F,70.0,1.0,0.0,49.0,37.0,30.0,7.0,9.0,0.0,0.0,0.0,2.0,48.0,31.0,19.0,7.0,8.0,0.0,3.0,2.0,6780.0,6.0,3775.0,2023-03-06,1.210939597,2023-03-06 14:00:00+00:00,Match Odds,Gonzales/Romboli,Tirante/Torres,Carlos Alcaraz,Daniil Medvedev,Carlos Alcaraz,,,,
