market_id,player_1,player_2,odds_player_1_x,odds_player_2_x,actual_winner,winner_name,loser_name,match_date,player_1_clean,player_2_clean,selection_id_1,selection_id_2,odds_player_1_y,odds_player_2_y
1.217527736,Marie Bouzkova,Ashlyn Krueger,1.03,34.0,Marie Bouzkova,Marie Bouzkova,Ashlyn Krueger,2023-08-28,marie bouzkova,ashlyn krueger,8442764,24143371,1.03,34.0
1.21752884,Jodie Burrage,Anna Blinkova,1.05,21.0,Jodie Burrage,Jodie Burrage,Anna Blinkova,2023-08-28,jodie burrage,anna blinkova,9631606,9635244,1.05,21.0
1.217529085,Veronika Kudermetova,Bernarda Pera,10.0,1.11,Bernarda Pera,Bernarda Pera,Veronika Kudermetova,2023-08-28,veronika kudermetova,bernarda pera,8279497,8784983,10.0,1.11
1.217529734,Karolina Muchova,Storm Hunter,1.09,11.5,Karolina Muchova,Karolina Muchova,Storm Hunter,2023-08-28,karolina muchova,storm hunter,9632758,50836638,1.09,11.5
1.217530241,Elina Svitolina,Anna-Lena Friedsam,1.17,7.4,Elina Svitolina,Elina Svitolina,Anna Lena Friedsam,2023-08-28,elina svitolina,anna lena friedsam,6324464,7593369,1.17,7.4
1.217530687,Sloane Stephens,Beatriz Haddad Maia,2.0,2.0,Beatriz Haddad Maia,Beatriz Haddad Maia,Sloane Stephens,2023-08-28,sloane stephens,beatriz haddad maia,2923342,7083752,2.0,2.0
1.21760716,Caroline Wozniacki,Tatiana Prozorova,1.29,4.4,Caroline Wozniacki,Caroline Wozniacki,Tatiana Prozorova,2023-08-28,caroline wozniacki,tatiana prozorova,2309522,56153980,1.29,4.4
1.217607163,Laura Siegemund,Cori Gauff,21.0,1.05,Coco Gauff,Coco Gauff,Laura Siegemund,2023-08-28,laura siegemund,cori gauff,4829328,19249131,21.0,1.05
1.217607167,Olivia Gadecki,Mirra Andreeva,3.6,1.07,Mirra Andreeva,Mirra Andreeva,Olivia Gadecki,2023-08-28,olivia gadecki,mirra andreeva,11861440,49006396,3.6,1.07
1.217607427,Kaja Juvan,Elisabetta Cocciaretto,2.3,12.0,Kaja Juvan,Kaja Juvan,Elisabetta Cocciaretto,2023-08-28,kaja juvan,elisabetta cocciaretto,9635566,18848114,2.3,12.0
1.217607428,Margarita Gasparyan,Yuriko Miyazaki,5.2,1.26,Yuriko Miyazaki,Yuriko Miyazaki,Margarita Gasparyan,2023-08-28,margarita gasparyan,yuriko miyazaki,6750186,9631280,5.2,1.26
1.217607816,Katie Volynets,Xinyu Wang,2.98,1.01,Xin Yu Wang,Xin Yu Wang,Katie Volynets,2023-08-28,katie volynets,xinyu wang,13369546,13578400,2.98,1.01
1.21760803,Kimberly Birrell,Jennifer Brady,26.0,1.04,Jennifer Brady,Jennifer Brady,Kimberly Birrell,2023-08-28,kimberly birrell,jennifer brady,8183109,8784966,26.0,1.04
1.217608184,Venus Williams,Greet Minnen,3.2,1.45,Greet Minnen,Greet Minnen,Venus Williams,2023-08-28,venus williams,greet minnen,2309518,10108736,3.2,1.45
1.21760835,Vera Zvonareva,Yanina Wickmayer,2.34,1.81,Yanina Wickmayer,Yanina Wickmayer,Vera Zvonareva,2023-08-28,vera zvonareva,yanina wickmayer,2250861,2386943,2.34,1.81
