match_date,winner,loser,player_1,player_2,odds_player_1,odds_player_2,implied_prob_1,implied_prob_2,actual_winner,p1_is_winner,p2_is_winner,winner_clean,p1_clean,p1_won,odds_margin,is_fav_p1,implied_diff,p_model,ev_p1_model,model_bet,profit_model
2023-01-16,Juncheng Shang,Oscar Otte,Juncheng Shang,Oscar Otte,1.14,5.0,0.8771929824561404,0.2,Juncheng Shang,True,False,juncheng shang,juncheng shang,1,0.0771929824561403,1,0.6771929824561405,0.9401326672806436,0.0717512406999335,True,0.1399999999999999
2023-01-16,Juncheng Shang,Oscar Otte,Juncheng Shang,Oscar Otte,1.17,5.0,0.8547008547008548,0.2,Juncheng Shang,True,False,juncheng shang,juncheng shang,1,0.0547008547008547,1,0.6547008547008548,0.9329116527164968,0.0915066336783011,True,0.16999999999999993
2023-01-16,Juncheng Shang,Oscar Otte,Juncheng Shang,Oscar Otte,1.17,4.8,0.8547008547008548,0.2083333333333333,Juncheng Shang,True,False,juncheng shang,juncheng shang,1,0.063034188034188,1,0.6463675213675215,0.9302366017008106,0.0883768239899483,True,0.16999999999999993
2023-01-16,Juncheng Shang,Oscar Otte,Juncheng Shang,Oscar Otte,1.17,4.5,0.8547008547008548,0.2222222222222222,Juncheng Shang,True,False,juncheng shang,juncheng shang,1,0.0769230769230771,1,0.6324786324786326,0.9255581282403454,0.0829030100412041,True,0.16999999999999993
2023-01-16,Juncheng Shang,Oscar Otte,Juncheng Shang,Oscar Otte,1.17,4.8,0.8547008547008548,0.2083333333333333,Juncheng Shang,True,False,juncheng shang,juncheng shang,1,0.063034188034188,1,0.6463675213675215,0.9302366017008106,0.0883768239899483,True,0.16999999999999993
2023-01-16,Francisco Cerundolo,Guido Pella,Francisco Cerundolo,Guido Pella,1.02,15.0,0.9803921568627452,0.0666666666666666,Francisco Cerundolo,True,False,francisco cerundolo,francisco cerundolo,1,0.0470588235294118,1,0.9137254901960784,0.9817165007812853,0.0013508307969109,True,0.020000000000000018
2023-01-16,Francisco Cerundolo,Guido Pella,Francisco Cerundolo,Guido Pella,1.02,12.5,0.9803921568627452,0.08,Francisco Cerundolo,True,False,francisco cerundolo,francisco cerundolo,1,0.0603921568627452,1,0.9003921568627452,0.9804713447674164,8.077166276471842e-05,True,0.020000000000000018
2023-01-16,Francisco Cerundolo,Guido Pella,Francisco Cerundolo,Guido Pella,1.01,21.0,0.99009900990099,0.0476190476190476,Francisco Cerundolo,True,False,francisco cerundolo,francisco cerundolo,1,0.0377180575200375,1,0.9424799622819424,0.984198312696994,-0.0059597041760361,False,0.0
2023-01-16,Francisco Cerundolo,Guido Pella,Francisco Cerundolo,Guido Pella,1.02,16.0,0.9803921568627452,0.0625,Francisco Cerundolo,True,False,francisco cerundolo,francisco cerundolo,1,0.0428921568627451,1,0.9178921568627452,0.9820893877995324,0.001731175555523,True,0.020000000000000018
2023-01-16,Francisco Cerundolo,Guido Pella,Francisco Cerundolo,Guido Pella,1.02,11.0,0.9803921568627452,0.0909090909090909,Francisco Cerundolo,True,False,francisco cerundolo,francisco cerundolo,1,0.071301247771836,1,0.8894830659536542,0.9793910815492594,-0.0010210968197554,False,0.0
2023-01-16,Francisco Cerundolo,Guido Pella,Francisco Cerundolo,Guido Pella,1.02,12.0,0.9803921568627452,0.0833333333333333,Francisco Cerundolo,True,False,francisco cerundolo,francisco cerundolo,1,0.0637254901960784,1,0.8970588235294119,0.9801472886976073,-0.0002497655284406,False,0.0
2023-01-16,Francisco Cerundolo,Guido Pella,Francisco Cerundolo,Guido Pella,1.02,12.0,0.9803921568627452,0.0833333333333333,Francisco Cerundolo,True,False,francisco cerundolo,francisco cerundolo,1,0.0637254901960784,1,0.8970588235294119,0.9801472886976073,-0.0002497655284406,False,0.0
2023-01-16,Francisco Cerundolo,Guido Pella,Francisco Cerundolo,Guido Pella,1.01,4.4,0.99009900990099,0.2272727272727272,Francisco Cerundolo,True,False,francisco cerundolo,francisco cerundolo,1,0.2173717371737171,1,0.7628262826282628,0.9618336961806928,-0.0285479668575001,False,0.0
2023-01-16,Francisco Cerundolo,Guido Pella,Francisco Cerundolo,Guido Pella,1.3,160.0,0.7692307692307692,0.00625,Francisco Cerundolo,True,False,francisco cerundolo,francisco cerundolo,1,-0.2245192307692308,1,0.7629807692307692,0.9587538510078608,0.2463800063102191,True,0.30000000000000004
2023-01-16,Francisco Cerundolo,Guido Pella,Francisco Cerundolo,Guido Pella,1.04,18.0,0.9615384615384616,0.0555555555555555,Francisco Cerundolo,True,False,francisco cerundolo,francisco cerundolo,1,0.017094017094017,1,0.905982905982906,0.9808730286187364,0.0201079497634858,True,0.040000000000000036
2023-01-16,Francisco Cerundolo,Guido Pella,Francisco Cerundolo,Guido Pella,1.06,36.0,0.9433962264150942,0.0277777777777777,Francisco Cerundolo,True,False,francisco cerundolo,francisco cerundolo,1,-0.028825995807128,1,0.9156184486373166,0.9816421749257244,0.0405407054212678,True,0.06000000000000005
2023-01-16,Francisco Cerundolo,Guido Pella,Francisco Cerundolo,Guido Pella,1.03,27.06,0.970873786407767,0.0369549150036954,Francisco Cerundolo,True,False,francisco cerundolo,francisco cerundolo,1,0.0078287014114624,1,0.9339188714040716,0.9833980043716788,0.012899944502829,True,0.030000000000000027
2023-01-16,Francisco Cerundolo,Guido Pella,Francisco Cerundolo,Guido Pella,1.03,15.0,0.970873786407767,0.0666666666666666,Francisco Cerundolo,True,False,francisco cerundolo,francisco cerundolo,1,0.0375404530744336,1,0.9042071197411004,0.9807696597588574,0.0101927495516231,True,0.030000000000000027
2023-01-16,Francisco Cerundolo,Guido Pella,Francisco Cerundolo,Guido Pella,1.01,19.0,0.99009900990099,0.0526315789473684,Francisco Cerundolo,True,False,francisco cerundolo,francisco cerundolo,1,0.0427305888483584,1,0.9374674309536216,0.9838008573035476,-0.0063611341234169,False,0.0
2023-01-16,Francisco Cerundolo,Guido Pella,Francisco Cerundolo,Guido Pella,1.02,15.0,0.9803921568627452,0.0666666666666666,Francisco Cerundolo,True,False,francisco cerundolo,francisco cerundolo,1,0.0470588235294118,1,0.9137254901960784,0.9817165007812853,0.0013508307969109,True,0.020000000000000018
2023-01-16,Francisco Cerundolo,Guido Pella,Francisco Cerundolo,Guido Pella,1.02,11.0,0.9803921568627452,0.0909090909090909,Francisco Cerundolo,True,False,francisco cerundolo,francisco cerundolo,1,0.071301247771836,1,0.8894830659536542,0.9793910815492594,-0.0010210968197554,False,0.0
2023-01-16,Francisco Cerundolo,Guido Pella,Francisco Cerundolo,Guido Pella,1.02,11.0,0.9803921568627452,0.0909090909090909,Francisco Cerundolo,True,False,francisco cerundolo,francisco cerundolo,1,0.071301247771836,1,0.8894830659536542,0.9793910815492594,-0.0010210968197554,False,0.0
2023-01-16,Francisco Cerundolo,Guido Pella,Francisco Cerundolo,Guido Pella,1.0,15.0,1.0,0.0666666666666666,Francisco Cerundolo,True,False,francisco cerundolo,francisco cerundolo,1,0.0666666666666666,1,0.9333333333333332,0.9835250385767784,-0.0164749614232214,False,0.0
