market_id,player_1,player_2,odds_player_1_x,odds_player_2_x,actual_winner,winner_name,loser_name,match_date,player_1_clean,player_2_clean,selection_id_1,selection_id_2,odds_player_1_y,odds_player_2_y,odds_player_1,odds_player_2
1.211675306,Laura Siegemund,Mayar Sherif,1.65,2.52,Laura Siegemund,Laura Siegemund,Mayar Sherif,2023-03-20,laura siegemund,mayar sherif,4829328,9028621,1.65,2.52,1.65,2.52
1.211701753,Anastasia Potapova,Marta Kostyuk,2.32,1.76,Anastasia Potapova,Anastasia Potapova,Marta Kostyuk,2023-03-20,anastasia potapova,marta kostyuk,10554735,11694656,2.32,1.76,2.32,1.76
1.211701755,Nao Hibino,Martina Trevisan,34.0,1.01,Martina Trevisan,Martina Trevisan,Nao Hibino,2023-03-20,nao hibino,martina trevisan,7683152,9345630,34.0,1.01,34.0,1.01
1.211704565,Irinia-Camelia Begu,Qinwen Zheng,1000.0,1.65,Qinwen Zheng,Qinwen Zheng,Irina Camelia Begu,2023-03-20,irinia camelia begu,qinwen zheng,18309994,18848380,1000.0,1.65,1000.0,1.65
1.211705496,Petra Martic,Xiyu Wang,1.75,2.14,Petra Martic,Petra Martic,Xiyu Wang,2023-03-20,petra martic,xiyu wang,2346703,11352357,1.75,2.14,1.75,2.14
1.211705642,Anna Kalinskaya,Elena Rybakina,5.9,1.2,Elena Rybakina,Elena Rybakina,Anna Kalinskaya,2023-03-20,anna kalinskaya,elena rybakina,8907174,10349398,5.9,1.2,5.9,1.2
1.211706749,Rebecca Marino,Coco Gauff,7.2,1.18,Coco Gauff,Coco Gauff,Rebecca Marino,2023-03-20,rebecca marino,coco gauff,3444552,27552403,7.2,1.18,7.2,1.18
1.211706957,Jelena Ostapenko,Mirjam Bjorklund,1.18,5.8,Jelena Ostapenko,Jelena Ostapenko,Mirjam Bjorklund,2023-03-20,jelena ostapenko,mirjam bjorklund,8827537,9631526,1.18,5.8,1.18,5.8
1.211708977,Viktoriya Tomova,Anna Karolina Schmiedlova,2.1,110.0,Viktoriya Tomova,Viktoriya Tomova,Anna Karolina Schmiedlova,2023-03-20,viktoriya tomova,anna karolina schmiedlova,4597116,40900202,2.1,110.0,2.1,110.0
1.211709615,Daria Kasatkina,Elise Mertens,270.0,2.36,Elise Mertens,Elise Mertens,Daria Kasatkina,2023-03-20,daria kasatkina,elise mertens,7795290,9002334,270.0,2.36,270.0,2.36
1.211711261,Beatriz Haddad Maia,Tereza Martincova,1.27,500.0,Beatriz Haddad Maia,Beatriz Haddad Maia,Tereza Martincova,2023-03-20,beatriz haddad maia,tereza martincova,7083752,7335514,1.27,500.0,1.27,500.0
1.211713012,Jessica Pegula,Katherine Sebov,1.1,11.0,Jessica Pegula,Jessica Pegula,Katherine Sebov,2023-03-20,jessica pegula,katherine sebov,6215852,8944358,1.1,11.0,1.1,11.0
1.211713016,Laura Siegemund,Paula Badosa,50.0,1.46,Paula Badosa,Paula Badosa,Laura Siegemund,2023-03-20,laura siegemund,paula badosa,4829328,7412588,50.0,1.46,50.0,1.46
1.211719319,Evgeniya Rodina,Magda Linette,160.0,1.3,Magda Linette,Magda Linette,Evgeniya Rodina,2023-03-20,evgeniya rodina,magda linette,2415530,7083215,160.0,1.3,160.0,1.3
1.211719451,Viktoriya Tomova,Danielle Collins,990.0,1.26,Danielle Collins,Danielle Collins,Viktoriya Tomova,2023-03-20,viktoriya tomova,danielle collins,4597116,9626845,990.0,1.26,990.0,1.26
1.211720113,Viktorija Golubic,Liudmila Samsonova,5.6,1.23,Liudmila Samsonova,Liudmila Samsonova,Viktorija Golubic,2023-03-20,viktorija golubic,liudmila samsonova,7283232,21067365,5.6,1.23,5.6,1.23
1.211740374,Julia Grabher,Claire Liu,100.0,1.01,Claire Liu,Claire Liu,Julia Grabher,2023-03-20,julia grabher,claire liu,8681454,9633041,100.0,1.01,100.0,1.01
1.211745019,Petra Kvitova,Linda Noskova,1.55,2.72,Petra Kvitova,Petra Kvitova,Linda Noskova,2023-03-20,petra kvitova,linda noskova,2497008,22088831,1.55,2.72,1.55,2.72
1.21174608,Aliaksandra Sasnovich,Barbora Krejcikova,5.9,1.02,Barbora Krejcikova,Barbora Krejcikova,Aliaksandra Sasnovich,2023-03-20,aliaksandra sasnovich,barbora krejcikova,7283310,8784972,5.9,1.02,5.9,1.02
1.211747224,Ons Jabeur,Varvara Gracheva,100.0,1.01,Varvara Gracheva,Varvara Gracheva,Ons Jabeur,2023-03-20,ons jabeur,varvara gracheva,6161111,10942984,100.0,1.01,100.0,1.01
1.211747822,Madison Brengle,Donna Vekic,4.7,1.27,Donna Vekic,Donna Vekic,Madison Brengle,2023-03-20,madison brengle,donna vekic,2263603,6603944,4.7,1.27,4.7,1.27
1.211748191,Maria Sakkari,Bianca Andreescu,990.0,1.01,Bianca Andreescu,Bianca Andreescu,Maria Sakkari,2023-03-20,maria sakkari,bianca andreescu,9002331,10141729,990.0,1.01,990.0,1.01
1.211749493,Caroline Garcia,Sorana Cirstea ,1.49,1.01,Sorana Cirstea,Sorana Cirstea,Caroline Garcia,2023-03-20,caroline garcia,sorana cirstea,5248977,51395204,1.49,1.01,1.49,1.01
1.211749755,Veronika Kudermetova,Marketa Vondrousova,2.52,1.02,Marketa Vondrousova,Marketa Vondrousova,Veronika Kudermetova,2023-03-20,veronika kudermetova,marketa vondrousova,8279497,9433253,2.52,1.02,2.52,1.02
1.21175015,Anhelina Kalinina,Sofia Kenin,1.98,1.01,Sofia Kenin,Sofia Kenin,Anhelina Kalinina,2023-03-20,anhelina kalinina,sofia kenin,8907168,9149629,1.98,1.01,1.98,1.01
1.211750829,Taylor Townsend,Ekaterina Alexandrova,34.0,1.01,Ekaterina Alexandrova,Ekaterina Alexandrova,Taylor Townsend,2023-03-20,taylor townsend,ekaterina alexandrova,7066166,8681458,34.0,1.01,34.0,1.01
1.211751819,Karolina Pliskova,Xinyu Wang,1.37,990.0,Karolina Pliskova,Karolina Pliskova,Xin Yu Wang,2023-03-20,karolina pliskova,xinyu wang,6199453,13578400,1.37,990.0,1.37,990.0
1.211752681,Belinda Bencic,Leylah Fernandez,1.37,3.75,Belinda Bencic,Belinda Bencic,Leylah Fernandez,2023-03-20,belinda bencic,leylah fernandez,6390244,11987709,1.37,3.75,1.37,3.75
1.211755422,Marie Bouzkova,Anna Blinkova,1.01,990.0,Marie Bouzkova,Marie Bouzkova,Anna Blinkova,2023-03-20,marie bouzkova,anna blinkova,8442764,9635244,1.01,990.0,1.01,990.0
1.211755673,Shelby Rogers,A Sabalenka,990.0,1.18,Aryna Sabalenka,Aryna Sabalenka,Shelby Rogers,2023-03-20,shelby rogers,a sabalenka,4943786,51227792,990.0,1.18,990.0,1.18
1.211785358,Petra Martic,Elise Mertens,2.42,1.01,Elise Mertens,Elise Mertens,Petra Martic,2023-03-20,petra martic,elise mertens,2346703,9002334,2.42,1.01,2.42,1.01
1.211787011,Qinwen Zheng,Liudmila Samsonova,2.14,1.82,Qinwen Zheng,Qinwen Zheng,Liudmila Samsonova,2023-03-20,qinwen zheng,liudmila samsonova,18848380,21067365,2.14,1.82,2.14,1.82
1.211788025,Anastasia Potapova,Coco Gauff,1.01,990.0,Anastasia Potapova,Anastasia Potapova,Coco Gauff,2023-03-20,anastasia potapova,coco gauff,10554735,27552403,1.01,990.0,1.01,990.0
1.211789303,Beatriz Haddad Maia,Jelena Ostapenko,2.54,1.65,Jelena Ostapenko,Jelena Ostapenko,Beatriz Haddad Maia,2023-03-20,beatriz haddad maia,jelena ostapenko,7083752,8827537,2.54,1.65,2.54,1.65
1.211794773,Martina Trevisan,Claire Liu,1.01,7.4,Martina Trevisan,Martina Trevisan,Claire Liu,2023-03-20,martina trevisan,claire liu,9345630,9633041,1.01,7.4,1.01,7.4
1.211796839,Victoria Azarenka,Magda Linette,7.6,1.01,Magda Linette,Magda Linette,Victoria Azarenka,2023-03-20,victoria azarenka,magda linette,2263640,7083215,7.6,1.01,7.6,1.01
1.211801569,Paula Badosa,Elena Rybakina,34.0,1.41,Elena Rybakina,Elena Rybakina,Paula Badosa,2023-03-20,paula badosa,elena rybakina,7412588,10349398,34.0,1.41,34.0,1.41
1.211834782,Karolina Pliskova,Marketa Vondrousova,1000.0,1.02,Marketa Vondrousova,Marketa Vondrousova,Karolina Pliskova,2023-03-20,karolina pliskova,marketa vondrousova,6199453,9433253,1000.0,1.02,1000.0,1.02
1.211835119,Magdalena Frech,Erika Andreeva,1.93,1.96,Magdalena Frech,Magdalena Frech,Erika Andreeva,2023-03-20,magdalena frech,erika andreeva,8444351,27187697,1.93,1.96,1.93,1.96
1.211835543,Madison Keys,Barbora Krejcikova,100.0,1.01,Barbora Krejcikova,Barbora Krejcikova,Madison Keys,2023-03-20,madison keys,barbora krejcikova,3800907,8784972,100.0,1.01,100.0,1.01
1.211836373,Sofia Kenin,Bianca Andreescu,28.0,1.01,Bianca Andreescu,Bianca Andreescu,Sofia Kenin,2023-03-20,sofia kenin,bianca andreescu,9149629,10141729,28.0,1.01,28.0,1.01
1.211837155,Karolina Muchova,Sorana Cirstea ,140.0,3.75,Sorana Cirstea,Sorana Cirstea,Karolina Muchova,2023-03-20,karolina muchova,sorana cirstea,9632758,51395204,140.0,3.75,140.0,3.75
1.211841173,Petra Kvitova,Donna Vekic,1.01,100.0,Petra Kvitova,Petra Kvitova,Donna Vekic,2023-03-20,petra kvitova,donna vekic,2497008,6603944,1.01,100.0,1.01,100.0
1.211841483,Belinda Bencic,Ekaterina Alexandrova,1.33,4.3,Ekaterina Alexandrova,Ekaterina Alexandrova,Belinda Bencic,2023-03-20,belinda bencic,ekaterina alexandrova,6390244,8681458,1.33,4.3,1.33,4.3
1.211842719,Marie Bouzkova,A Sabalenka,160.0,1.16,Aryna Sabalenka,Aryna Sabalenka,Marie Bouzkova,2023-03-20,marie bouzkova,a sabalenka,8442764,51227792,160.0,1.16,160.0,1.16
1.211843333,Magdalena Frech,Varvara Gracheva,3.85,1.39,Varvara Gracheva,Varvara Gracheva,Magdalena Frech,2023-03-20,magdalena frech,varvara gracheva,8444351,10942984,3.85,1.39,3.85,1.39
1.211890938,Anastasia Potapova,Qinwen Zheng,1.01,100.0,Anastasia Potapova,Anastasia Potapova,Qinwen Zheng,2023-03-20,anastasia potapova,qinwen zheng,10554735,18848380,1.01,100.0,1.01,100.0
