match,stake,odds,won,payout,bankroll
,1.0,1.33,True,1.33,1055.1499999999996
,1.0,1.38,True,1.38,1055.5299999999997
,1.0,1.27,True,1.27,1055.7999999999997
,1.0,1.41,True,1.41,1056.2099999999998
,1.0,1.21,True,1.21,1056.4199999999998
,1.0,2.3,True,2.3,1057.7199999999998
,1.0,3.15,True,3.15,1059.87
,1.0,2.44,True,2.44,1061.31
,1.0,2.38,True,2.38,1062.69
,1.0,1.8,True,1.8,1063.49
,1.0,1.86,True,1.86,1064.35
,1.0,1.42,True,1.42,1064.77
,1.0,1.84,True,1.84,1065.61
,1.0,1.56,True,1.56,1066.1699999999998
,1.0,1.4,True,1.4,1066.57
,1.0,1.54,True,1.54,1067.11
,1.0,1.35,True,1.35,1067.4599999999998
,1.0,1.32,True,1.32,1067.7799999999997
,1.0,1.45,True,1.45,1068.2299999999998
,1.0,1.29,True,1.29,1068.5199999999998
,1.0,1.27,True,1.27,1068.7899999999997
,1.0,2.06,True,2.06,1069.8499999999997
,1.0,1.23,True,1.23,1070.0799999999997
,1.0,1.22,True,1.22,1070.2999999999997
,1.0,3.0,True,3.0,1072.2999999999997
,1.0,2.84,True,2.84,1074.1399999999996
,1.0,3.85,True,3.85,1076.9899999999996
,1.0,2.38,True,2.38,1078.3699999999997
,1.0,2.24,True,2.24,1079.6099999999997
,1.0,1.81,True,1.81,1080.4199999999996
,1.0,1.4,True,1.4,1080.8199999999997
,1.0,1.5,True,1.5,1081.3199999999997
,1.0,1.37,True,1.37,1081.6899999999996
,1.0,1.34,True,1.34,1082.0299999999995
,1.0,1.33,True,1.33,1082.3599999999994
,1.0,1.33,True,1.33,1082.6899999999994
,1.0,1.32,True,1.32,1083.0099999999993
,1.0,1.32,True,1.32,1083.3299999999992
,1.0,1.28,True,1.28,1083.6099999999992
,1.0,1.28,True,1.28,1083.8899999999992
,1.0,1.26,True,1.26,1084.1499999999992
,1.0,1.26,True,1.26,1084.4099999999992
,1.0,1.25,True,1.25,1084.6599999999992
,1.0,1.66,True,1.66,1085.3199999999993
,1.0,1.43,True,1.43,1085.7499999999993
,1.0,1.21,True,1.21,1085.9599999999994
