match,bet_side,stake,profit,bankroll,source_file
Corentin Moutet vs Yibing Wu,P1,1,1.9,1000.9100000000002,value_bets_atp_aus_open_2023.csv
Corentin Moutet vs Yibing Wu,P1,1,1.9,1002.8100000000002,value_bets_atp_aus_open_2023.csv
Corentin Moutet vs Yibing Wu,P1,1,1.7000000000000002,1004.5100000000002,value_bets_atp_aus_open_2023.csv
Corentin Moutet vs Yibing Wu,P1,1,1.85,1006.3600000000002,value_bets_atp_aus_open_2023.csv
Corentin Moutet vs Yibing Wu,P1,1,1.9,1008.2600000000002,value_bets_atp_aus_open_2023.csv
Corentin Moutet vs Yibing Wu,P1,1,1.08,1009.3400000000003,value_bets_atp_aus_open_2023.csv
Corentin Moutet vs Yibing Wu,P1,1,1.85,1011.1900000000003,value_bets_atp_aus_open_2023.csv
Corentin Moutet vs Yibing Wu,P1,1,1.9,1013.0900000000003,value_bets_atp_aus_open_2023.csv
Corentin Moutet vs Yibing Wu,P1,1,1.9,1014.9900000000002,value_bets_atp_aus_open_2023.csv
Corentin Moutet vs Yibing Wu,P1,1,1.9,1016.8900000000002,value_bets_atp_aus_open_2023.csv
Corentin Moutet vs Yibing Wu,P1,1,2.1,1018.9900000000002,value_bets_atp_aus_open_2023.csv
Corentin Moutet vs Yibing Wu,P2,1,-1.0,1017.9900000000002,value_bets_atp_aus_open_2023.csv
Corentin Moutet vs Yibing Wu,P1,1,2.1,1020.0900000000003,value_bets_atp_aus_open_2023.csv
Corentin Moutet vs Yibing Wu,P1,1,1.6,1021.6900000000003,value_bets_atp_aus_open_2023.csv
Corentin Moutet vs Yibing Wu,P1,1,1.85,1023.5400000000003,value_bets_atp_aus_open_2023.csv
Corentin Moutet vs Yibing Wu,P1,1,1.7999999999999998,1025.3400000000004,value_bets_atp_aus_open_2023.csv
Corentin Moutet vs Yibing Wu,P1,1,1.62,1026.9600000000003,value_bets_atp_aus_open_2023.csv
Corentin Moutet vs Yibing Wu,P1,1,1.75,1028.7100000000003,value_bets_atp_aus_open_2023.csv
Corentin Moutet vs Yibing Wu,P1,1,1.0,1029.7100000000003,value_bets_atp_aus_open_2023.csv
Corentin Moutet vs Yibing Wu,P1,1,1.5499999999999998,1031.2600000000002,value_bets_atp_aus_open_2023.csv
Corentin Moutet vs Yibing Wu,P1,1,1.62,1032.88,value_bets_atp_aus_open_2023.csv
Corentin Moutet vs Yibing Wu,P1,1,1.6,1034.48,value_bets_atp_aus_open_2023.csv
Corentin Moutet vs Yibing Wu,P1,1,1.9,1036.38,value_bets_atp_aus_open_2023.csv
Corentin Moutet vs Yibing Wu,P1,1,1.7999999999999998,1038.18,value_bets_atp_aus_open_2023.csv
Corentin Moutet vs Yibing Wu,P1,1,1.9,1040.0800000000002,value_bets_atp_aus_open_2023.csv
Brandon Nakashima vs Mackenzie McDonald,P2,1,1.5,1041.5800000000002,value_bets_atp_aus_open_2023.csv
Brandon Nakashima vs Mackenzie McDonald,P2,1,1.6,1043.18,value_bets_atp_aus_open_2023.csv
Brandon Nakashima vs Mackenzie McDonald,P2,1,1.6,1044.78,value_bets_atp_aus_open_2023.csv
Brandon Nakashima vs Mackenzie McDonald,P2,1,1.6,1046.3799999999999,value_bets_atp_aus_open_2023.csv
Brandon Nakashima vs Mackenzie McDonald,P2,1,1.7200000000000002,1048.1,value_bets_atp_aus_open_2023.csv
Brandon Nakashima vs Mackenzie McDonald,P2,1,1.4500000000000002,1049.55,value_bets_atp_aus_open_2023.csv
Brandon Nakashima vs Mackenzie McDonald,P2,1,1.4500000000000002,1051.0,value_bets_atp_aus_open_2023.csv
Brandon Nakashima vs Mackenzie McDonald,P2,1,1.4500000000000002,1052.45,value_bets_atp_aus_open_2023.csv
Brandon Nakashima vs Mackenzie McDonald,P2,1,1.4,1053.8500000000001,value_bets_atp_aus_open_2023.csv
Brandon Nakashima vs Mackenzie McDonald,P2,1,1.7000000000000002,1055.5500000000002,value_bets_atp_aus_open_2023.csv
Brandon Nakashima vs Mackenzie McDonald,P2,1,1.6,1057.15,value_bets_atp_aus_open_2023.csv
Brandon Nakashima vs Mackenzie McDonald,P2,1,1.5499999999999998,1058.7,value_bets_atp_aus_open_2023.csv
Brandon Nakashima vs Mackenzie McDonald,P2,1,1.5499999999999998,1060.25,value_bets_atp_aus_open_2023.csv
Brandon Nakashima vs Mackenzie McDonald,P2,1,1.5499999999999998,1061.8,value_bets_atp_aus_open_2023.csv
Brandon Nakashima vs Mackenzie McDonald,P2,1,1.63,1063.43,value_bets_atp_aus_open_2023.csv
Brandon Nakashima vs Mackenzie McDonald,P2,1,1.63,1065.0600000000002,value_bets_atp_aus_open_2023.csv
Brandon Nakashima vs Mackenzie McDonald,P2,1,1.63,1066.6900000000003,value_bets_atp_aus_open_2023.csv
Brandon Nakashima vs Mackenzie McDonald,P2,1,1.63,1068.3200000000004,value_bets_atp_aus_open_2023.csv
Brandon Nakashima vs Mackenzie McDonald,P2,1,1.58,1069.9000000000003,value_bets_atp_aus_open_2023.csv
Brandon Nakashima vs Mackenzie McDonald,P2,1,1.6,1071.5000000000002,value_bets_atp_aus_open_2023.csv
Brandon Nakashima vs Mackenzie McDonald,P2,1,1.6800000000000002,1073.1800000000003,value_bets_atp_aus_open_2023.csv
Brandon Nakashima vs Mackenzie McDonald,P2,1,1.5899999999999999,1074.7700000000002,value_bets_atp_aus_open_2023.csv
Brandon Nakashima vs Mackenzie McDonald,P2,1,1.5499999999999998,1076.3200000000002,value_bets_atp_aus_open_2023.csv
Brandon Nakashima vs Mackenzie McDonald,P2,1,1.6,1077.92,value_bets_atp_aus_open_2023.csv
Brandon Nakashima vs Mackenzie McDonald,P2,1,1.5099999999999998,1079.43,value_bets_atp_aus_open_2023.csv
Brandon Nakashima vs Mackenzie McDonald,P2,1,1.65,1081.0800000000002,value_bets_atp_aus_open_2023.csv
Brandon Nakashima vs Mackenzie McDonald,P2,1,1.4,1082.4800000000002,value_bets_atp_aus_open_2023.csv
Brandon Nakashima vs Mackenzie McDonald,P2,1,1.4500000000000002,1083.9300000000003,value_bets_atp_aus_open_2023.csv
Brandon Nakashima vs Mackenzie McDonald,P2,1,1.6600000000000001,1085.5900000000004,value_bets_atp_aus_open_2023.csv
Brandon Nakashima vs Mackenzie McDonald,P2,1,1.63,1087.2200000000005,value_bets_atp_aus_open_2023.csv
Brandon Nakashima vs Mackenzie McDonald,P2,1,1.63,1088.8500000000006,value_bets_atp_aus_open_2023.csv
Brandon Nakashima vs Mackenzie McDonald,P2,1,1.63,1090.4800000000007,value_bets_atp_aus_open_2023.csv
Pavel Kotov vs Tallon Griekspoor,P1,1,-1.0,1089.4800000000007,value_bets_atp_aus_open_2023.csv
Pavel Kotov vs Tallon Griekspoor,P1,1,-1.0,1088.4800000000007,value_bets_atp_aus_open_2023.csv
Pavel Kotov vs Tallon Griekspoor,P1,1,-1.0,1087.4800000000007,value_bets_atp_aus_open_2023.csv
Pavel Kotov vs Tallon Griekspoor,P1,1,-1.0,1086.4800000000007,value_bets_atp_aus_open_2023.csv
Pavel Kotov vs Tallon Griekspoor,P1,1,-1.0,1085.4800000000007,value_bets_atp_aus_open_2023.csv
Pavel Kotov vs Tallon Griekspoor,P1,1,-1.0,1084.4800000000007,value_bets_atp_aus_open_2023.csv
Pavel Kotov vs Tallon Griekspoor,P1,1,-1.0,1083.4800000000007,value_bets_atp_aus_open_2023.csv
