match,side,odds,ev,stake,win,profit,bankroll,source_file,date
Daniil Medvedev vs Thiago Seyboth Wild,p2,10.0,0.7615041024817946,15.170362515355432,True,136.5332626381989,895.0513884059706,bankroll_sim_atp_french_open_2023_deduped.csv,2023-06-01
Francisco Cerundolo vs Jaume Munar,p2,3.45,0.1250488227138015,17.901027768119413,False,-17.901027768119413,877.1503606378511,bankroll_sim_atp_french_open_2023_deduped.csv,2023-06-01
Guido Pella vs Quentin Halys,p2,1.36,0.0681183643712892,17.543007212757022,False,-17.543007212757022,859.6073534250941,bankroll_sim_atp_french_open_2023_deduped.csv,2023-06-01
Emil Ruusuvuori vs Gregoire Barrere,p2,2.72,0.1869512095793704,17.192147068501882,False,-17.192147068501882,842.4152063565922,bankroll_sim_atp_french_open_2023_deduped.csv,2023-06-01
Alycia Parks vs Marketa Vondrousova,p1,8.5,0.9208229577807292,16.848304127131843,False,-16.848304127131843,825.5669022294603,bankroll_sim_wta_french_open_2023_deduped.csv,2023-06-01
Grigor Dimitrov vs Timofey Skatov,p2,7.0,0.3771767221363753,16.511338044589206,False,-16.511338044589206,809.0555641848711,bankroll_sim_atp_french_open_2023_deduped.csv,2023-06-01
Alejandro Davidovich Fokina vs Luca Van Assche,p2,3.18,0.1129272337642997,16.181111283697422,False,-16.181111283697422,792.8744529011736,bankroll_sim_atp_french_open_2023_deduped.csv,2023-06-01
Arthur Rinderknech vs Richard Gasquet,p2,1.68,0.0910521185115003,15.857489058023473,False,-15.857489058023473,777.0169638431502,bankroll_sim_atp_french_open_2023_deduped.csv,2023-06-01
Genaro Alberto Olivieri vs Giovanni Mpetshi Perricard,p2,2.04,0.1158745889608707,15.540339276863003,False,-15.540339276863003,761.4766245662871,bankroll_sim_atp_french_open_2023_deduped.csv,2023-06-01
Dominic Stricker vs Tommy Paul,p2,1.42,0.1007156053417193,15.229532491325742,True,6.39640364635681,767.8730282126439,bankroll_sim_atp_french_open_2023_deduped.csv,2023-06-01
Thiago Agustin Tirante vs Zhizhen Zhang,p2,1.52,0.077719604563788,15.357460564252879,True,7.985879493411497,775.8589077060554,bankroll_sim_atp_french_open_2023_deduped.csv,2023-06-01
Dalma Galfi vs Varvara Gracheva,p1,3.25,0.1695900359162112,15.51717815412111,False,-15.51717815412111,760.3417295519343,bankroll_sim_wta_french_open_2023_deduped.csv,2023-06-01
Anna Karolina Schmiedlova vs Veronika Kudermetova,p1,7.0,0.6919554698201238,15.206834591038687,True,91.24100754623213,851.5827370981665,bankroll_sim_wta_french_open_2023_deduped.csv,2023-06-01
Ana Bogdan vs Camila Osorio,p1,2.57,0.1240312811076609,17.03165474196333,False,-17.03165474196333,834.5510823562032,bankroll_sim_wta_french_open_2023_deduped.csv,2023-06-01
Camila Osorio vs Elise Mertens,p1,2.14,0.0658064272589766,16.691021647124064,False,-16.691021647124064,817.8600607090791,bankroll_sim_wta_french_open_2023_deduped.csv,2023-06-01
Bernarda Pera vs Donna Vekic,p1,2.25,0.0522413122920544,16.357201214181583,True,20.44650151772698,838.3065622268061,bankroll_sim_wta_french_open_2023_deduped.csv,2023-06-01
Anna Blinkova vs Caroline Garcia,p1,3.0,0.1496598475437656,16.766131244536123,True,33.532262489072245,871.8388247158783,bankroll_sim_wta_french_open_2023_deduped.csv,2023-06-01
Kayla Day vs Madison Keys,p1,4.8,0.4129398183001458,17.436776494317566,True,66.25975067840675,938.098575394285,bankroll_sim_wta_french_open_2023_deduped.csv,2023-06-01
Daria Kasatkina vs Marketa Vondrousova,p1,2.99,0.1342809819496444,18.7619715078857,True,37.33632330069255,975.4348986949776,bankroll_sim_wta_french_open_2023_deduped.csv,2023-06-01
Kamilla Rakhimova vs Magdalena Frech,p1,2.21,0.0665418102025916,19.508697973899555,True,23.60552454841846,999.040423243396,bankroll_sim_wta_french_open_2023_deduped.csv,2023-06-01
Danka Kovinic vs Linda Noskova,p1,2.11,0.0568216369029088,19.98080846486792,False,-19.98080846486792,979.0596147785282,bankroll_sim_wta_french_open_2023_deduped.csv,2023-06-01
Kateryna Baindl vs Olga Danilovic,p1,4.3,0.2920125734387757,19.581192295570563,False,-19.581192295570563,959.4784224829576,bankroll_sim_wta_french_open_2023_deduped.csv,2023-06-01
Lucia Bronzetti vs Ons Jabeur,p1,4.85,0.3626179480246985,19.189568449659152,False,-19.189568449659152,940.2888540332984,bankroll_sim_wta_french_open_2023_deduped.csv,2023-06-01
Belinda Bencic vs Elina Avanesyan,p2,7.0,0.2656943207823938,18.80577708066597,True,112.83466248399581,1053.1235165172943,bankroll_sim_wta_french_open_2023_deduped.csv,2023-06-01
Fiona Ferro vs Rebecca Peterson,p1,2.3,0.0740172852165135,21.062470330345885,False,-21.062470330345885,1032.0610461869485,bankroll_sim_wta_french_open_2023_deduped.csv,2023-06-01
Anastasia Pavlyuchenkova vs Liudmila Samsonova,p1,3.1,0.1407652704633142,20.64122092373897,True,43.34656393985184,1075.4076101268004,bankroll_sim_wta_french_open_2023_deduped.csv,2023-06-01
Aliona Bolsova vs Anna Karolina Schmiedlova,p1,2.1,0.050713761448579,21.508152202536007,False,-21.508152202536007,1053.8994579242644,bankroll_sim_wta_french_open_2023_deduped.csv,2023-06-01
Bianca Andreescu vs Victoria Azarenka,p1,2.55,0.090216874136666,21.077989158485288,True,32.670883195652195,1086.5703411199165,bankroll_sim_wta_french_open_2023_deduped.csv,2023-06-01
Jasmine Paolini vs Sorana Cirstea,p1,3.08,0.1564027318794576,21.73140682239833,True,45.20132619058853,1131.771667310505,bankroll_sim_wta_french_open_2023_deduped.csv,2023-06-01
Clara Burel vs Sara Sorribes Tormo,p1,2.79,0.1431075735608427,22.635433346210103,False,-22.635433346210103,1109.1362339642951,bankroll_sim_wta_french_open_2023_deduped.csv,2023-06-01
Maryna Zanevska vs Yulia Putintseva,p1,2.63,0.0800629036916156,22.182724679285904,False,-22.182724679285904,1086.9535092850092,bankroll_sim_wta_french_open_2023_deduped.csv,2023-06-01
Andrea Vavassori vs Miomir Kecmanovic,p2,1.47,0.0994197283784583,21.739070185700186,False,-21.739070185700186,1065.214439099309,bankroll_sim_atp_french_open_2023_deduped.csv,2023-06-01
Dayana Yastremska vs Donna Vekic,p1,2.66,0.1293850203452873,21.30428878198618,False,-21.30428878198618,1043.9101503173229,bankroll_sim_wta_french_open_2023_deduped.csv,2023-06-01
Kaia Kanepi vs Madison Keys,p1,4.0,0.2669848231914609,20.878203006346457,False,-20.878203006346457,1023.0319473109764,bankroll_sim_wta_french_open_2023_deduped.csv,2023-06-01
Petra Martic vs Shelby Rogers,p1,1.75,0.05120058793851,20.46063894621953,True,15.345479209664646,1038.3774265206412,bankroll_sim_wta_french_open_2023_deduped.csv,2023-06-01
Camila Giorgi vs Jessica Pegula,p1,3.1,0.1047705486913737,20.767548530412824,False,-20.767548530412824,1017.6098779902284,bankroll_sim_wta_french_open_2023_deduped.csv,2023-06-01
Alexander Bublik vs Giulio Zeppieri,p2,1.86,0.1560700389816471,20.35219755980457,True,17.50288990143193,1035.1127678916603,bankroll_sim_atp_french_open_2023_deduped.csv,2023-06-01
Jordan Thompson vs Max Purcell,p2,2.1,0.1209970264145177,20.702255357833206,True,22.772480893616528,1057.8852487852769,bankroll_sim_atp_french_open_2023_deduped.csv,2023-06-01
Dusan Lajovic vs Zhizhen Zhang,p2,2.5,0.0953973054745609,21.15770497570554,True,31.736557463558306,1089.6218062488351,bankroll_sim_atp_french_open_2023_deduped.csv,2023-06-01
Luca Van Assche vs Marco Cecchinato,p2,2.0,0.1185265338467131,21.792436124976703,False,-21.792436124976703,1067.8293701238583,bankroll_sim_atp_french_open_2023_deduped.csv,2023-06-01
Alex De Minaur vs Ilya Ivashka,p2,3.5,0.1137827521845074,21.356587402477167,False,-21.356587402477167,1046.4727827213812,bankroll_sim_atp_french_open_2023_deduped.csv,2023-06-01
Brandon Nakashima vs Denis Shapovalov,p2,2.07,0.1167384268690314,20.929455654427624,True,22.394517550237556,1068.867300271619,bankroll_sim_atp_french_open_2023_deduped.csv,2023-06-01
Bernabe Zapata Miralles vs Diego Schwartzman,p2,2.28,0.1154172377388136,21.37734600543238,True,27.363002886953442,1096.2303031585723,bankroll_sim_atp_french_open_2023_deduped.csv,2023-06-01
Alexei Popyrin vs Aslan Karatsev,p2,1.7,0.0978891565792812,21.924606063171446,True,15.34722424422001,1111.5775274027924,bankroll_sim_atp_french_open_2023_deduped.csv,2023-06-01
Juan Pablo Varillas vs Juncheng Shang,p2,2.45,0.1022299758651836,22.231550548055846,False,-22.231550548055846,1089.3459768547366,bankroll_sim_atp_french_open_2023_deduped.csv,2023-06-01
Borna Coric vs Federico Coria,p2,6.5,0.3243472750566618,21.786919537094732,False,-21.786919537094732,1067.5590573176419,bankroll_sim_atp_french_open_2023_deduped.csv,2023-06-01
Roberto Bautista Agut vs Yibing Wu,p2,2.76,0.1314544679332741,21.35118114635284,False,-21.35118114635284,1046.207876171289,bankroll_sim_atp_french_open_2023_deduped.csv,2023-06-01
Jack Draper vs Tomas Martin Etcheverry,p2,1.74,0.1114811668028201,20.92415752342578,True,15.483876567335077,1061.691752738624,bankroll_sim_atp_french_open_2023_deduped.csv,2023-06-01
Lorenzo Musetti vs Mikael Ymer,p2,4.6,0.208093290266949,21.23383505477248,False,-21.23383505477248,1040.4579176838515,bankroll_sim_atp_french_open_2023_deduped.csv,2023-06-01
Jurij Rodionov vs Lucas Pouille,p2,1.68,0.0910521185115003,20.80915835367703,True,14.150227680500379,1054.608145364352,bankroll_sim_atp_french_open_2023_deduped.csv,2023-06-01
Arthur Cazaux vs Corentin Moutet,p2,1.85,0.1126060067622789,21.09216290728704,True,17.928338471193985,1072.5364838355458,bankroll_sim_atp_french_open_2023_deduped.csv,2023-06-01
Ben Shelton vs Lorenzo Sonego,p2,1.42,0.0798381216204333,21.450729676710917,True,9.009306464218584,1081.5457902997643,bankroll_sim_atp_french_open_2023_deduped.csv,2023-06-01
Alexander Shevchenko vs Oscar Otte,p2,3.04,0.1204939624381018,21.630915805995286,False,-21.630915805995286,1059.914874493769,bankroll_sim_atp_french_open_2023_deduped.csv,2023-06-01
Maxime Cressy vs Sebastian Ofner,p2,1.42,0.0798381216204333,21.198297489875383,True,8.903284945747659,1068.8181594395166,bankroll_sim_atp_french_open_2023_deduped.csv,2023-06-01
Pedro Martinez vs Tallon Griekspoor,p2,2.09,0.1294558353658257,21.376363188790332,True,23.30023587578146,1092.1183953152981,bankroll_sim_atp_french_open_2023_deduped.csv,2023-06-01
Patrick Kypson vs Radu Albot,p2,1.4,0.0755579987480361,21.842367906305963,True,8.736947162522384,1100.8553424778206,bankroll_sim_atp_french_open_2023_deduped.csv,2023-06-01
Daniel Evans vs Thanasi Kokkinakis,p2,2.05,0.1221354545825281,22.017106849556413,True,23.11796219203423,1123.9733046698548,bankroll_sim_atp_french_open_2023_deduped.csv,2023-06-01
David Goffin vs Hubert Hurkacz,p2,1.45,0.0825184707159052,22.479466093397097,True,10.115759742028693,1134.0890644118836,bankroll_sim_atp_french_open_2023_deduped.csv,2023-06-01
Facundo Diaz Acosta vs Jason Kubler,p2,2.15,0.1058841914236294,22.681781288237673,True,26.08404848147332,1160.1731128933568,bankroll_sim_atp_french_open_2023_deduped.csv,2023-06-01
Mackenzie Mcdonald vs Sebastian Korda,p2,1.47,0.0872903725549731,23.203462257867137,True,10.905627261197553,1171.0787401545545,bankroll_sim_atp_french_open_2023_deduped.csv,2023-06-01
Andrey Rublev vs Laslo Djere,p2,4.4,0.1747340163655542,23.42157480309109,False,-23.42157480309109,1147.6571653514634,bankroll_sim_atp_french_open_2023_deduped.csv,2023-06-01
Daniel Elahi Galan vs Matteo Arnaldi,p2,1.5,0.0911731993041307,22.95314330702927,True,11.476571653514634,1159.133737004978,bankroll_sim_atp_french_open_2023_deduped.csv,2023-06-01
John Isner vs Nuno Borges,p2,1.41,0.0751299385501942,23.18267474009956,True,9.504896643440818,1168.6386336484188,bankroll_sim_atp_french_open_2023_deduped.csv,2023-06-01
Dominic Thiem vs Pedro Cachin,p2,2.06,0.1140606719332504,23.372772672968377,True,24.77513903334648,1193.4137726817653,bankroll_sim_atp_french_open_2023_deduped.csv,2023-06-01
Botic Van De Zandschulp vs Thiago Agustin Tirante,p2,4.85,0.2356837741528592,23.868275453635306,True,91.89286049649591,1285.306633178261,bankroll_sim_atp_french_open_2023_deduped.csv,2023-06-01
Alejandro Davidovich Fokina vs Arthur Fils,p2,3.7,0.1167951329700818,25.706132663565224,False,-25.706132663565224,1259.6005005146958,bankroll_sim_atp_french_open_2023_deduped.csv,2023-06-01
Hamad Medjedovic vs Marcos Giron,p2,2.15,0.1183373552775461,25.192010010293917,True,28.970811511838,1288.5713120265339,bankroll_sim_atp_french_open_2023_deduped.csv,2023-06-01
Alex Molcan vs Hugo Gaston,p2,2.5,0.147223463177254,25.771426240530676,False,-25.771426240530676,1262.7998857860032,bankroll_sim_atp_french_open_2023_deduped.csv,2023-06-01
Lorenzo Sonego vs Ugo Humbert,p2,2.0,0.1118359766797352,25.255997715720063,False,-25.255997715720063,1237.5438880702832,bankroll_sim_atp_french_open_2023_deduped.csv,2023-06-01
Sebastian Korda vs Sebastian Ofner,p2,2.45,0.1135992330667154,24.750877761405665,True,35.88877275403822,1273.4326608243214,bankroll_sim_atp_french_open_2023_deduped.csv,2023-06-01
Juan Pablo Varillas vs Roberto Bautista Agut,p2,1.45,0.0864615991890185,25.468653216486427,False,-25.468653216486427,1247.964007607835,bankroll_sim_atp_french_open_2023_deduped.csv,2023-06-01
Karen Khachanov vs Radu Albot,p2,5.0,0.2457940870138113,24.959280152156698,False,-24.959280152156698,1223.0047274556782,bankroll_sim_atp_french_open_2023_deduped.csv,2023-06-01
Borna Coric vs Pedro Cachin,p2,3.05,0.1626590552896942,24.460094549113563,False,-24.460094549113563,1198.5446329065646,bankroll_sim_atp_french_open_2023_deduped.csv,2023-06-01
