player,bets,wins,winrate,total_staked,profit,roi,avg_ev
Pavel Kotov,56,0,0.0,6.7138031423255195e+28,-6.7138031423255195e+28,-100.0,0.138
Gregoire Barrere,50,0,0.0,5.398464710029046e+25,-5.398464710029046e+25,-100.0,0.2064
Corentin Moutet,282,48,0.1702,9.212002590350902e+46,-9.212002590350902e+46,-100.0,0.3445
Yoshihito Nishioka,242,66,0.2727,4.174738359364154e+55,-4.174738359364154e+55,-100.0,0.2601
Mikael Ymer,2,0,0.0,8.856671781629553e+27,-8.856671781629553e+27,-100.0,0.5716
Richard Gasquet,12,0,0.0,3.4097357496709215e+35,-3.4097357496709215e+35,-100.0,0.1431
Tallon Griekspoor,84,66,0.7857,1.4910261207007396e+47,-1.4910261203274522e+47,-100.0,0.3433
Miomir Kecmanovic,18,0,0.0,4.0875683454605884e+30,-4.0875683454605884e+30,-100.0,0.5494
Aslan Karatsev,68,0,0.0,1.3720396442926487e+33,-1.3720396442926487e+33,-100.0,0.2363
Oleksii Krutykh,102,0,0.0,8.447038994559331e+31,-8.447038994559331e+31,-100.0,0.1282
Zizou Bergs,80,0,0.0,1.8114377249189066e+31,-1.8114377249189066e+31,-100.0,0.2572
Alexander Bublik,68,0,0.0,9.319664129639623e+29,-9.319664129639623e+29,-100.0,0.3601
Mattia Bellucci,14,0,0.0,2.0202380066355314e+31,-2.0202380066355314e+31,-100.0,0.3557
Ugo Humbert,310,134,0.4323,2.2312580916246258e+49,-2.231258091624625e+49,-100.0,0.2978
Jack Draper,74,0,0.0,1.5970283039555605e+30,-1.5970283039555605e+30,-100.0,0.1706
Sebastian Ofner,84,10,0.119,1.4213825267193753e+50,-1.4213825267062934e+50,-100.0,0.4117
Juan Manuel Cerundolo,150,86,0.5733,2.7021755175514513e+53,-2.702175517551431e+53,-100.0,0.5294
Pedro Cachin,94,0,0.0,1.119046098524276e+38,-1.119046098524276e+38,-100.0,0.4301
Dominic Thiem,174,94,0.5402,9.68663265471715e+51,-9.686632654716956e+51,-100.0,0.216
Yosuke Watanuki,94,0,0.0,3.480698636922338e+37,-3.480698636922338e+37,-100.0,0.2397
