market_id,player_1,player_2,odds_player_1,odds_player_2,actual_winner,winner_name,loser_name,match_date,player_1_clean,player_2_clean,selection_id_1,selection_id_2
1.213402836,Maryna Zanevska,Liudmila Samsonova,,,Liudmila Samsonova,Liudmila Samsonova,Maryna Zanevska,2023-04-24,maryna zanevska,liudmila samsonova,6390239,21067365
1.213405471,Rebecca Marino,Elise Mertens,,,Elise Mertens,Elise Mertens,Rebecca Marino,2023-04-24,rebecca marino,elise mertens,3444552,9002334
1.213409678,Jelena Ostapenko,Linda Fruhvirtova,,,Jelena Ostapenko,Jelena Ostapenko,Linda Fruhvirtova,2023-04-24,jelena ostapenko,linda fruhvirtova,8827537,22108508
1.21341044,Yulia Putintseva,Caroline Garcia,,,Caroline Garcia,Caroline Garcia,Yulia Putintseva,2023-04-24,yulia putintseva,caroline garcia,4259580,5248977
1.213414409,Magdalena Frech,Jasmine Paolini,,,Magdalena Frech,Magdalena Frech,Jasmine Paolini,2023-04-24,magdalena frech,jasmine paolini,8444351,8944356
1.213414411,Arantxa Rus,Amanda Anisimova,,,Arantxa Rus,Arantxa Rus,Amanda Anisimova,2023-04-24,arantxa rus,amanda anisimova,2451050,11636088
1.213414418,Eugenie Bouchard,Dayana Yastremska,,,Eugenie Bouchard,Eugenie Bouchard,Dayana Yastremska,2023-04-24,eugenie bouchard,dayana yastremska,5704759,9634670
1.213414687,Clara Burel,Camila Osorio,,,Camila Osorio,Camila Osorio,Clara Burel,2023-04-24,clara burel,camila osorio,10351066,11024005
1.213414693,Nuria Parrizas Diaz,Anna Blinkova,,,Nuria Parrizas Diaz,Nuria Parrizas Diaz,Anna Blinkova,2023-04-24,nuria parrizas diaz,anna blinkova,9364864,9635244
1.213414731,Kaia Kanepi,Irene Burillo Escorihue,,,Irene Burillo Escorihuela,Irene Burillo Escorihuela,Kaia Kanepi,2023-04-24,kaia kanepi,irene burillo escorihue,2250864,9631608
1.213415073,Laura Siegemund,Nadia Podoroska,,,Laura Siegemund,Laura Siegemund,Nadia Podoroska,2023-04-24,laura siegemund,nadia podoroska,4829328,9042349
1.213415084,Alize Cornet,Elena-Gabriela Ruse,,,Alize Cornet,Alize Cornet,Elena Gabriela Ruse,2023-04-24,alize cornet,elena gabriela ruse,2263692,11439772
1.213415124,Sara Errani,Danka Kovinic,,,Danka Kovinic,Danka Kovinic,Sara Errani,2023-04-24,sara errani,danka kovinic,2309567,7414059
1.213415478,Alycia Parks,Anna Karolina Schmiedlova,,,Alycia Parks,Alycia Parks,Anna Karolina Schmiedlova,2023-04-24,alycia parks,anna karolina schmiedlova,11233227,40900202
1.213415489,Marketa Vondrousova,Marina Bassols Ribera,,,Marketa Vondrousova,Marketa Vondrousova,Marina Bassols Ribera,2023-04-24,marketa vondrousova,marina bassols ribera,9433253,10166446
1.213445827,Beatriz Haddad Maia,Mirra Andreeva,,,Mirra Andreeva,Mirra Andreeva,Beatriz Haddad Maia,2023-04-24,beatriz haddad maia,mirra andreeva,7083752,49006396
1.213446721,Viktoriya Tomova,Julia Grabher,,,Julia Grabher,Julia Grabher,Viktoriya Tomova,2023-04-24,viktoriya tomova,julia grabher,4597116,8681454
1.213447877,Anhelina Kalinina,Mayar Sherif,,,Mayar Sherif,Mayar Sherif,Anhelina Kalinina,2023-04-24,anhelina kalinina,mayar sherif,8907168,9028621
1.213448163,Donna Vekic,Rebeka Masarova,,,Rebeka Masarova,Rebeka Masarova,Donna Vekic,2023-04-24,donna vekic,rebeka masarova,6603944,10372262
1.213448607,Arantxa Rus,Maria Sakkari,,,Maria Sakkari,Maria Sakkari,Arantxa Rus,2023-04-24,arantxa rus,maria sakkari,2451050,9002331
1.213450242,Anna Kalinskaya,Elena Rybakina,,,Anna Kalinskaya,Anna Kalinskaya,Elena Rybakina,2023-04-24,anna kalinskaya,elena rybakina,8907174,10349398
1.21345037,Camila Osorio,Marta Kostyuk,,,Camila Osorio,Camila Osorio,Marta Kostyuk,2023-04-24,camila osorio,marta kostyuk,11024005,11694656
1.213450953,Aliaksandra Sasnovich,Marie Bouzkova,,,Marie Bouzkova,Marie Bouzkova,Aliaksandra Sasnovich,2023-04-24,aliaksandra sasnovich,marie bouzkova,7283310,8442764
1.213452168,Veronika Kudermetova,Nuria Parrizas Diaz,,,Veronika Kudermetova,Veronika Kudermetova,Nuria Parrizas Diaz,2023-04-24,veronika kudermetova,nuria parrizas diaz,8279497,9364864
1.213452515,Bianca Andreescu,Xiyu Wang,,,Xiyu Wang,Xiyu Wang,Bianca Andreescu,2023-04-24,bianca andreescu,xiyu wang,10141729,11352357
1.213452645,Jessica Pegula,Magdalena Frech,,,Jessica Pegula,Jessica Pegula,Magdalena Frech,2023-04-24,jessica pegula,magdalena frech,6215852,8444351
1.213456547,Lesia Tsurenko,Jil Teichmann,,,Lesia Tsurenko,Lesia Tsurenko,Jil Teichmann,2023-04-24,lesia tsurenko,jil teichmann,5300861,9247812
