market_id,player_1,player_2,odds_player_1,odds_player_2,actual_winner,winner_name,loser_name,match_date,player_1_clean,player_2_clean,selection_id_1,selection_id_2
1.211665131,Kyle Edmund,Yibing Wu,7.6,1.06,Yibing Wu,Yibing Wu,Kyle Edmund,2023-03-20,kyle edmund,yibing wu,5626817,9633377
1.211665141,Albert Ramos-Vinolas,Marc-Andrea Huesler,50.0,1.01,Marc Andrea Huesler,Marc Andrea Huesler,Albert Ramos,2023-03-20,albert ramos vinolas,marc andrea huesler,8621877,9631939
1.211665405,Guido Pella,Juan Pablo Varillas,1.75,2.26,Guido Pella,Guido Pella,Juan Pablo Varillas,2023-03-20,guido pella,juan pablo varillas,6162610,11772759
1.211665541,Daniel Elahi Galan,Mackenzie McDonald,7.0,1.17,Mackenzie Mcdonald,Mackenzie Mcdonald,Daniel Elahi Galan,2023-03-20,daniel elahi galan,mackenzie mcdonald,8860646,10691901
1.211665802,John Isner,Emilio Nava,12.0,1.09,Emilio Nava,Emilio Nava,John Isner,2023-03-20,john isner,emilio nava,2474763,12646384
1.211665812,Alexander Bublik,J.j. Wolf,310.0,1.9,J J Wolf,J J Wolf,Alexander Bublik,2023-03-20,alexander bublik,jj wolf,8907933,24339655
1.211666201,Andy Murray,Dusan Lajovic,30.0,1.01,Dusan Lajovic,Dusan Lajovic,Andy Murray,2023-03-20,andy murray,dusan lajovic,2256509,4688724
1.211666213,Quentin Halys,Pedro Martinez,1.04,3.55,Quentin Halys,Quentin Halys,Pedro Martinez,2023-03-20,quentin halys,pedro martinez,7287690,13181195
1.211666496,Adrian Mannarino,Juncheng Shang,1.45,3.2,Adrian Mannarino,Adrian Mannarino,Juncheng Shang,2023-03-20,adrian mannarino,juncheng shang,3066621,38901959
1.211666508,Jason Kubler,Thiago Monteiro,1.4,3.45,Thiago Monteiro,Thiago Monteiro,Jason Kubler,2023-03-20,jason kubler,thiago monteiro,4448756,8326656
1.211667103,Bernabe Zapata Miralles,Roberto Carballes Baena,1.91,2.1,Roberto Carballes Baena,Roberto Carballes Baena,Bernabe Zapata Miralles,2023-03-20,bernabe zapata miralles,roberto carballes baena,9630472,42313578
1.211667112,Gael Monfils,Ugo Humbert,4.2,1.34,Ugo Humbert,Ugo Humbert,Gael Monfils,2023-03-20,gael monfils,ugo humbert,2257300,9633253
1.211667336,Dominic Thiem,Lorenzo Sonego,2.38,1.57,Lorenzo Sonego,Lorenzo Sonego,Dominic Thiem,2023-03-20,dominic thiem,lorenzo sonego,5720747,8826925
1.211667511,Oscar Otte,Brandon Nakashima,600.0,1.45,Brandon Nakashima,Brandon Nakashima,Oscar Otte,2023-03-20,oscar otte,brandon nakashima,9624731,17806048
1.211667637,Marton Fucsovics,Pedro Cachin,1.01,110.0,Marton Fucsovics,Marton Fucsovics,Pedro Cachin,2023-03-20,marton fucsovics,pedro cachin,4827766,8461316
1.21171693,Daniel Altmaier,Ilya Ivashka,2.82,1.54,Ilya Ivashka,Ilya Ivashka,Daniel Altmaier,2023-03-20,daniel altmaier,ilya ivashka,9632088,19924837
1.211716953,Facundo Bagnis,Felipe Meligeni Alves,1.26,4.0,Facundo Bagnis,Facundo Bagnis,Felipe Meligeni Alves,2023-03-20,facundo bagnis,felipe meligeni alves,4520808,42830226
1.211717127,Benoit Paire,Yosuke Watanuki,2.38,1.73,Yosuke Watanuki,Yosuke Watanuki,Benoit Paire,2023-03-20,benoit paire,yosuke watanuki,3911345,19924830
1.211717134,Laslo Djere,Aleksandar Vukic,2.32,1.76,Laslo Djere,Laslo Djere,Aleksandar Vukic,2023-03-20,laslo djere,aleksandar vukic,7692106,8979695
1.2117174,Tomas Martin Etcheverry,Pavel Kotov,1.94,2.1,Tomas Martin Etcheverry,Tomas Martin Etcheverry,Pavel Kotov,2023-03-20,tomas martin etcheverry,pavel kotov,9631399,10166537
