market_id,player_1,player_2,odds_player_1_x,odds_player_2_x,actual_winner,winner_name,loser_name,match_date,player_1_clean,player_2_clean,selection_id_1,selection_id_2,odds_player_1_y,odds_player_2_y,odds_player_1,odds_player_2,implied_prob_1,implied_prob_2,odds_margin,implied_diff,player_1_won,pred_prob_player_1,ev,kelly_stake
1.208567859,Lorenzo Sonego,Nuno Borges,1.32,4.1,Lorenzo Sonego,Lorenzo Sonego,Nuno Borges,2023-01-16,lorenzo sonego,nuno borges,8826925,9633043,1.32,4.1,1.32,4.1,0.7575757575757576,0.2439024390243902,1.0014781966001478,0.5136733185513673,1,0.8197839837539663,0.08211485855523559,0.25660893298511117
1.208799621,Casper Ruud,Jenson Brooksby,1.3,4.2,Jenson Brooksby,Jenson Brooksby,Casper Ruud,2023-01-16,casper ruud,jenson brooksby,9629711,11881072,1.3,4.2,1.3,4.2,0.7692307692307692,0.238095238095238,1.0073260073260073,0.531135531135531,0,0.8317806428025424,0.0813148356433051,0.2710494521443504
1.208840394,Felix Auger Aliassime,Francisco Cerundolo,1.12,9.4,Felix Auger Aliassime,Felix Auger Aliassime,Francisco Cerundolo,2023-01-16,felix auger aliassime,francisco cerundolo,9321841,11204210,1.12,9.4,1.12,9.4,0.8928571428571428,0.1063829787234042,0.9992401215805472,0.7864741641337385,1,0.95,0.06400000000000006,0.5333333333333333
1.208840756,Stefanos Tsitsipas,Tallon Griekspoor,1.12,9.6,Stefanos Tsitsipas,Stefanos Tsitsipas,Tallon Griekspoor,2023-01-16,stefanos tsitsipas,tallon griekspoor,9193006,9198585,1.12,9.6,1.12,9.6,0.8928571428571428,0.1041666666666666,0.9970238095238094,0.7886904761904762,1,0.95,0.06400000000000006,0.5333333333333333
1.208835867,Roberto Bautista Agut,Brandon Holt,1.11,9.4,Roberto Bautista Agut,Roberto Bautista Agut,Brandon Holt,2023-01-16,roberto bautista agut,brandon holt,4290403,10410230,1.11,9.4,1.11,9.4,0.9009009009009008,0.1063829787234042,1.007283879624305,0.7945179221774965,1,0.95,0.05449999999999999,0.4954545454545455
1.208787744,Pablo Carreno Busta,Benjamin Bonzi,1.38,3.65,Benjamin Bonzi,Benjamin Bonzi,Pablo Carreno Busta,2023-01-16,pablo carreno busta,benjamin bonzi,5479878,9632014,1.38,3.65,1.38,3.65,0.7246376811594204,0.273972602739726,0.9986102838991464,0.4506650784196944,0,0.7616223190951417,0.05103880035129538,0.13431263250340908
1.208567554,Pablo Carreno Busta,Pedro Cachin,1.1,100.0,Pablo Carreno Busta,Pablo Carreno Busta,Pedro Cachin,2023-01-16,pablo carreno busta,pedro cachin,5479878,8461316,1.1,100.0,1.1,10.0,0.9090909090909092,0.1,1.009090909090909,0.8090909090909091,1,0.95,0.04499999999999993,0.45
1.20856762,Jason Kubler,Sebastian Baez,1.36,3.65,Jason Kubler,Jason Kubler,Sebastian Baez,2023-01-16,jason kubler,sebastian baez,4448756,11285506,1.36,3.65,1.36,3.65,0.7352941176470588,0.273972602739726,1.0092667203867849,0.4613215149073327,1,0.7644387954615217,0.03963676182766962,0.11010211618797114
1.208567865,Sebastian Korda,Cristian Garin,1.09,11.0,Sebastian Korda,Sebastian Korda,Cristian Garin,2023-01-16,sebastian korda,cristian garin,10902223,23814703,1.09,11.0,1.09,10.0,0.9174311926605504,0.1,1.0174311926605504,0.8174311926605504,1,0.95,0.03550000000000009,0.39444444444444443
1.208567811,Grigor Dimitrov,Aslan Karatsev,1.42,3.35,Grigor Dimitrov,Grigor Dimitrov,Aslan Karatsev,2023-01-16,grigor dimitrov,aslan karatsev,3120169,7659748,1.42,3.35,1.42,3.35,0.7042253521126761,0.2985074626865671,1.0027328147992431,0.405717889426109,1,0.7160177878843045,0.016745258795712203,0.039869663799315044
1.2085677,Karen Khachanov,Bernabe Zapata Miralles,1.07,21.0,Karen Khachanov,Karen Khachanov,Bernabe Zapata Miralles,2023-01-16,karen khachanov,bernabe zapata miralles,7659623,9630472,1.07,21.0,1.07,10.0,0.9345794392523364,0.1,1.0345794392523364,0.8345794392523365,1,0.95,0.01649999999999996,0.2357142857142857
1.209134319,Novak Djokovic,Tommy Paul,1.07,15.0,Novak Djokovic,Novak Djokovic,Tommy Paul,2023-01-16,novak djokovic,tommy paul,2249229,8859306,1.07,15.0,1.07,10.0,0.9345794392523364,0.1,1.0345794392523364,0.8345794392523365,1,0.95,0.01649999999999996,0.2357142857142857
