market_id,player_1,player_2,odds_player_1,odds_player_2,actual_winner,winner_name,loser_name,match_date,player_1_clean,player_2_clean,selection_id_1,selection_id_2,implied_prob_1,implied_prob_2,odds_margin,implied_diff
1.2085677,Karen Khachanov,Bernabe Zapata Miralles,1.07,21.0,Karen Khachanov,Karen Khachanov,Bernabe Zapata Miralles,2023-01-16,karen khachanov,bernabe zapata miralles,7659623,9630472,0.9345794392523364,0.047619047619047616,-0.017801513128615998,0.8869603916332889
1.208567706,John Isner,Adrian Mannarino,1.39,2.2,Adrian Mannarino,Adrian Mannarino,John Isner,2023-01-16,john isner,adrian mannarino,2474763,3066621,0.7194244604316548,0.45454545454545453,0.17396991497710923,0.2648790058862002
1.208567757,Filip Krajinovic,Holger Rune,50.0,1.2,Holger Rune,Holger Rune,Filip Krajinovic,2023-01-16,filip krajinovic,holger rune,3509265,39127965,0.02,0.8333333333333334,-0.1466666666666666,-0.8133333333333334
1.208567763,Mackenzie McDonald,Brandon Nakashima,2.82,1.49,Mackenzie Mcdonald,Mackenzie Mcdonald,Brandon Nakashima,2023-01-16,mackenzie mcdonald,brandon nakashima,7569897,17806048,0.3546099290780142,0.6711409395973155,0.025750868675329608,-0.31653101051930127
1.208567775,Gregoire Barrere,Tomas Martin Etcheverry,30.0,1.05,Tomas Martin Etcheverry,Tomas Martin Etcheverry,Gregoire Barrere,2023-01-16,gregoire barrere,tomas martin etcheverry,8842295,9631399,0.03333333333333333,0.9523809523809523,-0.014285714285714346,-0.919047619047619
1.208567781,Constant Lestienne,Thiago Monteiro,2.2,1.86,Constant Lestienne,Constant Lestienne,Thiago Monteiro,2023-01-16,constant lestienne,thiago monteiro,7797931,8326656,0.45454545454545453,0.5376344086021505,-0.00782013685239491,-0.08308895405669597
1.208567787,Marcos Giron,Daniil Medvedev,23.0,1.04,Daniil Medvedev,Daniil Medvedev,Marcos Giron,2023-01-16,marcos giron,daniil medvedev,8230256,19924831,0.043478260869565216,0.9615384615384615,0.0050167224080266415,-0.9180602006688963
1.208567793,Christopher Eubanks,Soonwoo Kwon,1.01,21.0,Christopher Eubanks,Christopher Eubanks,Soon Woo Kwon,2023-01-16,christopher eubanks,soonwoo kwon,7445660,16149526,0.9900990099009901,0.047619047619047616,0.03771805752003776,0.9424799622819424
1.208567799,Yoshihito Nishioka,Mikael Ymer,2.24,1.8,Yoshihito Nishioka,Yoshihito Nishioka,Mikael Ymer,2023-01-16,yoshihito nishioka,mikael ymer,7137497,8679651,0.4464285714285714,0.5555555555555556,0.001984126984126977,-0.10912698412698418
1.208567805,Casper Ruud,Tomas Machac,1.21,190.0,Casper Ruud,Casper Ruud,Tomas Machac,2023-01-16,casper ruud,tomas machac,9629711,16149495,0.8264462809917356,0.005263157894736842,-0.16829056111352758,0.8211831230969987
1.208567811,Grigor Dimitrov,Aslan Karatsev,1.42,3.35,Grigor Dimitrov,Grigor Dimitrov,Aslan Karatsev,2023-01-16,grigor dimitrov,aslan karatsev,3120169,7659748,0.7042253521126761,0.29850746268656714,0.002732814799243144,0.405717889426109
1.208567817,Lloyd Harris,Lorenzo Musetti,1.01,1.38,Lloyd Harris,Lloyd Harris,Lorenzo Musetti,2023-01-16,lloyd harris,lorenzo musetti,11313212,13834991,0.9900990099009901,0.7246376811594204,0.7147366910604105,0.2654613287415697
