bankroll,drawdown
1003.0,0.0
1003.1,0.0
1004.1,0.0
1007.3000000000001,0.0
1007.5000000000001,0.0
1013.2000000000002,0.0
1003.2000000000002,10.0
993.2000000000002,20.0
993.3000000000002,19.899999999999977
994.1000000000001,19.100000000000023
999.7000000000002,13.5
1002.5000000000001,10.700000000000045
1012.1000000000001,1.1000000000000227
1002.1000000000001,11.100000000000023
992.1000000000001,21.100000000000023
994.6000000000001,18.600000000000023
996.0000000000001,17.200000000000045
996.9000000000001,16.300000000000068
1001.9000000000001,11.300000000000068
1002.2,11.000000000000114
1002.3000000000001,10.900000000000091
1007.4000000000001,5.800000000000068
1011.4000000000001,1.8000000000000682
1012.2,1.0000000000001137
1031.0,0.0
1045.0,0.0
1049.2,0.0
1049.7,0.0
1039.7,10.0
1029.7,20.0
1029.9,19.799999999999955
1031.2,18.5
1021.2,28.5
1021.9000000000001,27.799999999999955
1023.9000000000001,25.799999999999955
1028.2,21.5
1031.4,18.299999999999955
1031.5,18.200000000000045
1031.8,17.90000000000009
1034.8,14.900000000000091
1034.8999999999999,14.800000000000182
1041.1999999999998,8.500000000000227
1031.1999999999998,18.500000000000227
1031.2999999999997,18.40000000000032
1035.3999999999996,14.30000000000041
1036.3999999999996,13.30000000000041
1026.3999999999996,23.30000000000041
1050.3999999999996,0.0
1040.3999999999996,10.0
1047.1999999999996,3.2000000000000455
1047.5999999999997,2.7999999999999545
1047.6999999999996,2.7000000000000455
1049.1999999999996,1.2000000000000455
1091.1999999999996,0.0
1091.6999999999996,0.0
1097.5999999999997,0.0
1112.5999999999997,0.0
1113.5999999999997,0.0
1114.9999999999998,0.0
1115.8999999999999,0.0
1116.8999999999999,0.0
1125.6,0.0
1127.3,0.0
1117.3,10.0
1119.7,7.599999999999909
1124.6000000000001,2.699999999999818
1141.8000000000002,0.0
1142.0000000000002,0.0
1145.3000000000002,0.0
1145.4,0.0
1135.4,10.0
1135.5,9.900000000000091
1135.6,9.800000000000182
1139.3999999999999,6.000000000000227
1142.1,3.300000000000182
1143.3999999999999,2.0000000000002274
1143.8,1.6000000000001364
1144.0,1.400000000000091
1145.5,0.0
1147.0,0.0
1147.4,0.0
1151.5,0.0
1152.1,0.0
1155.8999999999999,0.0
1155.9999999999998,0.0
1157.5999999999997,0.0
1157.6999999999996,0.0
1159.7999999999995,0.0
1160.8999999999994,0.0
