market_id,player_1,player_2,odds_player_1,odds_player_2,actual_winner,winner_name,loser_name,match_date
1.21174608,Aliaksandra Sasnovich,Barbora Krejcikova,5.9,1.02,Barbora Krejcikova,Barbora Krejcikova,Aliaksandra Sasnovich,2023-03-20
1.211747224,Ons Jabeur,Varvara Gracheva,100.0,1.01,Varvara Gracheva,Varvara Gracheva,Ons Jabeur,2023-03-20
1.211747822,Madison Brengle,Donna Vekic,4.7,1.27,Donna Vekic,Donna Vekic,Madison Brengle,2023-03-20
1.211748191,Maria Sakkari,Bianca Andreescu,990.0,1.01,Bianca Andreescu,Bianca Andreescu,Maria Sakkari,2023-03-20
1.211749493,Caroline Garcia,Sorana Cirstea ,1.49,1.01,Sorana Cirstea,Sorana Cirstea,Caroline Garcia,2023-03-20
1.211749755,Veronika Kudermetova,Marketa Vondrousova,2.52,1.02,Marketa Vondrousova,Marketa Vondrousova,Veronika Kudermetova,2023-03-20
1.21175015,Anhelina Kalinina,Sofia Kenin,1.98,1.01,Sofia Kenin,Sofia Kenin,Anhelina Kalinina,2023-03-20
1.211750829,Taylor Townsend,Ekaterina Alexandrova,34.0,1.01,Ekaterina Alexandrova,Ekaterina Alexandrova,Taylor Townsend,2023-03-20
1.211751819,Karolina Pliskova,Xinyu Wang,1.37,990.0,Karolina Pliskova,Karolina Pliskova,Xin Yu Wang,2023-03-20
1.211752681,Belinda Bencic,Leylah Fernandez,1.37,3.75,Belinda Bencic,Belinda Bencic,Leylah Fernandez,2023-03-20
1.211755422,Marie Bouzkova,Anna Blinkova,1.01,990.0,Marie Bouzkova,Marie Bouzkova,Anna Blinkova,2023-03-20
1.211755673,Shelby Rogers,A Sabalenka,990.0,1.18,Aryna Sabalenka,Aryna Sabalenka,Shelby Rogers,2023-03-20
1.211785358,Petra Martic,Elise Mertens,2.42,1.01,Elise Mertens,Elise Mertens,Petra Martic,2023-03-20
1.211787011,Qinwen Zheng,Liudmila Samsonova,2.14,1.82,Qinwen Zheng,Qinwen Zheng,Liudmila Samsonova,2023-03-20
1.211788025,Anastasia Potapova,Coco Gauff,1.01,990.0,Anastasia Potapova,Anastasia Potapova,Coco Gauff,2023-03-20
1.211789303,Beatriz Haddad Maia,Jelena Ostapenko,2.54,1.65,Jelena Ostapenko,Jelena Ostapenko,Beatriz Haddad Maia,2023-03-20
1.211794773,Martina Trevisan,Claire Liu,1.01,7.4,Martina Trevisan,Martina Trevisan,Claire Liu,2023-03-20
1.211796839,Victoria Azarenka,Magda Linette,7.6,1.01,Magda Linette,Magda Linette,Victoria Azarenka,2023-03-20
1.211801569,Paula Badosa,Elena Rybakina,34.0,1.41,Elena Rybakina,Elena Rybakina,Paula Badosa,2023-03-20
1.211834782,Karolina Pliskova,Marketa Vondrousova,1000.0,1.02,Marketa Vondrousova,Marketa Vondrousova,Karolina Pliskova,2023-03-20
1.211835119,Magdalena Frech,Erika Andreeva,1.93,1.96,Magdalena Frech,Magdalena Frech,Erika Andreeva,2023-03-20
1.211835543,Madison Keys,Barbora Krejcikova,100.0,1.01,Barbora Krejcikova,Barbora Krejcikova,Madison Keys,2023-03-20
1.211836373,Sofia Kenin,Bianca Andreescu,28.0,1.01,Bianca Andreescu,Bianca Andreescu,Sofia Kenin,2023-03-20
1.211837155,Karolina Muchova,Sorana Cirstea ,140.0,3.75,Sorana Cirstea,Sorana Cirstea,Karolina Muchova,2023-03-20
1.211841173,Petra Kvitova,Donna Vekic,1.01,100.0,Petra Kvitova,Petra Kvitova,Donna Vekic,2023-03-20
1.211841483,Belinda Bencic,Ekaterina Alexandrova,1.33,4.3,Ekaterina Alexandrova,Ekaterina Alexandrova,Belinda Bencic,2023-03-20
1.211842719,Marie Bouzkova,A Sabalenka,160.0,1.16,Aryna Sabalenka,Aryna Sabalenka,Marie Bouzkova,2023-03-20
1.211843333,Magdalena Frech,Varvara Gracheva,3.85,1.39,Varvara Gracheva,Varvara Gracheva,Magdalena Frech,2023-03-20
1.211890938,Anastasia Potapova,Qinwen Zheng,1.01,100.0,Anastasia Potapova,Anastasia Potapova,Qinwen Zheng,2023-03-20
1.211898009,Jessica Pegula,Magda Linette,1.01,55.0,Jessica Pegula,Jessica Pegula,Magda Linette,2023-03-20
1.211904748,Jelena Ostapenko,Martina Trevisan,510.0,1.01,Martina Trevisan,Martina Trevisan,Jelena Ostapenko,2023-03-20
1.211911862,Elise Mertens,Elena Rybakina,1000.0,1.01,Elena Rybakina,Elena Rybakina,Elise Mertens,2023-03-20
1.211935767,Marketa Vondrousova,Sorana Cirstea ,100.0,1.01,Sorana Cirstea,Sorana Cirstea,Marketa Vondrousova,2023-03-20
1.211937245,Ekaterina Alexandrova,Bianca Andreescu,2.68,1.6,Ekaterina Alexandrova,Ekaterina Alexandrova,Bianca Andreescu,2023-03-20
1.211939007,Petra Kvitova,Varvara Gracheva,1.55,2.8,Petra Kvitova,Petra Kvitova,Varvara Gracheva,2023-03-20
1.211948246,Barbora Krejcikova,A Sabalenka,3.25,1.42,Aryna Sabalenka,Aryna Sabalenka,Barbora Krejcikova,2023-03-20
1.21198872,Jessica Pegula,Anastasia Potapova,1.01,100.0,Jessica Pegula,Jessica Pegula,Anastasia Potapova,2023-03-20
1.211990291,Martina Trevisan,Elena Rybakina,10.0,1.11,Elena Rybakina,Elena Rybakina,Martina Trevisan,2023-03-20
1.211995931,Petra Kvitova,Ekaterina Alexandrova,1.05,18.5,Petra Kvitova,Petra Kvitova,Ekaterina Alexandrova,2023-03-20
1.212000524,A Sabalenka,Sorana Cirstea ,100.0,1.01,Sorana Cirstea,Sorana Cirstea,Aryna Sabalenka,2023-03-20
1.212112919,Petra Kvitova,Sorana Cirstea ,1.96,34.0,Petra Kvitova,Petra Kvitova,Sorana Cirstea,2023-03-20
