bankroll,stake,payout,odds,won,ev,source_file
1160.0,50.0,210.0,4.2,1,2.9899999999999998,ausopen_2023_atp_value_bets.csv
1334.0,58.0,232.0,4.0,1,2.8,ausopen_2023_atp_value_bets.csv
1416.708,66.7,149.40800000000002,2.24,1,1.1280000000000001,ausopen_2023_atp_value_bets.csv
1493.2102320000001,70.8354,147.337632,2.08,1,0.976,ausopen_2023_atp_value_bets.csv
1548.4590105840002,74.6605116,129.909290184,1.74,1,0.653,ausopen_2023_atp_value_bets.csv
1603.4293054597322,77.42295052920002,132.39324540493203,1.71,1,0.6244999999999998,ausopen_2023_atp_value_bets.csv
1628.282459694358,80.17146527298661,105.02461950761246,1.31,1,0.24449999999999994,ausopen_2023_atp_value_bets.csv
1652.7066965897734,81.4141229847179,105.83835988013328,1.3,1,0.23499999999999988,ausopen_2023_atp_value_bets.csv
1675.0182369937354,82.63533482948867,104.94687523345061,1.27,1,0.2064999999999999,ausopen_2023_atp_value_bets.csv
1701.8185287856352,83.75091184968677,110.55120364158654,1.32,1,0.2554734210780909,crossslam_atp_usopen_eval_value_bets.csv
1820.9458258006296,85.09092643928176,204.21822345427623,2.4,1,0.9782351159129241,crossslam_atp_usopen_eval_value_bets.csv
1860.0961610553431,91.04729129003148,130.19762654474502,1.43,1,0.3392546114537274,crossslam_atp_usopen_eval_value_bets.csv
1918.6891901285865,93.00480805276716,151.59783712601046,1.63,1,0.48312965297533284,crossslam_atp_usopen_eval_value_bets.csv
1983.9246225929585,95.93445950642933,161.16989197080127,1.68,1,0.5230187030550308,crossslam_atp_usopen_eval_value_bets.csv
1884.7283914633106,99.19623112964793,0.0,1.62,0,0.48017241117216347,crossslam_atp_usopen_eval_value_bets.csv
2046.8150331291554,94.23641957316553,256.32306123901026,2.72,1,1.1599852227033756,crossslam_atp_usopen_eval_value_bets.csv
2088.774741308303,102.34075165645777,144.30045983560544,1.41,1,0.3236923512021783,crossslam_atp_usopen_eval_value_bets.csv
2205.746126821568,104.43873706541515,221.41012257868013,2.12,1,0.8157626245599929,crossslam_miami_eval_value_bets.csv
2277.4328759432688,110.2873063410784,181.97405546277935,1.65,1,0.3903887255128109,crossslam_miami_eval_value_bets.csv
2445.9629087630706,113.87164379716344,282.40167661696535,2.48,1,1.0195797110262736,crossslam_miami_eval_value_bets.csv
2624.5182011027746,122.29814543815354,300.8534377778577,2.46,1,1.02039251395222,crossslam_miami_eval_value_bets.csv
2939.4603852351074,131.22591005513874,446.1680941874717,3.4,1,1.528138998684749,crossslam_miami_eval_value_bets.csv
2998.2495929398096,146.97301926175538,205.76222696645752,1.4,1,0.3166797168852764,crossslam_miami_eval_value_bets.csv
3148.1620725868,149.91247964699048,299.82495929398095,2.0,1,0.7390916714411886,crossslam_miami_eval_value_bets.csv
3581.034357567485,157.40810362934002,590.280388610025,3.75,1,1.7090470543568825,crossslam_miami_eval_value_bets.csv
3974.9481368999086,179.05171787837426,572.9654972107977,3.2,1,1.4158858757354942,crossslam_miami_eval_value_bets.csv
4372.4429505899,198.74740684499545,596.2422205349864,3.0,1,1.126784729596336,crossslam_wta_iw_eval_value_bets.csv
4656.651742378243,218.622147529495,502.8309393178385,2.3,1,0.7376747747858736,crossslam_wta_usopen_eval_value_bets.csv
4761.426406581754,232.8325871189122,337.60725132242266,1.45,1,0.32898737999594396,crossslam_wta_usopen_eval_value_bets.csv
4961.406315658188,238.0713203290877,438.0512294055214,1.84,1,0.5906478404274409,crossslam_wta_usopen_eval_value_bets.csv
