match,side,stake,odds,ev,win,profit,bankroll
David Goffin vs Hubert Hurkacz,p2,20.0,1.48,0.0588568516897507,True,9.6,1009.6
David Goffin vs Hubert Hurkacz,p2,20.192,1.47,0.0748318890136828,True,9.49024,1019.09024
David Goffin vs Hubert Hurkacz,p2,20.3818048,1.46,0.069739510692091,True,9.375630208,1028.465870208
Maxime Cressy vs Sebastian Ofner,p2,20.569317404160003,1.42,0.0545762388863256,True,8.6391133097472,1037.1049835177473
Maxime Cressy vs Sebastian Ofner,p2,20.742099670354946,1.43,0.0648906297936716,True,8.919102858252625,1046.024086376
Maxime Cressy vs Sebastian Ofner,p2,20.920481727520002,1.43,0.0648906297936716,True,8.9958071428336,1055.0198935188337
Patrick Kypson vs Radu Albot,p2,21.100397870376675,1.42,0.0545762388863256,True,8.862167105558202,1063.882060624392
Patrick Kypson vs Radu Albot,p2,21.27764121248784,1.43,0.074547116540508,True,9.14938572136977,1073.0314463457617
Patrick Kypson vs Radu Albot,p2,21.460628926915234,1.42,0.0692002497857361,True,9.013464149304397,1082.044910495066
Pedro Martinez vs Tallon Griekspoor,p2,21.64089820990132,2.04,0.08306797742987,True,22.506534138297372,1104.5514446333634
Pedro Martinez vs Tallon Griekspoor,p2,22.091028892667268,2.13,0.1306996913207984,True,24.96286264871401,1129.5143072820774
Pedro Martinez vs Tallon Griekspoor,p2,22.59028614564155,2.04,0.08306797742987,True,23.493897591467213,1153.0082048735446
Pedro Martinez vs Tallon Griekspoor,p2,23.060164097470892,2.04,0.08306797742987,True,23.982570661369728,1176.9907755349143
Pedro Martinez vs Tallon Griekspoor,p2,23.539815510698286,2.01,0.0732280778227629,True,23.775213665805264,1200.7659892007196
Pedro Martinez vs Tallon Griekspoor,p2,24.01531978401439,2.05,0.0682888573761036,True,25.216085773215106,1225.9820749739347
Pedro Martinez vs Tallon Griekspoor,p2,24.519641499478695,2.04,0.08306797742987,True,25.500427159457843,1251.4825021333925
Pedro Martinez vs Tallon Griekspoor,p2,25.02965004266785,2.01,0.0732280778227629,True,25.279946543094525,1276.762448676487
Pedro Martinez vs Tallon Griekspoor,p2,25.535248973529743,2.04,0.08306797742987,True,26.556658932470935,1303.3191076089581
Pedro Martinez vs Tallon Griekspoor,p2,26.066382152179163,2.04,0.08306797742987,True,27.10903743826633,1330.4281450472245
Pedro Martinez vs Tallon Griekspoor,p2,26.60856290094449,2.05,0.0803992413410958,True,27.93899104599171,1358.3671360932162
Pedro Martinez vs Tallon Griekspoor,p2,27.167342721864326,2.05,0.0803992413410958,True,28.525709857957537,1386.8928459511737
Pedro Martinez vs Tallon Griekspoor,p2,27.737856919023475,2.0,0.052349412254899,True,27.737856919023475,1414.6307028701972
Pedro Martinez vs Tallon Griekspoor,p2,28.292614057403945,2.04,0.08306797742987,True,29.424318619700102,1444.0550214898972
Pedro Martinez vs Tallon Griekspoor,p2,28.881100429797943,2.0,0.0813303148809618,True,28.881100429797943,1472.936121919695
Pedro Martinez vs Tallon Griekspoor,p2,29.458722438393902,2.05,0.0682888573761036,True,30.931658560313593,1503.8677804800086
Pedro Martinez vs Tallon Griekspoor,p2,30.077355609600172,2.09,0.0747459921923956,True,32.784317614464186,1536.6520980944729
