tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points,match_date,market_id,market_time,market_name,runner_1,runner_2,player_1,player_2,actual_winner,odds_player_1,odds_player_2,selection_id_1,selection_id_2,odds_margin,implied_prob_diff,player_1_lc,player_2_lc,won
2023-580,Australian Open,Hard,128,G,2023-01-16,104,111575,18.0,,Karen Khachanov,R,198.0,RUS,26.6,126523,,,Bernabe Zapata Miralles,R,183.0,ESP,26.0,7-6(3) 6-2 6-0,5,R128,122.0,11.0,1.0,90.0,68.0,50.0,14.0,13.0,6.0,7.0,1.0,1.0,91.0,56.0,33.0,12.0,13.0,6.0,12.0,20.0,1885.0,72.0,712.0,2023-01-16,1.2085677,2023-01-16 02:20:00+00:00,Match Odds,Karen Khachanov,Bernabe Zapata Miralles,Karen Khachanov,Bernabe Zapata Miralles,Karen Khachanov,1.07,21.0,7659623,9630472,0.982198486871384,0.8869603916332889,karen khachanov,bernabe zapata miralles,1.0
2023-580,Australian Open,Hard,128,G,2023-01-16,104,111575,18.0,,Karen Khachanov,R,198.0,RUS,26.6,126523,,,Bernabe Zapata Miralles,R,183.0,ESP,26.0,7-6(3) 6-2 6-0,5,R128,122.0,11.0,1.0,90.0,68.0,50.0,14.0,13.0,6.0,7.0,1.0,1.0,91.0,56.0,33.0,12.0,13.0,6.0,12.0,20.0,1885.0,72.0,712.0,2023-01-16,1.2085677,2023-01-16 02:20:00+00:00,Match Odds,Karen Khachanov,Bernabe Zapata Miralles,Karen Khachanov,Bernabe Zapata Miralles,Karen Khachanov,1.07,21.0,7659623,9630472,0.982198486871384,0.8869603916332889,karen khachanov,bernabe zapata miralles,1.0
2023-580,Australian Open,Hard,128,G,2023-01-16,104,111575,18.0,,Karen Khachanov,R,198.0,RUS,26.6,126523,,,Bernabe Zapata Miralles,R,183.0,ESP,26.0,7-6(3) 6-2 6-0,5,R128,122.0,11.0,1.0,90.0,68.0,50.0,14.0,13.0,6.0,7.0,1.0,1.0,91.0,56.0,33.0,12.0,13.0,6.0,12.0,20.0,1885.0,72.0,712.0,2023-01-16,1.2085677,2023-01-16 02:20:00+00:00,Match Odds,Karen Khachanov,Bernabe Zapata Miralles,Bernabe Zapata Miralles,Karen Khachanov,Karen Khachanov,1.07,21.0,7659623,9630472,0.982198486871384,0.8869603916332889,karen khachanov,bernabe zapata miralles,0.0
2023-580,Australian Open,Hard,128,G,2023-01-16,104,111575,18.0,,Karen Khachanov,R,198.0,RUS,26.6,126523,,,Bernabe Zapata Miralles,R,183.0,ESP,26.0,7-6(3) 6-2 6-0,5,R128,122.0,11.0,1.0,90.0,68.0,50.0,14.0,13.0,6.0,7.0,1.0,1.0,91.0,56.0,33.0,12.0,13.0,6.0,12.0,20.0,1885.0,72.0,712.0,2023-01-16,1.2085677,2023-01-16 02:20:00+00:00,Match Odds,Karen Khachanov,Bernabe Zapata Miralles,Karen Khachanov,Bernabe Zapata Miralles,Karen Khachanov,1.07,21.0,7659623,9630472,0.982198486871384,0.8869603916332889,karen khachanov,bernabe zapata miralles,1.0
2023-580,Australian Open,Hard,128,G,2023-01-16,104,111575,18.0,,Karen Khachanov,R,198.0,RUS,26.6,126523,,,Bernabe Zapata Miralles,R,183.0,ESP,26.0,7-6(3) 6-2 6-0,5,R128,122.0,11.0,1.0,90.0,68.0,50.0,14.0,13.0,6.0,7.0,1.0,1.0,91.0,56.0,33.0,12.0,13.0,6.0,12.0,20.0,1885.0,72.0,712.0,2023-01-16,1.2085677,2023-01-16 02:20:00+00:00,Match Odds,Karen Khachanov,Bernabe Zapata Miralles,Bernabe Zapata Miralles,Karen Khachanov,Karen Khachanov,21.0,1.07,7659623,9630472,0.982198486871384,0.8869603916332889,karen khachanov,bernabe zapata miralles,0.0
2023-580,Australian Open,Hard,128,G,2023-01-16,104,111575,18.0,,Karen Khachanov,R,198.0,RUS,26.6,126523,,,Bernabe Zapata Miralles,R,183.0,ESP,26.0,7-6(3) 6-2 6-0,5,R128,122.0,11.0,1.0,90.0,68.0,50.0,14.0,13.0,6.0,7.0,1.0,1.0,91.0,56.0,33.0,12.0,13.0,6.0,12.0,20.0,1885.0,72.0,712.0,2023-01-16,1.2085677,2023-01-16 02:20:00+00:00,Match Odds,Karen Khachanov,Bernabe Zapata Miralles,Karen Khachanov,Bernabe Zapata Miralles,Karen Khachanov,21.0,1.07,7659623,9630472,0.982198486871384,0.8869603916332889,karen khachanov,bernabe zapata miralles,1.0
2023-580,Australian Open,Hard,128,G,2023-01-16,104,111575,18.0,,Karen Khachanov,R,198.0,RUS,26.6,126523,,,Bernabe Zapata Miralles,R,183.0,ESP,26.0,7-6(3) 6-2 6-0,5,R128,122.0,11.0,1.0,90.0,68.0,50.0,14.0,13.0,6.0,7.0,1.0,1.0,91.0,56.0,33.0,12.0,13.0,6.0,12.0,20.0,1885.0,72.0,712.0,2023-01-16,1.2085677,2023-01-16 02:20:00+00:00,Match Odds,Karen Khachanov,Bernabe Zapata Miralles,Karen Khachanov,Bernabe Zapata Miralles,Karen Khachanov,21.0,1.07,7659623,9630472,0.982198486871384,0.8869603916332889,karen khachanov,bernabe zapata miralles,1.0
2023-580,Australian Open,Hard,128,G,2023-01-16,104,111575,18.0,,Karen Khachanov,R,198.0,RUS,26.6,126523,,,Bernabe Zapata Miralles,R,183.0,ESP,26.0,7-6(3) 6-2 6-0,5,R128,122.0,11.0,1.0,90.0,68.0,50.0,14.0,13.0,6.0,7.0,1.0,1.0,91.0,56.0,33.0,12.0,13.0,6.0,12.0,20.0,1885.0,72.0,712.0,2023-01-16,1.2085677,2023-01-16 02:20:00+00:00,Match Odds,Karen Khachanov,Bernabe Zapata Miralles,Karen Khachanov,Bernabe Zapata Miralles,Karen Khachanov,21.0,1.07,7659623,9630472,0.982198486871384,0.8869603916332889,karen khachanov,bernabe zapata miralles,1.0
2023-580,Australian Open,Hard,128,G,2023-01-16,104,111575,18.0,,Karen Khachanov,R,198.0,RUS,26.6,126523,,,Bernabe Zapata Miralles,R,183.0,ESP,26.0,7-6(3) 6-2 6-0,5,R128,122.0,11.0,1.0,90.0,68.0,50.0,14.0,13.0,6.0,7.0,1.0,1.0,91.0,56.0,33.0,12.0,13.0,6.0,12.0,20.0,1885.0,72.0,712.0,2023-01-16,1.2085677,2023-01-16 02:20:00+00:00,Match Odds,Karen Khachanov,Bernabe Zapata Miralles,Bernabe Zapata Miralles,Karen Khachanov,Karen Khachanov,21.0,21.0,7659623,9630472,0.0952380952380952,0.0,karen khachanov,bernabe zapata miralles,0.0
2023-580,Australian Open,Hard,128,G,2023-01-16,104,111575,18.0,,Karen Khachanov,R,198.0,RUS,26.6,126523,,,Bernabe Zapata Miralles,R,183.0,ESP,26.0,7-6(3) 6-2 6-0,5,R128,122.0,11.0,1.0,90.0,68.0,50.0,14.0,13.0,6.0,7.0,1.0,1.0,91.0,56.0,33.0,12.0,13.0,6.0,12.0,20.0,1885.0,72.0,712.0,2023-01-16,1.2085677,2023-01-16 02:20:00+00:00,Match Odds,Karen Khachanov,Bernabe Zapata Miralles,Karen Khachanov,Bernabe Zapata Miralles,Karen Khachanov,21.0,21.0,7659623,9630472,0.0952380952380952,0.0,karen khachanov,bernabe zapata miralles,1.0
