matchup+side,bets,wins,winrate,total_staked,profit,roi
Patricia Maria Tig vs Shuai Zhang (p1),1,0,0.0,19.11,-19.11,-100.0
Laura Siegemund vs Lucia Bronzetti (p2),1,0,0.0,19.5,-19.5,-100.0
Arianne Hartono vs Shelby Rogers (p1),1,0,0.0,13.48,-13.48,-100.0
Leolia Jeanjean vs Nadia Podoroska (p1),1,0,0.0,18.9,-18.9,-100.0
Anna Karolina Schmiedlova vs Martina Trevisan (p2),1,0,0.0,18.52,-18.52,-100.0
Iga Swiatek vs Jule Niemeier (p2),1,0,0.0,18.47,-18.47,-100.0
Dalma Galfi vs Qinwen Zheng (p1),1,0,0.0,18.1,-18.1,-100.0
Elisabetta Cocciaretto vs Simona Waltert (p2),1,0,0.0,18.35,-18.35,-100.0
Kayla Day vs Kristina Mladenovic (p2),1,0,0.0,19.91,-19.91,-100.0
Kateryna Baindl vs Olga Danilovic (p1),1,0,0.0,17.82,-17.82,-100.0
Karolina Muchova vs Nadia Podoroska (p2),1,0,0.0,19.16,-19.16,-100.0
Alycia Parks vs Marketa Vondrousova (p1),1,0,0.0,19.28,-19.28,-100.0
Jelena Ostapenko vs Tereza Martincova (p2),1,0,0.0,18.89,-18.89,-100.0
Lorenzo Musetti vs Mikael Ymer (p2),1,0,0.0,18.51,-18.51,-100.0
Danielle Collins vs Jessica Pegula (p1),1,0,0.0,20.32,-20.32,-100.0
Fabio Fognini vs Thanasi Kokkinakis (p1),1,0,0.0,19.88,-19.88,-100.0
Alexander Zverev vs Juan Pablo Varillas (p2),1,0,0.0,10.18,-10.18,-100.0
Alexei Popyrin vs Chun Hsin Tseng (p2),1,0,0.0,13.63,-13.63,-100.0
Cristian Garin vs Sebastian Korda (p1),1,0,0.0,19.2,-19.2,-100.0
Cameron Norrie vs Luca Van Assche (p2),1,0,0.0,14.91,-14.91,-100.0
Corentin Moutet vs Francisco Cerundolo (p1),1,0,0.0,18.14,-18.14,-100.0
Mackenzie McDonald vs Rafael Nadal (p1),1,0,0.0,20.98,-20.98,-100.0
Pablo Carreno Busta vs Pedro Cachin (p2),1,0,0.0,20.56,-20.56,-100.0
Anastasia Potapova vs Sloane Stephens (p2),1,0,0.0,17.6,-17.6,-100.0
Lin Zhu vs Rebecca Marino (p2),1,0,0.0,17.73,-17.73,-100.0
Cameron Norrie vs Lucas Pouille (p2),1,0,0.0,19.11,-19.11,-100.0
Fabio Fognini vs Jason Kubler (p2),1,0,0.0,19.51,-19.51,-100.0
Andrea Vavassori vs Miomir Kecmanovic (p2),1,0,0.0,21.02,-21.02,-100.0
Borna Coric vs Pedro Cachin (p2),1,0,0.0,20.6,-20.6,-100.0
Juan Pablo Varillas vs Roberto Bautista Agut (p2),1,0,0.0,21.89,-21.89,-100.0
Karen Khachanov vs Radu Albot (p2),1,0,0.0,21.45,-21.45,-100.0
Qinwen Zheng vs Tamara Zidansek (p2),1,0,0.0,22.68,-22.68,-100.0
Lucia Bronzetti vs Ons Jabeur (p1),1,0,0.0,22.22,-22.22,-100.0
Hubert Hurkacz vs Tallon Griekspoor (p2),1,0,0.0,19.9,-19.9,-100.0
Denis Shapovalov vs Matteo Arnaldi (p2),1,0,0.0,20.31,-20.31,-100.0
Karolina Muchova vs Maria Sakkari (p2),1,0,0.0,22.8,-22.8,-100.0
Leylah Fernandez vs Magda Linette (p2),1,0,0.0,21.96,-21.96,-100.0
Aryna Sabalenka vs Marta Kostyuk (p2),1,0,0.0,22.86,-22.86,-100.0
Elise Mertens vs Viktoria Hruncakova (p2),1,0,0.0,22.4,-22.4,-100.0
Grigor Dimitrov vs Sho Shimabukuro (p2),1,0,0.0,24.44,-24.44,-100.0
Federico Coria vs Ilya Ivashka (p1),1,0,0.0,24.94,-24.94,-100.0
Dominic Thiem vs Stefanos Tsitsipas (p1),1,0,0.0,22.69,-22.69,-100.0
Dennis Novak vs Milos Raonic (p1),1,0,0.0,25.02,-25.02,-100.0
Francisco Cerundolo vs Jaume Munar (p2),1,0,0.0,21.38,-21.38,-100.0
Grigor Dimitrov vs Timofey Skatov (p2),1,0,0.0,21.82,-21.82,-100.0
Gael Monfils vs Sebastian Baez (p2),1,0,0.0,22.27,-22.27,-100.0
Jaume Munar vs Lorenzo Musetti (p1),1,0,0.0,20.96,-20.96,-100.0
Arthur Rinderknech vs Richard Gasquet (p2),1,0,0.0,19.17,-19.17,-100.0
Roberto Bautista Agut vs Yibing Wu (p2),1,0,0.0,19.56,-19.56,-100.0
Roberto Carballes Baena vs Stefanos Tsitsipas (p1),1,0,0.0,10.14,-10.14,-100.0
Alex De Minaur vs Ilya Ivashka (p2),1,0,0.0,19.05,-19.05,-100.0
Alejandro Davidovich Fokina vs Arthur Fils (p2),1,0,0.0,20.1,-20.1,-100.0
Borna Coric vs Federico Coria (p2),1,0,0.0,19.91,-19.91,-100.0
Guido Pella vs Quentin Halys (p2),1,0,0.0,19.51,-19.51,-100.0
Emil Ruusuvuori vs Gregoire Barrere (p2),1,0,0.0,19.12,-19.12,-100.0
Alejandro Davidovich Fokina vs Luca Van Assche (p2),1,0,0.0,19.67,-19.67,-100.0
Andrey Rublev vs Laslo Djere (p2),1,0,0.0,22.84,-22.84,-100.0
Alexander Shevchenko vs Oscar Otte (p2),1,0,0.0,23.33,-23.33,-100.0
Nuria Parrizas Diaz vs Storm Hunter (p1),1,0,0.0,23.8,-23.8,-100.0
Alexander Zverev vs Lloyd Harris (p2),1,0,0.0,22.15,-22.15,-100.0
Alex Molcan vs Hugo Gaston (p2),1,0,0.0,21.71,-21.71,-100.0
Brandon Nakashima vs Jordan Thompson (p1),1,0,0.0,23.96,-23.96,-100.0
Alex Molcan vs Mikael Ymer (p1),1,0,0.0,25.07,-25.07,-100.0
Dominik Koepfer vs Oscar Otte (p1),1,0,0.0,22.57,-22.57,-100.0
Andrey Rublev vs Max Purcell (p2),1,0,0.0,23.48,-23.48,-100.0
Bernabe Zapata Miralles vs Tomas Martin Etcheverry (p1),1,0,0.0,23.01,-23.01,-100.0
Benjamin Bonzi vs Harold Mayot (p1),1,0,0.0,22.55,-22.55,-100.0
Constant Lestienne vs Liam Broady (p1),1,0,0.0,24.45,-24.45,-100.0
Alexander Zverev vs Gijs Brouwer (p2),1,0,0.0,24.95,-24.95,-100.0
Borna Gojo vs Maximilian Marterer (p1),1,0,0.0,24.26,-24.26,-100.0
Andy Murray vs Ryan Peniston (p2),1,0,0.0,23.78,-23.78,-100.0
Andy Murray vs Corentin Moutet (p2),1,0,0.0,23.75,-23.75,-100.0
Francisco Cerundolo vs Zachary Svajda (p2),1,0,0.0,23.28,-23.28,-100.0
Fiona Ferro vs Victoria Azarenka (p1),1,0,0.0,23.42,-23.42,-100.0
Karolina Muchova vs Storm Hunter (p2),1,0,0.0,22.8,-22.8,-100.0
Belinda Bencic vs Kamilla Rakhimova (p2),1,0,0.0,22.34,-22.34,-100.0
Danielle Collins vs Linda Fruhvirtova (p2),1,0,0.0,21.9,-21.9,-100.0
Karolina Muchova vs Magdalena Frech (p2),1,0,0.0,21.46,-21.46,-100.0
