market_id,player_1,player_2,odds_player_1_x,odds_player_2_x,actual_winner,winner_name,loser_name,match_date,player_1_clean,player_2_clean,selection_id_1,selection_id_2,odds_player_1_y,odds_player_2_y
1.211075054,Karen Khachanov,Oscar Otte,1.27,150.0,Karen Khachanov,Karen Khachanov,Oscar Otte,2023-03-06,karen khachanov,oscar otte,7659623,9624731,1.27,150.0
1.211079674,Pedro Cachin,Alexander Zverev,11.5,1.1,Alexander Zverev,Alexander Zverev,Pedro Cachin,2023-03-06,pedro cachin,alexander zverev,8461316,19924823,11.5,1.1
1.211079676,Roberto Bautista Agut,Emil Ruusuvuori,34.0,1.03,Emil Ruusuvuori,Emil Ruusuvuori,Roberto Bautista Agut,2023-03-06,roberto bautista agut,emil ruusuvuori,4290403,8979329,34.0,1.03
1.211079863,Brandon Nakashima,Daniil Medvedev,220.0,1.1,Daniil Medvedev,Daniil Medvedev,Brandon Nakashima,2023-03-06,brandon nakashima,daniil medvedev,17806048,19924831,220.0,1.1
1.211081427,Grigor Dimitrov,Jason Kubler,200.0,1.01,Jason Kubler,Jason Kubler,Grigor Dimitrov,2023-03-06,grigor dimitrov,jason kubler,3120169,4448756,200.0,1.01
1.211084223,Quentin Halys,Jan-Lennard Struff,2.2,1.03,Jan Lennard Struff,Jan Lennard Struff,Quentin Halys,2023-03-06,quentin halys,jan lennard struff,7287690,8259098,2.2,1.03
1.211084707,Taro Daniel,Matteo Berrettini,1.01,14.0,Taro Daniel,Taro Daniel,Matteo Berrettini,2023-03-06,taro daniel,matteo berrettini,8173434,8962036,1.01,14.0
1.211084708,Yoshihito Nishioka,Cristian Garin,1.69,2.46,Cristian Garin,Cristian Garin,Yoshihito Nishioka,2023-03-06,yoshihito nishioka,cristian garin,7137497,23814703,1.69,2.46
1.211085693,Andrey Rublev,Jiri Lehecka,1.77,320.0,Andrey Rublev,Andrey Rublev,Jiri Lehecka,2023-03-06,andrey rublev,jiri lehecka,7797771,13203243,1.77,320.0
1.211090249,Diego Schwartzman,Casper Ruud,4.2,1.32,Casper Ruud,Casper Ruud,Diego Schwartzman,2023-03-06,diego schwartzman,casper ruud,8736474,9629711,4.2,1.32
1.21109461,Stefanos Tsitsipas,Jordan Thompson,8.8,1.02,Jordan Thompson,Jordan Thompson,Stefanos Tsitsipas,2023-03-06,stefanos tsitsipas,jordan thompson,9193006,19924841,8.8,1.02
1.211095859,Alejandro Tabilo,Maxime Cressy,1.16,1.53,Alejandro Tabilo,Alejandro Tabilo,Maxime Cressy,2023-03-06,alejandro tabilo,maxime cressy,9630879,11510005,1.16,1.53
1.211128573,Mackenzie McDonald,Holger Rune,100.0,1.43,Holger Rune,Holger Rune,Mackenzie Mcdonald,2023-03-06,mackenzie mcdonald,holger rune,10691901,39127965,100.0,1.43
1.211129145,Miomir Kecmanovic,Stan Wawrinka,1.95,2.06,Stan Wawrinka,Stan Wawrinka,Miomir Kecmanovic,2023-03-06,miomir kecmanovic,stan wawrinka,9657480,19924832,1.95,2.06
1.211131599,Jan-Lennard Struff,Tommy Paul,3.5,1.45,Tommy Paul,Tommy Paul,Jan Lennard Struff,2023-03-06,jan lennard struff,tommy paul,8259098,8859306,3.5,1.45
1.211134618,Thanasi Kokkinakis,Carlos Alcaraz,3.8,1.35,Carlos Alcaraz,Carlos Alcaraz,Thanasi Kokkinakis,2023-03-06,thanasi kokkinakis,carlos alcaraz,8172416,25215583,3.8,1.35
1.211136166,Taylor Fritz,Ben Shelton,1.01,100.0,Taylor Fritz,Taylor Fritz,Ben Shelton,2023-03-06,taylor fritz,ben shelton,10279360,39460566,1.01,100.0
1.211143815,Borna Coric,Alex Molcan,36.0,1.02,Alex Molcan,Alex Molcan,Borna Coric,2023-03-06,borna coric,alex molcan,7446579,8960879,36.0,1.02
1.211143925,Marton Fucsovics,Alex De Minaur,1.01,100.0,Marton Fucsovics,Marton Fucsovics,Alex De Minaur,2023-03-06,marton fucsovics,alex de minaur,4827766,10109527,1.01,100.0
1.211153532,Sebastian Baez,Rinky Hijikata,2.04,180.0,Sebastian Baez,Sebastian Baez,Rinky Hijikata,2023-03-06,sebastian baez,rinky hijikata,11285506,12343905,2.04,180.0
1.211162243,Adrian Mannarino,Lorenzo Musetti,1.01,34.0,Adrian Mannarino,Adrian Mannarino,Lorenzo Musetti,2023-03-06,adrian mannarino,lorenzo musetti,3066621,13834991,1.01,34.0
1.211163226,Jack Sock,Francisco Cerundolo,2.06,1.94,Francisco Cerundolo,Francisco Cerundolo,Jack Sock,2023-03-06,jack sock,francisco cerundolo,4596957,11204210,2.06,1.94
1.211164289,Alexei Popyrin,Hubert Hurkacz,4.8,1.26,Hubert Hurkacz,Hubert Hurkacz,Alexei Popyrin,2023-03-06,alexei popyrin,hubert hurkacz,10706479,19924838,4.8,1.26
1.211197168,Casper Ruud,Cristian Garin,1.32,4.1,Cristian Garin,Cristian Garin,Casper Ruud,2023-03-06,casper ruud,cristian garin,9629711,23814703,1.32,4.1
1.211206929,Alejandro Tabilo,Jordan Thompson,1.01,8.6,Alejandro Tabilo,Alejandro Tabilo,Jordan Thompson,2023-03-06,alejandro tabilo,jordan thompson,9630879,19924841,1.01,8.6
1.211207078,Emil Ruusuvuori,Alexander Zverev,5.3,1.25,Alexander Zverev,Alexander Zverev,Emil Ruusuvuori,2023-03-06,emil ruusuvuori,alexander zverev,8979329,19924823,5.3,1.25
1.211208714,Andy Murray,Radu Albot,1.02,4.3,Andy Murray,Andy Murray,Radu Albot,2023-03-06,andy murray,radu albot,2256509,6603898,1.02,4.3
