bankroll,stake,payout,odds,won,ev,source_file
1160.0,50.0,210.0,4.2,1,2.9899999999999998,ausopen_2023_atp_value_bets.csv
1334.0,58.0,232.0,4.0,1,2.8,ausopen_2023_atp_value_bets.csv
1416.708,66.7,149.40800000000002,2.24,1,1.1280000000000001,ausopen_2023_atp_value_bets.csv
1493.2102320000001,70.8354,147.337632,2.08,1,0.976,ausopen_2023_atp_value_bets.csv
1548.4590105840002,74.6605116,129.909290184,1.74,1,0.653,ausopen_2023_atp_value_bets.csv
1603.4293054597322,77.42295052920002,132.39324540493203,1.71,1,0.6244999999999998,ausopen_2023_atp_value_bets.csv
1628.282459694358,80.17146527298661,105.02461950761246,1.31,1,0.24449999999999994,ausopen_2023_atp_value_bets.csv
1652.7066965897734,81.4141229847179,105.83835988013328,1.3,1,0.23499999999999988,ausopen_2023_atp_value_bets.csv
1675.0182369937354,82.63533482948867,104.94687523345061,1.27,1,0.2064999999999999,ausopen_2023_atp_value_bets.csv
1692.6059284821697,83.75091184968677,101.33860333812099,1.21,1,0.14949999999999997,ausopen_2023_atp_value_bets.csv
1707.8393818385093,84.6302964241085,99.86374978044802,1.18,1,0.121,ausopen_2023_atp_value_bets.csv
1723.209936275056,85.39196909192547,100.76252352847206,1.18,1,0.121,ausopen_2023_atp_value_bets.csv
1745.6116654466316,86.1604968137528,108.56222598532852,1.26,1,0.09609572836409708,ausopen_2023_atp_value_bets.csv
1758.7037529374813,87.28058327233158,100.37267076318132,1.15,1,0.0924999999999998,ausopen_2023_atp_value_bets.csv
1787.7223648609497,87.93518764687407,116.95379957034253,1.33,1,0.08878418016025935,ausopen_2023_atp_value_bets.csv
1816.325922698725,89.38611824304749,117.98967608082269,1.32,1,0.08211485855523559,ausopen_2023_atp_value_bets.csv
1725.5096265637887,90.81629613493625,0.0,1.3,0,0.0813148356433051,ausopen_2023_atp_value_bets.csv
1735.8626843231714,86.27548132818944,96.62853908757218,1.12,1,0.06400000000000006,ausopen_2023_atp_value_bets.csv
1746.2778604291104,86.79313421615858,97.20831032209762,1.12,1,0.06400000000000006,ausopen_2023_atp_value_bets.csv
1755.8823886614705,87.31389302145553,96.91842125381564,1.11,1,0.05449999999999999,ausopen_2023_atp_value_bets.csv
1668.088269228397,87.79411943307353,0.0,1.38,0,0.05103880035129538,ausopen_2023_atp_value_bets.csv
1676.4287105745389,83.40441346141985,91.74485480756184,1.1,1,0.04499999999999993,ausopen_2023_atp_value_bets.csv
1706.6044273648806,83.82143552872695,113.99715231906866,1.36,1,0.03963676182766962,ausopen_2023_atp_value_bets.csv
1714.2841472880225,85.33022136824404,93.00994129138601,1.09,1,0.03550000000000009,ausopen_2023_atp_value_bets.csv
1742.9902789837474,68.34793260886893,97.05406430459388,1.42,1,0.016745258795712203,ausopen_2023_atp_value_bets.csv
1749.0907449601905,87.14951394918738,93.2499799256305,1.07,1,0.01649999999999996,ausopen_2023_atp_value_bets.csv
1755.2125625675512,87.45453724800953,93.5763548553702,1.07,1,0.01649999999999996,ausopen_2023_atp_value_bets.csv
1783.295963568632,87.76062812837756,115.84402912945839,1.32,1,0.2554734210780909,crossslam_atp_usopen_eval_value_bets.csv
1694.1311653902005,89.16479817843161,0.0,1.5,0,0.15251526650722402,crossslam_atp_usopen_eval_value_bets.csv
1609.4246071206906,84.70655826951003,0.0,1.58,0,0.13193619761767583,crossslam_atp_usopen_eval_value_bets.csv
1654.4884961200698,80.47123035603454,125.53511935541388,1.56,1,0.1383394339738928,crossslam_atp_usopen_eval_value_bets.csv
1677.6513350657508,82.7244248060035,105.88726375168449,1.28,1,0.14787035758568035,crossslam_atp_usopen_eval_value_bets.csv
1593.7687683124632,83.88256675328755,0.0,1.39,0,0.16726521751917445,crossslam_atp_usopen_eval_value_bets.csv
1634.409871904431,79.68843841562317,120.32954200759099,1.51,1,0.15273737548169897,crossslam_atp_usopen_eval_value_bets.csv
1667.0980693425195,81.72049359522155,114.40869103331016,1.4,1,0.15464508201235172,crossslam_atp_usopen_eval_value_bets.csv
1783.794934196496,83.35490346712598,200.05176832110234,2.4,1,0.9782351159129241,crossslam_atp_usopen_eval_value_bets.csv
1694.6051874866712,89.1897467098248,0.0,1.58,0,0.13193619761767583,crossslam_atp_usopen_eval_value_bets.csv
1711.551239361538,84.73025937433357,101.67631124920028,1.2,1,0.11602944563755702,crossslam_atp_usopen_eval_value_bets.csv
1748.349591007811,85.5775619680769,122.37591361434997,1.43,1,0.3392546114537274,crossslam_atp_usopen_eval_value_bets.csv
1776.3231844639358,87.41747955039055,115.39107300651554,1.32,1,0.15963879073722653,crossslam_atp_usopen_eval_value_bets.csv
1802.9680322308948,88.81615922319679,115.46100699015584,1.3,1,0.1485763420683568,crossslam_atp_usopen_eval_value_bets.csv
1859.761525246168,90.14840161154474,146.9418946268179,1.63,1,0.48312965297533284,crossslam_atp_usopen_eval_value_bets.csv
1897.8866365137144,92.98807626230841,131.11318752985486,1.41,1,0.16600728003523435,crossslam_atp_usopen_eval_value_bets.csv
1962.4147821551808,94.89433182568573,159.42247746715202,1.68,1,0.5230187030550308,crossslam_atp_usopen_eval_value_bets.csv
2020.3060182287586,98.12073910775905,156.0119751813369,1.59,1,0.10624773775279017,crossslam_atp_usopen_eval_value_bets.csv
1919.2907173173207,101.01530091143793,0.0,1.62,0,0.48017241117216347,crossslam_atp_usopen_eval_value_bets.csv
2084.3497190066105,95.96453586586604,261.02353755515566,2.72,1,1.1599852227033756,crossslam_atp_usopen_eval_value_bets.csv
