snapshot_date,player_1,player_2,odds_player_1,odds_player_2,implied_prob_1,implied_prob_2,bookmaker
2023-08-28T02:00:00Z,Adrian Mannarino,Yosuke Watanuki,1.44,2.7,0.6944444444444444,0.37037037037037035,SuperBook
2023-08-28T02:00:00Z,Adrian Mannarino,Yosuke Watanuki,1.44,2.75,0.6944444444444444,0.36363636363636365,Casumo
2023-08-28T02:00:00Z,Adrian Mannarino,Yosuke Watanuki,1.44,2.75,0.6944444444444444,0.36363636363636365,BoyleSports
2023-08-28T02:00:00Z,Adrian Mannarino,Yosuke Watanuki,1.45,2.78,0.6896551724137931,0.3597122302158274,BlueBet
2023-08-28T02:00:00Z,Adrian Mannarino,Yosuke Watanuki,1.48,2.6,0.6756756756756757,0.3846153846153846,PlayUp
2023-08-28T02:00:00Z,Adrian Mannarino,Yosuke Watanuki,1.5,2.63,0.6666666666666666,0.3802281368821293,Betfair Sportsbook
2023-08-28T02:00:00Z,Adrian Mannarino,Yosuke Watanuki,1.45,2.75,0.6896551724137931,0.36363636363636365,Betway
2023-08-28T02:00:00Z,Alexander Bublik,Dominic Thiem,1.57,2.34,0.6369426751592356,0.4273504273504274,SportsBet
2023-08-28T02:00:00Z,Alexander Bublik,Dominic Thiem,1.57,2.35,0.6369426751592356,0.425531914893617,Everygame
2023-08-28T02:00:00Z,Alexander Bublik,Dominic Thiem,1.57,2.37,0.6369426751592356,0.42194092827004215,Ladbrokes
2023-08-28T02:00:00Z,Alexander Bublik,Dominic Thiem,1.57,2.38,0.6369426751592356,0.42016806722689076,Neds
2023-08-28T02:00:00Z,Alexander Bublik,Dominic Thiem,1.58,2.4,0.6329113924050632,0.4166666666666667,Betsson
2023-08-28T02:00:00Z,Alexander Bublik,Dominic Thiem,1.57,2.38,0.6369426751592356,0.42016806722689076,Ladbrokes
2023-08-28T02:00:00Z,Alexander Bublik,Dominic Thiem,1.6,2.35,0.625,0.425531914893617,TAB
2023-08-28T02:00:00Z,Alexander Bublik,Dominic Thiem,1.59,2.37,0.6289308176100629,0.42194092827004215,1xBet
2023-08-28T02:00:00Z,Alexander Bublik,Dominic Thiem,1.57,2.4,0.6369426751592356,0.4166666666666667,LiveScore Bet
2023-08-28T02:00:00Z,Alexander Bublik,Dominic Thiem,1.59,2.4,0.6289308176100629,0.4166666666666667,Bovada
2023-08-28T02:00:00Z,Alexander Bublik,Dominic Thiem,1.62,2.47,0.6172839506172839,0.4048582995951417,Pinnacle
2023-08-28T02:00:00Z,Alexander Bublik,Dominic Thiem,1.6,2.38,0.625,0.42016806722689076,Bet Victor
2023-08-28T02:00:00Z,Alexander Bublik,Dominic Thiem,1.6,2.48,0.625,0.40322580645161293,LowVig.ag
2023-08-28T02:00:00Z,Alexander Bublik,Dominic Thiem,1.6,2.48,0.625,0.40322580645161293,BetOnline.ag
2023-08-28T02:00:00Z,Alexander Bublik,Dominic Thiem,1.57,2.35,0.6369426751592356,0.425531914893617,William Hill (US)
2023-08-28T02:00:00Z,Alexander Bublik,Dominic Thiem,1.65,2.48,0.6060606060606061,0.40322580645161293,Matchbook
2023-08-28T02:00:00Z,Alexander Bublik,Dominic Thiem,1.54,2.35,0.6493506493506493,0.425531914893617,Mr Green
2023-08-28T02:00:00Z,Alexander Bublik,Dominic Thiem,1.56,2.43,0.641025641025641,0.4115226337448559,Unibet
2023-08-28T02:00:00Z,Alexander Bublik,Dominic Thiem,1.51,2.33,0.6622516556291391,0.4291845493562232,LeoVegas
2023-08-28T02:00:00Z,Alexander Bublik,Dominic Thiem,1.56,2.43,0.641025641025641,0.4115226337448559,BetRivers
2023-08-28T02:00:00Z,Alexander Bublik,Dominic Thiem,1.65,2.48,0.6060606060606061,0.40322580645161293,Betfair
2023-08-28T02:00:00Z,Alexander Bublik,Dominic Thiem,1.65,2.48,0.6060606060606061,0.40322580645161293,Betfair
2023-08-28T02:00:00Z,Alexander Bublik,Dominic Thiem,1.65,2.48,0.6060606060606061,0.40322580645161293,Betfair
2023-08-28T02:00:00Z,Alexander Bublik,Dominic Thiem,1.59,2.4,0.6289308176100629,0.4166666666666667,DraftKings
2023-08-28T02:00:00Z,Alexander Bublik,Dominic Thiem,1.58,2.34,0.6329113924050632,0.4273504273504274,MyBookie.ag
2023-08-28T02:00:00Z,Alexander Bublik,Dominic Thiem,1.6,2.36,0.625,0.42372881355932207,FanDuel
2023-08-28T02:00:00Z,Alexander Bublik,Dominic Thiem,1.57,2.38,0.6369426751592356,0.42016806722689076,888sport
2023-08-28T02:00:00Z,Alexander Bublik,Dominic Thiem,1.57,2.4,0.6369426751592356,0.4166666666666667,PointsBet (AU)
2023-08-28T02:00:00Z,Alexander Bublik,Dominic Thiem,1.57,2.4,0.6369426751592356,0.4166666666666667,Barstool Sportsbook
2023-08-28T02:00:00Z,Alexander Bublik,Dominic Thiem,1.57,2.3,0.6369426751592356,0.4347826086956522,Paddy Power
2023-08-28T02:00:00Z,Alexander Bublik,Dominic Thiem,1.58,2.4,0.6329113924050632,0.4166666666666667,Nordic Bet
2023-08-28T02:00:00Z,Alexander Bublik,Dominic Thiem,1.57,2.4,0.6369426751592356,0.4166666666666667,Marathon Bet
2023-08-28T02:00:00Z,Alexander Bublik,Dominic Thiem,1.57,2.37,0.6369426751592356,0.42194092827004215,Coral
2023-08-28T02:00:00Z,Alexander Bublik,Dominic Thiem,1.57,2.35,0.6369426751592356,0.425531914893617,BetMGM
2023-08-28T02:00:00Z,Alexander Bublik,Dominic Thiem,1.56,2.43,0.641025641025641,0.4115226337448559,Unibet
2023-08-28T02:00:00Z,Alexander Bublik,Dominic Thiem,1.58,2.38,0.6329113924050632,0.42016806722689076,Betr
2023-08-28T02:00:00Z,Alexander Bublik,Dominic Thiem,1.56,2.43,0.641025641025641,0.4115226337448559,Unibet
2023-08-28T02:00:00Z,Alexander Bublik,Dominic Thiem,1.56,2.43,0.641025641025641,0.4115226337448559,Unibet
2023-08-28T02:00:00Z,Alexander Bublik,Dominic Thiem,1.57,2.4,0.6369426751592356,0.4166666666666667,Virgin Bet
2023-08-28T02:00:00Z,Alexander Bublik,Dominic Thiem,1.56,2.38,0.641025641025641,0.42016806722689076,TopSport
2023-08-28T02:00:00Z,Alexander Bublik,Dominic Thiem,1.57,2.35,0.6369426751592356,0.425531914893617,SuperBook
2023-08-28T02:00:00Z,Alexander Bublik,Dominic Thiem,1.56,2.43,0.641025641025641,0.4115226337448559,Casumo
2023-08-28T02:00:00Z,Alexander Bublik,Dominic Thiem,1.57,2.38,0.6369426751592356,0.42016806722689076,BoyleSports
2023-08-28T02:00:00Z,Alexander Bublik,Dominic Thiem,1.58,2.4,0.6329113924050632,0.4166666666666667,BlueBet
2023-08-28T02:00:00Z,Alexander Bublik,Dominic Thiem,1.58,2.35,0.6329113924050632,0.425531914893617,PlayUp
2023-08-28T02:00:00Z,Alexander Bublik,Dominic Thiem,1.62,2.25,0.6172839506172839,0.4444444444444444,Betfair Sportsbook
2023-08-28T02:00:00Z,Alexander Bublik,Dominic Thiem,1.6,2.3,0.625,0.4347826086956522,Betway
2023-08-28T02:00:00Z,Ben Shelton,Pedro Cachin,1.14,5.5,0.8771929824561404,0.18181818181818182,SportsBet
2023-08-28T02:00:00Z,Ben Shelton,Pedro Cachin,1.18,4.75,0.8474576271186441,0.21052631578947367,Everygame
2023-08-28T02:00:00Z,Ben Shelton,Pedro Cachin,1.18,4.8,0.8474576271186441,0.20833333333333334,Betsson
2023-08-28T02:00:00Z,Ben Shelton,Pedro Cachin,1.18,4.8,0.8474576271186441,0.20833333333333334,Marathon Bet
2023-08-28T02:00:00Z,Ben Shelton,Pedro Cachin,1.18,5.0,0.8474576271186441,0.2,PointsBet (AU)
2023-08-28T02:00:00Z,Ben Shelton,Pedro Cachin,1.16,5.0,0.8620689655172414,0.2,TAB
2023-08-28T02:00:00Z,Ben Shelton,Pedro Cachin,1.2,4.6,0.8333333333333334,0.2173913043478261,LiveScore Bet
2023-08-28T02:00:00Z,Ben Shelton,Pedro Cachin,1.2,5.28,0.8333333333333334,0.1893939393939394,Pinnacle
2023-08-28T02:00:00Z,Ben Shelton,Pedro Cachin,1.18,4.8,0.8474576271186441,0.20833333333333334,Coral
2023-08-28T02:00:00Z,Ben Shelton,Pedro Cachin,1.18,4.8,0.8474576271186441,0.20833333333333334,Ladbrokes
2023-08-28T02:00:00Z,Ben Shelton,Pedro Cachin,1.18,4.8,0.8474576271186441,0.20833333333333334,Neds
2023-08-28T02:00:00Z,Ben Shelton,Pedro Cachin,1.18,4.8,0.8474576271186441,0.20833333333333334,Ladbrokes
2023-08-28T02:00:00Z,Ben Shelton,Pedro Cachin,1.19,4.7,0.8403361344537815,0.2127659574468085,1xBet
2023-08-28T02:00:00Z,Ben Shelton,Pedro Cachin,1.18,5.0,0.8474576271186441,0.2,Bet Victor
2023-08-28T02:00:00Z,Ben Shelton,Pedro Cachin,1.18,5.0,0.8474576271186441,0.2,Bovada
2023-08-28T02:00:00Z,Ben Shelton,Pedro Cachin,1.16,4.9,0.8620689655172414,0.2040816326530612,Mr Green
2023-08-28T02:00:00Z,Ben Shelton,Pedro Cachin,1.18,5.1,0.8474576271186441,0.19607843137254904,Unibet
2023-08-28T02:00:00Z,Ben Shelton,Pedro Cachin,1.15,4.8,0.8695652173913044,0.20833333333333334,LeoVegas
2023-08-28T02:00:00Z,Ben Shelton,Pedro Cachin,1.18,5.1,0.8474576271186441,0.19607843137254904,BetRivers
2023-08-28T02:00:00Z,Ben Shelton,Pedro Cachin,1.18,5.25,0.8474576271186441,0.19047619047619047,LowVig.ag
2023-08-28T02:00:00Z,Ben Shelton,Pedro Cachin,1.18,5.25,0.8474576271186441,0.19047619047619047,BetOnline.ag
2023-08-28T02:00:00Z,Ben Shelton,Pedro Cachin,1.17,5.0,0.8547008547008548,0.2,William Hill (US)
2023-08-28T02:00:00Z,Ben Shelton,Pedro Cachin,1.22,5.3,0.819672131147541,0.18867924528301888,Matchbook
2023-08-28T02:00:00Z,Ben Shelton,Pedro Cachin,1.22,5.3,0.819672131147541,0.18867924528301888,Betfair
2023-08-28T02:00:00Z,Ben Shelton,Pedro Cachin,1.22,5.3,0.819672131147541,0.18867924528301888,Betfair
2023-08-28T02:00:00Z,Ben Shelton,Pedro Cachin,1.22,5.3,0.819672131147541,0.18867924528301888,Betfair
2023-08-28T02:00:00Z,Ben Shelton,Pedro Cachin,1.2,4.7,0.8333333333333334,0.2127659574468085,DraftKings
2023-08-28T02:00:00Z,Ben Shelton,Pedro Cachin,1.17,4.75,0.8547008547008548,0.21052631578947367,888sport
2023-08-28T02:00:00Z,Ben Shelton,Pedro Cachin,1.17,4.9,0.8547008547008548,0.2040816326530612,MyBookie.ag
2023-08-28T02:00:00Z,Ben Shelton,Pedro Cachin,1.16,5.4,0.8620689655172414,0.18518518518518517,FanDuel
2023-08-28T02:00:00Z,Ben Shelton,Pedro Cachin,1.18,4.8,0.8474576271186441,0.20833333333333334,Barstool Sportsbook
2023-08-28T02:00:00Z,Ben Shelton,Pedro Cachin,1.14,5.0,0.8771929824561404,0.2,Paddy Power
2023-08-28T02:00:00Z,Ben Shelton,Pedro Cachin,1.18,4.8,0.8474576271186441,0.20833333333333334,Nordic Bet
2023-08-28T02:00:00Z,Ben Shelton,Pedro Cachin,1.18,4.75,0.8474576271186441,0.21052631578947367,BetMGM
