market_id,player_1,player_2,odds_player_1,odds_player_2,actual_winner,winner_name,loser_name,match_date,player_1_clean,player_2_clean,selection_id_1,selection_id_2,implied_prob_1,implied_prob_2,odds_margin,implied_diff
1.21350743,Aslan Karatsev,Botic Van de Zandschulp,,,Aslan Karatsev,Aslan Karatsev,Botic Van De Zandschulp,2023-04-24,aslan karatsev,botic van de zandschulp,7659748,11204614,,,,
1.213507438,Daniel  Evans,Bernabe Zapata Miralles,,,Bernabe Zapata Miralles,Bernabe Zapata Miralles,Daniel Evans,2023-04-24,daniel  evans,bernabe zapata miralles,3103121,9630472,,,,
1.213531946,Jaume Munar,Matteo Arnaldi,,,Jaume Munar,Jaume Munar,Matteo Arnaldi,2023-04-24,jaume munar,matteo arnaldi,9350385,21067270,,,,
1.213534842,Yannick Hanfmann,Daniel Altmaier,,,Daniel Altmaier,Daniel Altmaier,Yannick Hanfmann,2023-04-24,yannick hanfmann,daniel altmaier,8639275,9632088,,,,
1.213534846,Yoshihito Nishioka,Andrey Rublev,,,Andrey Rublev,Andrey Rublev,Yoshihito Nishioka,2023-04-24,yoshihito nishioka,andrey rublev,7137497,7797771,,,,
1.213542544,Grigor Dimitrov,Carlos Alcaraz,,,Carlos Alcaraz,Carlos Alcaraz,Grigor Dimitrov,2023-04-24,grigor dimitrov,carlos alcaraz,3120169,25215583,,,,
1.213542633,Roberto Bautista Agut,Karen Khachanov,,,Karen Khachanov,Karen Khachanov,Roberto Bautista Agut,2023-04-24,roberto bautista agut,karen khachanov,4290403,7659623,,,,
1.213544899,Borna Coric,Hubert Hurkacz,,,Borna Coric,Borna Coric,Hubert Hurkacz,2023-04-24,borna coric,hubert hurkacz,7446579,19924838,,,,
1.213545183,Alejandro Davidovich Fokina,Holger Rune,,,Alejandro Davidovich Fokina,Alejandro Davidovich Fokina,Holger Rune,2023-04-24,alejandro davidovich fokina,holger rune,9953368,39127965,,,,
1.21355104,Hugo Grenier,Alexander Zverev,,,Alexander Zverev,Alexander Zverev,Hugo Grenier,2023-04-24,hugo grenier,alexander zverev,8813394,19924823,,,,
1.213575469,Dusan Lajovic,Jan-Lennard Struff,,,Jan Lennard Struff,Jan Lennard Struff,Dusan Lajovic,2023-04-24,dusan lajovic,jan lennard struff,4688724,8259098,,,,
1.21357701,Roman Safiullin,Bernabe Zapata Miralles,,,Bernabe Zapata Miralles,Bernabe Zapata Miralles,Roman Safiullin,2023-04-24,roman safiullin,bernabe zapata miralles,9125686,9630472,,,,
1.213577012,Aslan Karatsev,Alex De Minaur,,,Aslan Karatsev,Aslan Karatsev,Alex De Minaur,2023-04-24,aslan karatsev,alex de minaur,7659748,10109527,,,,
1.213582947,Pedro Cachin,Frances Tiafoe,,,Pedro Cachin,Pedro Cachin,Frances Tiafoe,2023-04-24,pedro cachin,frances tiafoe,8461316,19924839,,,,
1.213584215,Taylor Fritz,Cristian Garin,,,Taylor Fritz,Taylor Fritz,Cristian Garin,2023-04-24,taylor fritz,cristian garin,10279360,23814703,,,,
1.213585293,Zhizhen Zhang,Cameron Norrie,,,Zhizhen Zhang,Zhizhen Zhang,Cameron Norrie,2023-04-24,zhizhen zhang,cameron norrie,9628959,42669524,,,,
1.213588961,Stefanos Tsitsipas,Sebastian Baez,,,Stefanos Tsitsipas,Stefanos Tsitsipas,Sebastian Baez,2023-04-24,stefanos tsitsipas,sebastian baez,9193006,11285506,,,,
1.213626115,Karen Khachanov,Andrey Rublev,,,Karen Khachanov,Karen Khachanov,Andrey Rublev,2023-04-24,karen khachanov,andrey rublev,7659623,7797771,,,,
1.213636637,Alexander Zverev,Carlos Alcaraz,,,Carlos Alcaraz,Carlos Alcaraz,Alexander Zverev,2023-04-24,alexander zverev,carlos alcaraz,19924823,25215583,,,,
1.213641065,Jaume Munar,Daniel Altmaier,,,Daniel Altmaier,Daniel Altmaier,Jaume Munar,2023-04-24,jaume munar,daniel altmaier,9350385,9632088,,,,
1.213645765,Borna Coric,Alejandro Davidovich Fokina,,,Borna Coric,Borna Coric,Alejandro Davidovich Fokina,2023-04-24,borna coric,alejandro davidovich fokina,7446579,9953368,,,,
1.213671413,Aslan Karatsev,Daniil Medvedev,,,Aslan Karatsev,Aslan Karatsev,Daniil Medvedev,2023-04-24,aslan karatsev,daniil medvedev,7659748,19924831,,,,
