market_id,player_1,player_2,odds_player_1_x,odds_player_2_x,actual_winner,winner_name,loser_name,match_date,player_1_clean,player_2_clean,selection_id_1,selection_id_2,odds_player_1_y,odds_player_2_y,odds_player_1,odds_player_2,implied_prob_1,implied_prob_2,odds_margin,implied_diff
1.217524554,Kaia Kanepi,Barbora Strycova,1.32,4.1,Kaia Kanepi,Kaia Kanepi,Barbora Strycova,2023-08-28,kaia kanepi,barbora strycova,2250864,9416669,1.32,4.1,1.32,4.1,0.7575757575757576,0.24390243902439027,1.0014781966001478,0.5136733185513673
1.217524895,Ons Jabeur,Maria Camila Osorio Serrano,1.08,12.5,Ons Jabeur,Ons Jabeur,Camila Osorio,2023-08-28,ons jabeur,maria camila osorio serrano,6161111,23677835,1.08,12.5,1.08,10.0,0.9259259259259258,0.1,1.025925925925926,0.8259259259259258
1.217525312,Elena Rybakina,Marta Kostyuk,1.27,4.4,Elena Rybakina,Elena Rybakina,Marta Kostyuk,2023-08-28,elena rybakina,marta kostyuk,10349398,11694656,1.27,4.4,1.27,4.4,0.7874015748031495,0.22727272727272727,1.0146743020758768,0.5601288475304222
1.217526446,Sara Sorribes Tormo,Anhelina Kalinina,1.02,29.0,Sara Sorribes Tormo,Sara Sorribes Tormo,Anhelina Kalinina,2023-08-28,sara sorribes tormo,anhelina kalinina,6356637,8907168,1.02,29.0,1.02,10.0,0.9803921568627451,0.1,1.080392156862745,0.8803921568627451
1.217526836,Taylor Townsend,Varvara Gracheva,1.86,2.12,Taylor Townsend,Taylor Townsend,Varvara Gracheva,2023-08-28,taylor townsend,varvara gracheva,7066166,10942984,1.86,2.12,1.86,2.12,0.5376344086021505,0.4716981132075471,1.0093325218096976,0.06593629539460338
1.217526929,Madison Brengle,Linda Noskova,3.1,1.47,Linda Noskova,Linda Noskova,Madison Brengle,2023-08-28,madison brengle,linda noskova,2263603,22088831,3.1,1.47,3.1,1.47,0.3225806451612903,0.6802721088435374,1.0028527540048278,-0.3576914636822471
1.217527129,Yulia Putintseva,Martina Trevisan,1.63,1.39,Martina Trevisan,Martina Trevisan,Yulia Putintseva,2023-08-28,yulia putintseva,martina trevisan,4259580,9345630,1.63,1.39,1.63,1.39,0.6134969325153374,0.7194244604316548,1.332921392946992,-0.10592752791631732
1.217527467,Rebecca Marino,Patricia Maria Tig,50.0,1.02,Patricia Maria Tig,Patricia Maria Tig,Rebecca Marino,2023-08-28,rebecca marino,patricia maria tig,3444552,8679189,50.0,1.02,10.0,1.02,0.1,0.9803921568627451,1.080392156862745,-0.8803921568627451
1.217527617,Panna Udvardy,Ajla Tomlajnovic,8.6,1.15,Ajla Tomljanovic,Ajla Tomljanovic,Panna Udvardy,2023-08-28,panna udvardy,ajla tomlajnovic,11174011,20312427,8.6,1.15,8.6,1.15,0.11627906976744186,0.8695652173913044,0.9858442871587463,-0.7532861476238626
1.217527736,Marie Bouzkova,Ashlyn Krueger,1.03,34.0,Marie Bouzkova,Marie Bouzkova,Ashlyn Krueger,2023-08-28,marie bouzkova,ashlyn krueger,8442764,24143371,1.03,34.0,1.03,10.0,0.970873786407767,0.1,1.070873786407767,0.870873786407767
1.21752884,Jodie Burrage,Anna Blinkova,1.05,21.0,Jodie Burrage,Jodie Burrage,Anna Blinkova,2023-08-28,jodie burrage,anna blinkova,9631606,9635244,1.05,21.0,1.05,10.0,0.9523809523809523,0.1,1.0523809523809524,0.8523809523809524
