snapshot_date,match_date,winner,loser,player_1,player_2,odds_player_1,odds_player_2,implied_prob_1,implied_prob_2,bookmaker,actual_winner,p1_is_winner,p2_is_winner,odds_margin,implied_diff,won
2023-07-03,2023-07-03,Andrey Rublev,Max Purcell,Andrey Rublev,Max Purcell,1.07,8.5,0.9345794392523364,0.1176470588235294,Betway,Andrey Rublev,True,False,-0.05222649807586577,0.816932380428807,1
2023-07-03,2023-07-03,Andrey Rublev,Max Purcell,Andrey Rublev,Max Purcell,1.06,10.2,0.9433962264150942,0.0980392156862745,FanDuel,Andrey Rublev,True,False,-0.041435442101368736,0.8453570107288197,1
2023-07-03,2023-07-03,Andrey Rublev,Max Purcell,Andrey Rublev,Max Purcell,1.06,9.0,0.9433962264150942,0.1111111111111111,Betfair Sportsbook,Andrey Rublev,True,False,-0.05450733752620529,0.8322851153039832,1
2023-07-03,2023-07-03,Andrey Rublev,Max Purcell,Andrey Rublev,Max Purcell,1.07,8.5,0.9345794392523364,0.1176470588235294,Nordic Bet,Andrey Rublev,True,False,-0.05222649807586577,0.816932380428807,1
2023-07-03,2023-07-03,Andrey Rublev,Max Purcell,Andrey Rublev,Max Purcell,1.08,8.5,0.9259259259259258,0.1176470588235294,BetUS,Andrey Rublev,True,False,-0.04357298474945526,0.8082788671023964,1
2023-07-03,2023-07-03,Andrey Rublev,Max Purcell,Andrey Rublev,Max Purcell,1.08,8.0,0.9259259259259258,0.125,Virgin Bet,Andrey Rublev,True,False,-0.05092592592592582,0.8009259259259258,1
2023-07-03,2023-07-03,Andrey Rublev,Max Purcell,Andrey Rublev,Max Purcell,1.09,8.0,0.9174311926605504,0.125,Unibet,Andrey Rublev,True,False,-0.04243119266055029,0.7924311926605504,1
2023-07-03,2023-07-03,Andrey Rublev,Max Purcell,Andrey Rublev,Max Purcell,1.09,8.0,0.9174311926605504,0.125,Unibet,Andrey Rublev,True,False,-0.04243119266055029,0.7924311926605504,1
2023-07-03,2023-07-03,Andrey Rublev,Max Purcell,Andrey Rublev,Max Purcell,1.09,8.0,0.9174311926605504,0.125,Unibet,Andrey Rublev,True,False,-0.04243119266055029,0.7924311926605504,1
2023-07-03,2023-07-03,Andrey Rublev,Max Purcell,Andrey Rublev,Max Purcell,1.09,8.0,0.9174311926605504,0.125,TwinSpires,Andrey Rublev,True,False,-0.04243119266055029,0.7924311926605504,1
2023-07-03,2023-07-03,Andrey Rublev,Max Purcell,Andrey Rublev,Max Purcell,1.08,8.2,0.9259259259259258,0.1219512195121951,Betr,Andrey Rublev,True,False,-0.04787714543812083,0.8039747064137307,1
2023-07-03,2023-07-03,Andrey Rublev,Max Purcell,Andrey Rublev,Max Purcell,1.08,8.0,0.9259259259259258,0.125,LiveScore Bet,Andrey Rublev,True,False,-0.05092592592592582,0.8009259259259258,1
2023-07-03,2023-07-03,Andrey Rublev,Max Purcell,Andrey Rublev,Max Purcell,1.07,7.0,0.9345794392523364,0.1428571428571428,LeoVegas,Andrey Rublev,True,False,-0.07743658210947935,0.7917222963951936,1
2023-07-03,2023-07-03,Andrey Rublev,Max Purcell,Andrey Rublev,Max Purcell,1.06,10.0,0.9433962264150942,0.1,Paddy Power,Andrey Rublev,True,False,-0.04339622641509422,0.8433962264150943,1
2023-07-03,2023-07-03,Andrey Rublev,Max Purcell,Andrey Rublev,Max Purcell,1.07,8.5,0.9345794392523364,0.1176470588235294,Betsson,Andrey Rublev,True,False,-0.05222649807586577,0.816932380428807,1
2023-07-03,2023-07-03,Andrey Rublev,Max Purcell,Andrey Rublev,Max Purcell,1.05,9.0,0.9523809523809524,0.1111111111111111,TopSport,Andrey Rublev,True,False,-0.06349206349206349,0.8412698412698414,1
2023-07-03,2023-07-03,Andrey Rublev,Max Purcell,Andrey Rublev,Max Purcell,1.08,7.0,0.9259259259259258,0.1428571428571428,FOX Bet,Andrey Rublev,True,False,-0.06878306878306861,0.783068783068783,1
2023-07-03,2023-07-03,Andrey Rublev,Max Purcell,Andrey Rublev,Max Purcell,1.06,8.0,0.9433962264150942,0.125,888sport,Andrey Rublev,True,False,-0.06839622641509413,0.8183962264150942,1
2023-07-03,2023-07-03,Andrey Rublev,Max Purcell,Andrey Rublev,Max Purcell,1.07,8.5,0.9345794392523364,0.1176470588235294,Bet Victor,Andrey Rublev,True,False,-0.05222649807586577,0.816932380428807,1
2023-07-03,2023-07-03,Andrey Rublev,Max Purcell,Andrey Rublev,Max Purcell,1.08,7.5,0.9259259259259258,0.1333333333333333,William Hill (US),Andrey Rublev,True,False,-0.05925925925925912,0.7925925925925925,1
2023-07-03,2023-07-03,Andrey Rublev,Max Purcell,Andrey Rublev,Max Purcell,1.07,7.97,0.9345794392523364,0.1254705144291091,BlueBet,Andrey Rublev,True,False,-0.06004995368144561,0.8091089248232274,1
2023-07-03,2023-07-03,Andrey Rublev,Max Purcell,Andrey Rublev,Max Purcell,1.09,11.0,0.9174311926605504,0.0909090909090909,Betfair,Andrey Rublev,True,False,-0.008340283569641338,0.8265221017514595,1
2023-07-03,2023-07-03,Andrey Rublev,Max Purcell,Andrey Rublev,Max Purcell,1.09,11.0,0.9174311926605504,0.0909090909090909,Betfair,Andrey Rublev,True,False,-0.008340283569641338,0.8265221017514595,1
2023-07-03,2023-07-03,Andrey Rublev,Max Purcell,Andrey Rublev,Max Purcell,1.09,11.0,0.9174311926605504,0.0909090909090909,Betfair,Andrey Rublev,True,False,-0.008340283569641338,0.8265221017514595,1
2023-07-03,2023-07-03,Aslan Karatsev,Luca Van Assche,Aslan Karatsev,Luca Van Assche,1.76,2.05,0.5681818181818182,0.4878048780487805,SportsBet,Aslan Karatsev,True,False,-0.05598669623059882,0.08037694013303776,1
2023-07-03,2023-07-03,Aslan Karatsev,Luca Van Assche,Aslan Karatsev,Luca Van Assche,1.68,2.15,0.5952380952380952,0.4651162790697674,MyBookie.ag,Aslan Karatsev,True,False,-0.060354374307862724,0.13012181616832785,1
2023-07-03,2023-07-03,Aslan Karatsev,Luca Van Assche,Aslan Karatsev,Luca Van Assche,1.65,2.25,0.6060606060606061,0.4444444444444444,1xBet,Aslan Karatsev,True,False,-0.05050505050505061,0.16161616161616166,1
2023-07-03,2023-07-03,Aslan Karatsev,Luca Van Assche,Aslan Karatsev,Luca Van Assche,1.69,2.2,0.591715976331361,0.4545454545454545,Bovada,Aslan Karatsev,True,False,-0.046261430876815446,0.1371705217859065,1
2023-07-03,2023-07-03,Aslan Karatsev,Luca Van Assche,Aslan Karatsev,Luca Van Assche,1.81,2.13,0.5524861878453039,0.4694835680751174,Pinnacle,Aslan Karatsev,True,False,-0.021969755920421274,0.08300261977018653,1
2023-07-03,2023-07-03,Aslan Karatsev,Luca Van Assche,Aslan Karatsev,Luca Van Assche,1.63,2.28,0.6134969325153374,0.4385964912280702,Marathon Bet,Aslan Karatsev,True,False,-0.05209342374340764,0.17490044128726723,1
2023-07-03,2023-07-03,Aslan Karatsev,Luca Van Assche,Aslan Karatsev,Luca Van Assche,1.75,2.05,0.5714285714285714,0.4878048780487805,Ladbrokes,Aslan Karatsev,True,False,-0.059233449477351874,0.08362369337979092,1
2023-07-03,2023-07-03,Aslan Karatsev,Luca Van Assche,Aslan Karatsev,Luca Van Assche,1.68,2.15,0.5952380952380952,0.4651162790697674,Betclic,Aslan Karatsev,True,False,-0.060354374307862724,0.13012181616832785,1
2023-07-03,2023-07-03,Aslan Karatsev,Luca Van Assche,Aslan Karatsev,Luca Van Assche,1.75,2.05,0.5714285714285714,0.4878048780487805,Coral,Aslan Karatsev,True,False,-0.059233449477351874,0.08362369337979092,1
2023-07-03,2023-07-03,Aslan Karatsev,Luca Van Assche,Aslan Karatsev,Luca Van Assche,1.75,2.05,0.5714285714285714,0.4878048780487805,Ladbrokes,Aslan Karatsev,True,False,-0.059233449477351874,0.08362369337979092,1
2023-07-03,2023-07-03,Aslan Karatsev,Luca Van Assche,Aslan Karatsev,Luca Van Assche,1.6,2.23,0.625,0.4484304932735426,Mr Green,Aslan Karatsev,True,False,-0.07343049327354256,0.17656950672645738,1
2023-07-03,2023-07-03,Aslan Karatsev,Luca Van Assche,Aslan Karatsev,Luca Van Assche,1.63,2.28,0.6134969325153374,0.4385964912280702,Unibet,Aslan Karatsev,True,False,-0.05209342374340764,0.17490044128726723,1
