snapshot_date,match_date,winner,loser,player_1,player_2,odds_player_1,odds_player_2,implied_prob_1,implied_prob_2,bookmaker,actual_winner,p1_is_winner,p2_is_winner
2023-07-03,2023-07-03,Ana Bogdan,Liudmila Samsonova,Ana Bogdan,Liudmila Samsonova,3.3,1.34,0.303030303030303,0.7462686567164178,Unibet,Ana Bogdan,True,False
2023-07-03,2023-07-03,Ana Bogdan,Liudmila Samsonova,Ana Bogdan,Liudmila Samsonova,3.3,1.34,0.303030303030303,0.7462686567164178,Unibet,Ana Bogdan,True,False
2023-07-03,2023-07-03,Ana Bogdan,Liudmila Samsonova,Ana Bogdan,Liudmila Samsonova,3.3,1.34,0.303030303030303,0.7462686567164178,Unibet,Ana Bogdan,True,False
2023-07-03,2023-07-03,Ana Bogdan,Liudmila Samsonova,Ana Bogdan,Liudmila Samsonova,3.3,1.34,0.303030303030303,0.7462686567164178,TwinSpires,Ana Bogdan,True,False
2023-07-03,2023-07-03,Ana Bogdan,Liudmila Samsonova,Ana Bogdan,Liudmila Samsonova,3.25,1.33,0.3076923076923077,0.7518796992481203,LiveScore Bet,Ana Bogdan,True,False
2023-07-03,2023-07-03,Ana Bogdan,Liudmila Samsonova,Ana Bogdan,Liudmila Samsonova,3.15,1.3,0.3174603174603174,0.7692307692307692,LeoVegas,Ana Bogdan,True,False
2023-07-03,2023-07-03,Ana Bogdan,Liudmila Samsonova,Ana Bogdan,Liudmila Samsonova,3.4,1.3,0.2941176470588235,0.7692307692307692,Paddy Power,Ana Bogdan,True,False
2023-07-03,2023-07-03,Ana Bogdan,Liudmila Samsonova,Ana Bogdan,Liudmila Samsonova,3.1,1.33,0.3225806451612903,0.7518796992481203,FOX Bet,Ana Bogdan,True,False
2023-07-03,2023-07-03,Ana Bogdan,Liudmila Samsonova,Ana Bogdan,Liudmila Samsonova,3.4,1.4,0.2941176470588235,0.7142857142857143,Betfair,Ana Bogdan,True,False
2023-07-03,2023-07-03,Ana Bogdan,Liudmila Samsonova,Ana Bogdan,Liudmila Samsonova,3.4,1.4,0.2941176470588235,0.7142857142857143,Betfair,Ana Bogdan,True,False
2023-07-03,2023-07-03,Ana Bogdan,Liudmila Samsonova,Ana Bogdan,Liudmila Samsonova,3.4,1.4,0.2941176470588235,0.7142857142857143,Betfair,Ana Bogdan,True,False
2023-07-03,2023-07-03,Ana Bogdan,Liudmila Samsonova,Ana Bogdan,Liudmila Samsonova,3.3,1.35,0.303030303030303,0.7407407407407407,Betsson,Ana Bogdan,True,False
2023-07-03,2023-07-03,Ana Bogdan,Liudmila Samsonova,Ana Bogdan,Liudmila Samsonova,3.3,1.32,0.303030303030303,0.7575757575757576,TopSport,Ana Bogdan,True,False
2023-07-03,2023-07-03,Ana Bogdan,Liudmila Samsonova,Ana Bogdan,Liudmila Samsonova,3.3,1.32,0.303030303030303,0.7575757575757576,William Hill (US),Ana Bogdan,True,False
2023-07-03,2023-07-03,Ana Bogdan,Liudmila Samsonova,Ana Bogdan,Liudmila Samsonova,3.25,1.33,0.3076923076923077,0.7518796992481203,888sport,Ana Bogdan,True,False
2023-07-03,2023-07-03,Barbora Strycova,Maryna Zanevska,Barbora Strycova,Maryna Zanevska,1.58,2.38,0.6329113924050632,0.4201680672268907,Unibet,Barbora Strycova,True,False
2023-07-03,2023-07-03,Barbora Strycova,Maryna Zanevska,Barbora Strycova,Maryna Zanevska,1.63,2.56,0.6134969325153374,0.390625,Matchbook,Barbora Strycova,True,False
2023-07-03,2023-07-03,Barbora Strycova,Maryna Zanevska,Barbora Strycova,Maryna Zanevska,1.57,2.38,0.6369426751592356,0.4201680672268907,Barstool Sportsbook,Barbora Strycova,True,False
2023-07-03,2023-07-03,Barbora Strycova,Maryna Zanevska,Barbora Strycova,Maryna Zanevska,1.57,2.38,0.6369426751592356,0.4201680672268907,Casumo,Barbora Strycova,True,False
2023-07-03,2023-07-03,Barbora Strycova,Maryna Zanevska,Barbora Strycova,Maryna Zanevska,1.55,2.4,0.6451612903225806,0.4166666666666667,Ladbrokes,Barbora Strycova,True,False
2023-07-03,2023-07-03,Barbora Strycova,Maryna Zanevska,Barbora Strycova,Maryna Zanevska,1.63,2.38,0.6134969325153374,0.4201680672268907,Pinnacle,Barbora Strycova,True,False
2023-07-03,2023-07-03,Barbora Strycova,Maryna Zanevska,Barbora Strycova,Maryna Zanevska,1.55,2.32,0.6451612903225806,0.4310344827586207,Mr Green,Barbora Strycova,True,False
2023-07-03,2023-07-03,Barbora Strycova,Maryna Zanevska,Barbora Strycova,Maryna Zanevska,1.58,2.34,0.6329113924050632,0.4273504273504274,Betclic,Barbora Strycova,True,False
2023-07-03,2023-07-03,Barbora Strycova,Maryna Zanevska,Barbora Strycova,Maryna Zanevska,1.61,2.32,0.6211180124223602,0.4310344827586207,Marathon Bet,Barbora Strycova,True,False
2023-07-03,2023-07-03,Barbora Strycova,Maryna Zanevska,Barbora Strycova,Maryna Zanevska,1.55,2.4,0.6451612903225806,0.4166666666666667,Ladbrokes,Barbora Strycova,True,False
2023-07-03,2023-07-03,Barbora Strycova,Maryna Zanevska,Barbora Strycova,Maryna Zanevska,1.57,2.38,0.6369426751592356,0.4201680672268907,BetRivers,Barbora Strycova,True,False
2023-07-03,2023-07-03,Barbora Strycova,Maryna Zanevska,Barbora Strycova,Maryna Zanevska,1.61,2.3,0.6211180124223602,0.4347826086956522,Bet Victor,Barbora Strycova,True,False
2023-07-03,2023-07-03,Barbora Strycova,Maryna Zanevska,Barbora Strycova,Maryna Zanevska,1.62,2.41,0.6172839506172839,0.4149377593360995,LowVig.ag,Barbora Strycova,True,False
2023-07-03,2023-07-03,Barbora Strycova,Maryna Zanevska,Barbora Strycova,Maryna Zanevska,1.55,2.4,0.6451612903225806,0.4166666666666667,Coral,Barbora Strycova,True,False
2023-07-03,2023-07-03,Barbora Strycova,Maryna Zanevska,Barbora Strycova,Maryna Zanevska,1.58,2.34,0.6329113924050632,0.4273504273504274,MyBookie.ag,Barbora Strycova,True,False
2023-07-03,2023-07-03,Barbora Strycova,Maryna Zanevska,Barbora Strycova,Maryna Zanevska,1.59,2.4,0.6289308176100629,0.4166666666666667,Bovada,Barbora Strycova,True,False
2023-07-03,2023-07-03,Barbora Strycova,Maryna Zanevska,Barbora Strycova,Maryna Zanevska,1.55,2.4,0.6451612903225806,0.4166666666666667,Neds,Barbora Strycova,True,False
2023-07-03,2023-07-03,Barbora Strycova,Maryna Zanevska,Barbora Strycova,Maryna Zanevska,1.63,2.29,0.6134969325153374,0.4366812227074236,1xBet,Barbora Strycova,True,False
2023-07-03,2023-07-03,Barbora Strycova,Maryna Zanevska,Barbora Strycova,Maryna Zanevska,1.62,2.41,0.6172839506172839,0.4149377593360995,BetOnline.ag,Barbora Strycova,True,False
2023-07-03,2023-07-03,Barbora Strycova,Maryna Zanevska,Barbora Strycova,Maryna Zanevska,1.57,2.45,0.6369426751592356,0.4081632653061224,DraftKings,Barbora Strycova,True,False
2023-07-03,2023-07-03,Barbora Strycova,Maryna Zanevska,Barbora Strycova,Maryna Zanevska,1.6,2.35,0.625,0.425531914893617,PointsBet (AU),Barbora Strycova,True,False
2023-07-03,2023-07-03,Barbora Strycova,Maryna Zanevska,Barbora Strycova,Maryna Zanevska,1.6,2.35,0.625,0.425531914893617,TAB,Barbora Strycova,True,False
2023-07-03,2023-07-03,Barbora Strycova,Maryna Zanevska,Barbora Strycova,Maryna Zanevska,1.54,2.4,0.6493506493506493,0.4166666666666667,BetMGM,Barbora Strycova,True,False
