match_date,winner,loser,player_1,player_2,odds_player_1,odds_player_2,implied_prob_1,implied_prob_2,actual_winner,p1_is_winner,p2_is_winner,winner_clean,p1_clean,p2_clean,p1_won,p2_won,ev_p1,ev_p2,value_bet_on_p1,value_bet_on_p2,profit_p1,profit_p2,profit_total
2023-01-16,Juncheng Shang,Oscar Otte,Juncheng Shang,Oscar Otte,1.14,5.0,0.8771929824561404,0.2,Juncheng Shang,True,False,juncheng shang,juncheng shang,oscar otte,True,False,0.1228070175438595,-0.2,True,False,-0.8600000000000001,0.0,-0.8600000000000001
2023-01-16,Juncheng Shang,Oscar Otte,Juncheng Shang,Oscar Otte,1.17,5.0,0.8547008547008548,0.2,Juncheng Shang,True,False,juncheng shang,juncheng shang,oscar otte,True,False,0.1452991452991452,-0.2,True,False,-0.8300000000000001,0.0,-0.8300000000000001
2023-01-16,Juncheng Shang,Oscar Otte,Juncheng Shang,Oscar Otte,1.17,4.8,0.8547008547008548,0.2083333333333333,Juncheng Shang,True,False,juncheng shang,juncheng shang,oscar otte,True,False,0.1452991452991452,-0.2083333333333333,True,False,-0.8300000000000001,0.0,-0.8300000000000001
2023-01-16,Juncheng Shang,Oscar Otte,Juncheng Shang,Oscar Otte,1.17,4.5,0.8547008547008548,0.2222222222222222,Juncheng Shang,True,False,juncheng shang,juncheng shang,oscar otte,True,False,0.1452991452991452,-0.2222222222222222,True,False,-0.8300000000000001,0.0,-0.8300000000000001
2023-01-16,Juncheng Shang,Oscar Otte,Juncheng Shang,Oscar Otte,1.17,4.8,0.8547008547008548,0.2083333333333333,Juncheng Shang,True,False,juncheng shang,juncheng shang,oscar otte,True,False,0.1452991452991452,-0.2083333333333333,True,False,-0.8300000000000001,0.0,-0.8300000000000001
2023-01-16,Francisco Cerundolo,Guido Pella,Francisco Cerundolo,Guido Pella,1.02,15.0,0.9803921568627452,0.0666666666666666,Francisco Cerundolo,True,False,francisco cerundolo,francisco cerundolo,guido pella,True,False,0.0196078431372548,-0.0666666666666666,True,False,-0.98,0.0,-0.98
2023-01-16,Francisco Cerundolo,Guido Pella,Francisco Cerundolo,Guido Pella,1.02,12.5,0.9803921568627452,0.08,Francisco Cerundolo,True,False,francisco cerundolo,francisco cerundolo,guido pella,True,False,0.0196078431372548,-0.08,True,False,-0.98,0.0,-0.98
2023-01-16,Francisco Cerundolo,Guido Pella,Francisco Cerundolo,Guido Pella,1.01,21.0,0.99009900990099,0.0476190476190476,Francisco Cerundolo,True,False,francisco cerundolo,francisco cerundolo,guido pella,True,False,0.00990099009901,-0.0476190476190476,True,False,-0.99,0.0,-0.99
2023-01-16,Francisco Cerundolo,Guido Pella,Francisco Cerundolo,Guido Pella,1.02,16.0,0.9803921568627452,0.0625,Francisco Cerundolo,True,False,francisco cerundolo,francisco cerundolo,guido pella,True,False,0.0196078431372548,-0.0625,True,False,-0.98,0.0,-0.98
2023-01-16,Francisco Cerundolo,Guido Pella,Francisco Cerundolo,Guido Pella,1.02,11.0,0.9803921568627452,0.0909090909090909,Francisco Cerundolo,True,False,francisco cerundolo,francisco cerundolo,guido pella,True,False,0.0196078431372548,-0.0909090909090909,True,False,-0.98,0.0,-0.98
2023-01-16,Francisco Cerundolo,Guido Pella,Francisco Cerundolo,Guido Pella,1.02,12.0,0.9803921568627452,0.0833333333333333,Francisco Cerundolo,True,False,francisco cerundolo,francisco cerundolo,guido pella,True,False,0.0196078431372548,-0.0833333333333333,True,False,-0.98,0.0,-0.98
2023-01-16,Francisco Cerundolo,Guido Pella,Francisco Cerundolo,Guido Pella,1.02,12.0,0.9803921568627452,0.0833333333333333,Francisco Cerundolo,True,False,francisco cerundolo,francisco cerundolo,guido pella,True,False,0.0196078431372548,-0.0833333333333333,True,False,-0.98,0.0,-0.98
2023-01-16,Francisco Cerundolo,Guido Pella,Francisco Cerundolo,Guido Pella,1.01,4.4,0.99009900990099,0.2272727272727272,Francisco Cerundolo,True,False,francisco cerundolo,francisco cerundolo,guido pella,True,False,0.00990099009901,-0.2272727272727272,True,False,-0.99,0.0,-0.99
2023-01-16,Francisco Cerundolo,Guido Pella,Francisco Cerundolo,Guido Pella,1.3,160.0,0.7692307692307692,0.00625,Francisco Cerundolo,True,False,francisco cerundolo,francisco cerundolo,guido pella,True,False,0.2307692307692308,-0.00625,True,False,-0.7,0.0,-0.7
2023-01-16,Francisco Cerundolo,Guido Pella,Francisco Cerundolo,Guido Pella,1.04,18.0,0.9615384615384616,0.0555555555555555,Francisco Cerundolo,True,False,francisco cerundolo,francisco cerundolo,guido pella,True,False,0.0384615384615384,-0.0555555555555555,True,False,-0.96,0.0,-0.96
2023-01-16,Francisco Cerundolo,Guido Pella,Francisco Cerundolo,Guido Pella,1.06,36.0,0.9433962264150942,0.0277777777777777,Francisco Cerundolo,True,False,francisco cerundolo,francisco cerundolo,guido pella,True,False,0.0566037735849057,-0.0277777777777777,True,False,-0.94,0.0,-0.94
2023-01-16,Francisco Cerundolo,Guido Pella,Francisco Cerundolo,Guido Pella,1.03,27.06,0.970873786407767,0.0369549150036954,Francisco Cerundolo,True,False,francisco cerundolo,francisco cerundolo,guido pella,True,False,0.0291262135922329,-0.0369549150036954,True,False,-0.97,0.0,-0.97
2023-01-16,Francisco Cerundolo,Guido Pella,Francisco Cerundolo,Guido Pella,1.03,15.0,0.970873786407767,0.0666666666666666,Francisco Cerundolo,True,False,francisco cerundolo,francisco cerundolo,guido pella,True,False,0.0291262135922329,-0.0666666666666666,True,False,-0.97,0.0,-0.97
2023-01-16,Francisco Cerundolo,Guido Pella,Francisco Cerundolo,Guido Pella,1.01,19.0,0.99009900990099,0.0526315789473684,Francisco Cerundolo,True,False,francisco cerundolo,francisco cerundolo,guido pella,True,False,0.00990099009901,-0.0526315789473684,True,False,-0.99,0.0,-0.99
2023-01-16,Francisco Cerundolo,Guido Pella,Francisco Cerundolo,Guido Pella,1.02,15.0,0.9803921568627452,0.0666666666666666,Francisco Cerundolo,True,False,francisco cerundolo,francisco cerundolo,guido pella,True,False,0.0196078431372548,-0.0666666666666666,True,False,-0.98,0.0,-0.98
2023-01-16,Francisco Cerundolo,Guido Pella,Francisco Cerundolo,Guido Pella,1.02,11.0,0.9803921568627452,0.0909090909090909,Francisco Cerundolo,True,False,francisco cerundolo,francisco cerundolo,guido pella,True,False,0.0196078431372548,-0.0909090909090909,True,False,-0.98,0.0,-0.98
2023-01-16,Francisco Cerundolo,Guido Pella,Francisco Cerundolo,Guido Pella,1.02,11.0,0.9803921568627452,0.0909090909090909,Francisco Cerundolo,True,False,francisco cerundolo,francisco cerundolo,guido pella,True,False,0.0196078431372548,-0.0909090909090909,True,False,-0.98,0.0,-0.98
2023-01-16,Francisco Cerundolo,Guido Pella,Francisco Cerundolo,Guido Pella,1.0,15.0,1.0,0.0666666666666666,Francisco Cerundolo,True,False,francisco cerundolo,francisco cerundolo,guido pella,True,False,0.0,-0.0666666666666666,False,False,0.0,0.0,0.0
2023-01-16,Francisco Cerundolo,Guido Pella,Francisco Cerundolo,Guido Pella,1.02,17.0,0.9803921568627452,0.0588235294117647,Francisco Cerundolo,True,False,francisco cerundolo,francisco cerundolo,guido pella,True,False,0.0196078431372548,-0.0588235294117647,True,False,-0.98,0.0,-0.98
