player,bets,wins,winrate,total_staked,profit,roi,avg_ev
Jule Niemeier,1,0,0.0,18.47,-18.47,-100.0,0.2321
Cristian Garin,1,0,0.0,19.2,-19.2,-100.0,0.2151
Facundo Bagnis,1,0,0.0,10.07,-10.07,-100.0,0.0726
Timofey Skatov,1,0,0.0,21.82,-21.82,-100.0,0.554
Federico Coria,2,0,0.0,44.85,-44.85,-100.0,0.8644
Arthur Fils,1,0,0.0,20.1,-20.1,-100.0,0.1474
Quentin Halys,1,0,0.0,19.51,-19.51,-100.0,0.0894
Ilya Ivashka,1,0,0.0,19.05,-19.05,-100.0,0.1316
Yibing Wu,1,0,0.0,19.56,-19.56,-100.0,0.0929
Roberto Carballes Baena,1,0,0.0,10.14,-10.14,-100.0,0.0898
Dominic Thiem,1,0,0.0,22.69,-22.69,-100.0,0.5274
Richard Gasquet,1,0,0.0,19.17,-19.17,-100.0,0.1769
Brandon Nakashima,1,0,0.0,23.96,-23.96,-100.0,0.0906
Constant Lestienne,1,0,0.0,24.45,-24.45,-100.0,0.1633
Gijs Brouwer,1,0,0.0,24.95,-24.95,-100.0,0.3068
Alex Molcan,2,0,0.0,51.93,-51.93,-100.0,0.4491
Ryan Peniston,1,0,0.0,23.78,-23.78,-100.0,0.2689
Borna Gojo,1,0,0.0,24.26,-24.26,-100.0,0.0766
Sho Shimabukuro,1,0,0.0,24.44,-24.44,-100.0,0.4257
Dennis Novak,1,0,0.0,25.02,-25.02,-100.0,0.1028
Olivia Gadecki,1,0,0.0,23.26,-23.26,-100.0,0.0976
Storm Hunter,1,0,0.0,22.8,-22.8,-100.0,0.52
Linda Fruhvirtova,1,0,0.0,21.9,-21.9,-100.0,0.1908
Kamilla Rakhimova,1,0,0.0,22.34,-22.34,-100.0,0.267
Magdalena Frech,1,0,0.0,21.46,-21.46,-100.0,0.4269
Dominik Koepfer,1,0,0.0,22.57,-22.57,-100.0,0.1607
Daniel Evans,1,0,0.0,23.74,-23.74,-100.0,0.0921
Max Purcell,1,0,0.0,23.48,-23.48,-100.0,0.2742
Zachary Svajda,1,0,0.0,23.28,-23.28,-100.0,0.263
