match_date,winner,loser,player_1,player_2,odds_player_1,odds_player_2,implied_prob_1,implied_prob_2,bookmaker,actual_winner,p1_is_winner,p2_is_winner
2023-08-28,Adrian Mannarino,Yosuke Watanuki,Adrian Mannarino,Yosuke Watanuki,1.5,2.6,0.6666666666666666,0.3846153846153846,Nordic Bet,Adrian Mannarino,True,False
2023-08-28,Adrian Mannarino,Yosuke Watanuki,Adrian Mannarino,Yosuke Watanuki,1.44,2.7,0.6944444444444444,0.3703703703703703,BetMGM,Adrian Mannarino,True,False
2023-08-28,Adrian Mannarino,Yosuke Watanuki,Adrian Mannarino,Yosuke Watanuki,1.44,2.75,0.6944444444444444,0.3636363636363636,Unibet,Adrian Mannarino,True,False
2023-08-28,Adrian Mannarino,Yosuke Watanuki,Adrian Mannarino,Yosuke Watanuki,1.48,2.64,0.6756756756756757,0.3787878787878788,Betr,Adrian Mannarino,True,False
2023-08-28,Adrian Mannarino,Yosuke Watanuki,Adrian Mannarino,Yosuke Watanuki,1.44,2.75,0.6944444444444444,0.3636363636363636,Unibet,Adrian Mannarino,True,False
2023-08-28,Adrian Mannarino,Yosuke Watanuki,Adrian Mannarino,Yosuke Watanuki,1.44,2.75,0.6944444444444444,0.3636363636363636,Unibet,Adrian Mannarino,True,False
2023-08-28,Adrian Mannarino,Yosuke Watanuki,Adrian Mannarino,Yosuke Watanuki,1.48,2.62,0.6756756756756757,0.381679389312977,Virgin Bet,Adrian Mannarino,True,False
2023-08-28,Adrian Mannarino,Yosuke Watanuki,Adrian Mannarino,Yosuke Watanuki,1.46,2.64,0.684931506849315,0.3787878787878788,TopSport,Adrian Mannarino,True,False
2023-08-28,Adrian Mannarino,Yosuke Watanuki,Adrian Mannarino,Yosuke Watanuki,1.44,2.7,0.6944444444444444,0.3703703703703703,SuperBook,Adrian Mannarino,True,False
2023-08-28,Adrian Mannarino,Yosuke Watanuki,Adrian Mannarino,Yosuke Watanuki,1.44,2.75,0.6944444444444444,0.3636363636363636,Casumo,Adrian Mannarino,True,False
2023-08-28,Adrian Mannarino,Yosuke Watanuki,Adrian Mannarino,Yosuke Watanuki,1.44,2.75,0.6944444444444444,0.3636363636363636,BoyleSports,Adrian Mannarino,True,False
2023-08-28,Adrian Mannarino,Yosuke Watanuki,Adrian Mannarino,Yosuke Watanuki,1.45,2.78,0.6896551724137931,0.3597122302158274,BlueBet,Adrian Mannarino,True,False
