player,matches_played,total_profit,roi_percent
Nicolas Jarry,103,57.13999999999999,55.475728155339795
Nicolas Moreno De Alboran,86,-86.0,-100.0
Oleksii Krutykh,54,-54.0,-100.0
Ons Jabeur,63,7.360000000000001,11.682539682539684
Pablo Carreno Busta,60,5.810000000000001,9.683333333333335
Pavel Kotov,36,-36.0,-100.0
Pedro Cachin,47,-47.0,-100.0
Petra Kvitova,90,-16.730000000000004,-18.588888888888896
Petra Martic,8,5.79,72.375
Peyton Stearns,4,1.96,49.0
Qinwen Zheng,132,-10.72,-8.121212121212121
Quentin Halys,45,-45.0,-100.0
Radu Albot,87,-87.0,-100.0
Rafael Nadal,15,1.29,8.6
Rebecca Peterson,44,-44.0,-100.0
Rebeka Masarova,36,-36.0,-100.0
Richard Gasquet,47,-47.0,-100.0
Rinky Hijikata,78,67.14,86.07692307692308
Roberto Bautista Agut,41,4.170000000000002,10.170731707317078
Sara Sorribes Tormo,17,11.709999999999999,68.88235294117646
Sebastian Baez,83,144.99,174.6867469879518
Sebastian Korda,79,-34.660000000000004,-43.87341772151899
Sebastian Ofner,83,-6.900000000000001,-8.313253012048195
Shelby Rogers,32,4.789999999999997,14.968749999999991
Sho Shimabukuro,45,-45.0,-100.0
Shuai Zhang,52,5.510000000000002,10.596153846153848
Sloane Stephens,6,-6.0,-100.0
Sofia Kenin,55,33.65,61.18181818181818
Sorana Cirstea,42,11.99,28.547619047619047
Stefano Travaglia,45,-45.0,-100.0
Stefanos Tsitsipas,62,15.059999999999999,24.290322580645157
Steve Johnson,46,-46.0,-100.0
Storm Hunter,25,-25.0,-100.0
Tallon Griekspoor,118,-52.69,-44.652542372881356
Taro Daniel,69,-69.0,-100.0
Tatjana Maria,9,-9.0,-100.0
Taylor Townsend,32,14.979999999999999,46.81249999999999
Thanasi Kokkinakis,17,3.1799999999999984,18.705882352941167
Timofey Skatov,86,946.51,1100.593023255814
Titouan Droguet,47,281.18,598.2553191489362
Tomas Martin Etcheverry,84,45.32,53.95238095238095
Ugo Humbert,155,-17.349999999999998,-11.193548387096772
Varvara Gracheva,4,-4.0,-100.0
Veronika Kudermetova,104,-26.590000000000007,-25.5673076923077
Victoria Azarenka,84,-17.330000000000002,-20.630952380952383
Yafan Wang,5,5.9,118.0
Yanina Wickmayer,83,40.23,48.46987951807228
Yannick Hanfmann,76,-76.0,-100.0
Yibing Wu,79,58.02,73.44303797468355
Yoshihito Nishioka,121,-50.74,-41.93388429752066
Yosuke Watanuki,47,-47.0,-100.0
Yu Hsiou Hsu,87,374.14,430.04597701149424
Yulia Putintseva,6,-6.0,-100.0
Zachary Svajda,45,-45.0,-100.0
Zhizhen Zhang,81,30.900000000000002,38.148148148148145
Zizou Bergs,52,-52.0,-100.0
