market_id,player_1,player_2,odds_player_1,odds_player_2
1.210999306,Radu Albot,Jan-Lennard Struff,100.0,1.55
1.211000008,Alexei Popyrin,Taro Daniel,100.0,1.76
1.21100303,Federico Coria,Diego Schwartzman,2.96,1.53
1.211003031,Bernabe Zapata Miralles,Ugo Humbert,9.2,1.13
1.211003039,Albert Ramos-Vinolas,Alex Molcan,1.81,2.22
1.211003305,J.j. Wolf,Marton Fucsovics,17.5,1.06
1.211003317,Andy Murray,Tomas Martin Etcheverry,1.04,26.0
1.211003344,Jaume Munar,Yibing Wu,3.2,1.01
1.211003717,Guido Pella,Thiago Monteiro,1.01,55.0
1.21100373,Aleksandar Kovacevic,Marcos Giron,36.0,1.01
1.211003754,Pedro Martinez,Marc-Andrea Huesler,2.92,1.52
1.211004101,Nikoloz Basilashvili,Pedro Cachin,110.0,1.02
1.211004112,Jack Sock,Gregoire Barrere,2.42,1.67
1.211004136,Adrian Mannarino,Dominic Thiem,1.74,2.74
1.2110045,Ilya Ivashka,Roman Safiullin,2.22,1.82
1.211004523,Fabio Fognini,Ben Shelton,4.1,1.32
1.21100487,Jordan Thompson,Gael Monfils,1.71,2.4
1.211004906,Jiri Lehecka,Arthur Rinderknech,1.03,21.0
1.211005254,Laslo Djere,Oscar Otte,100.0,2.28
1.211005447,Brandon Nakashima,John Isner,2.06,100.0
1.211005578,Constant Lestienne,Emil Ruusuvuori,2.66,1.6
1.211005705,Jason Kubler,Lorenzo Sonego,3.0,1.5
1.21104703,Maximilian Marterer,Alejandro Tabilo,2.2,1.81
1.211047031,Cristian Garin,Daniel Elahi Galan,1.56,2.76
1.211047044,Roberto Carballes Baena,Taro Daniel,3.0,1.47
1.211047317,Tung-Lin Wu,Alexander Bublik,4.8,21.0
1.211047645,Brandon Holt,Thanasi Kokkinakis,4.5,1.27
1.211047822,Stan Wawrinka,Aleksandar Vukic,1.57,2.74
1.211048012,Alexei Popyrin,Zhizhen Zhang,1.64,2.48
1.211048269,Jack Draper,Leandro Riedi,1.63,2.6
1.211073508,Frances Tiafoe,Marcos Giron,1.4,3.5
1.211074863,Denis Shapovalov,Ugo Humbert,1.58,2.8
1.211074867,Botic Van de Zandschulp,Ilya Ivashka,1.59,2.68
1.211075054,Karen Khachanov,Oscar Otte,1.27,150.0
1.211079674,Alexander Zverev,Pedro Cachin,1.1,11.5
1.211079676,Roberto Bautista Agut,Emil Ruusuvuori,34.0,1.03
1.211079863,Brandon Nakashima,Daniil Medvedev,220.0,1.1
1.211081427,Grigor Dimitrov,Jason Kubler,200.0,1.01
1.211084223,Quentin Halys,Jan-Lennard Struff,2.2,1.03
1.211084707,Taro Daniel,Matteo Berrettini,1.01,14.0
1.211084708,Cristian Garin,Yoshihito Nishioka,2.46,1.69
1.211085693,Jiri Lehecka,Andrey Rublev,320.0,1.77
1.211090249,Diego Schwartzman,Casper Ruud,4.2,1.32
1.21109461,Jordan Thompson,Stefanos Tsitsipas,1.02,8.8
1.211095859,Maxime Cressy,Alejandro Tabilo,1.53,1.16
1.211128573,Mackenzie McDonald,Holger Rune,100.0,1.43
1.211129145,Stan Wawrinka,Miomir Kecmanovic,2.06,1.95
1.211131599,Jan-Lennard Struff,Tommy Paul,3.5,1.45
1.211134618,Carlos Alcaraz,Thanasi Kokkinakis,1.35,3.8
1.211136166,Taylor Fritz,Ben Shelton,1.01,100.0
1.211143815,Borna Coric,Alex Molcan,36.0,1.02
1.211143925,Alex De Minaur,Marton Fucsovics,100.0,1.01
1.211153532,Sebastian Baez,Rinky Hijikata,2.04,180.0
1.211162243,Lorenzo Musetti,Adrian Mannarino,34.0,1.01
1.211163226,Francisco Cerundolo,Jack Sock,1.94,2.06
1.211164289,Alexei Popyrin,Hubert Hurkacz,4.8,1.26
1.211197168,Cristian Garin,Casper Ruud,4.1,1.32
1.211206929,Jordan Thompson,Alejandro Tabilo,8.6,1.01
1.211207078,Alexander Zverev,Emil Ruusuvuori,1.25,5.3
1.211208714,Andy Murray,Radu Albot,1.02,4.3
1.211208921,Karen Khachanov,Alejandro Davidovich Fokina,3.9,1.01
1.211210134,Cameron Norrie,Taro Daniel,1.27,290.0
1.211211408,Frances Tiafoe,Jason Kubler,1.3,4.3
1.21121294,Andrey Rublev,Ugo Humbert,1.29,4.4
1.211259816,Marton Fucsovics,Alex Molcan,1.7,2.42
1.211261422,Jack Draper,Andy Murray,1.76,26.0
1.211267188,Francisco Cerundolo,Felix Auger-Aliassime,5.5,1.03
1.211267602,Jannik Sinner,Adrian Mannarino,1.13,8.6
1.211269975,Taylor Fritz,Sebastian Baez,1.16,7.6
1.211271699,Stan Wawrinka,Holger Rune,1.01,50.0
1.211272368,Carlos Alcaraz,Tallon Griekspoor,1.01,8.4
1.211316177,Cristian Garin,Alejandro Davidovich Fokina,2.68,1.6
