player_staked,stake,player_payout,bankroll,source_file
Marcos Giron,20.23260825591242,53.616411878167916,1045.0142164178765,value_bets_atp_french_open_2023_deduped.csv
Frances Tiafoe,20.90028432835753,40.546551597013604,1064.6604836865326,value_bets_atp_french_open_2023_deduped.csv
Radu Albot,21.293209673730654,0.0,1043.367274012802,value_bets_atp_french_open_2023_deduped.csv
Sebastian Ofner,20.86734548025604,51.124996426627305,1073.6249249591733,value_bets_atp_french_open_2023_deduped.csv
Ugo Humbert,21.472498499183466,0.0,1052.1524264599898,value_bets_atp_french_open_2023_deduped.csv
Hugo Gaston,21.043048529199798,0.0,1031.10937793079,value_bets_atp_french_open_2023_deduped.csv
Max Purcell,20.622187558615803,43.306593873093185,1053.7937842452675,value_bets_atp_french_open_2023_deduped.csv
Lloyd Harris,21.075875684905352,0.0,1032.717908560362,value_bets_atp_french_open_2023_deduped.csv
Giulio Zeppieri,20.654358171207242,38.417106198445474,1050.4806565876004,value_bets_atp_french_open_2023_deduped.csv
Miomir Kecmanovic,21.00961313175201,0.0,1029.4710434558483,value_bets_atp_french_open_2023_deduped.csv
Tommy Paul,20.589420869116967,29.236977634146093,1038.1186002208774,value_bets_atp_french_open_2023_deduped.csv
Giovanni Mpetshi Perricard,20.76237200441755,0.0,1017.3562282164598,value_bets_atp_french_open_2023_deduped.csv
Richard Gasquet,20.347124564329196,0.0,997.0091036521306,value_bets_atp_french_open_2023_deduped.csv
Timofey Skatov,19.940182073042614,0.0,977.068921579088,value_bets_atp_french_open_2023_deduped.csv
Thiago Seyboth Wild,19.541378431581762,195.41378431581762,1152.941327463324,value_bets_atp_french_open_2023_deduped.csv
Gregoire Barrere,23.058826549266477,0.0,1129.8825009140573,value_bets_atp_french_open_2023_deduped.csv
Quentin Halys,22.597650018281147,0.0,1107.2848508957761,value_bets_atp_french_open_2023_deduped.csv
Jaume Munar,22.145697017915523,0.0,1085.1391538778605,value_bets_atp_french_open_2023_deduped.csv
Zhizhen Zhang,21.70278307755721,32.98823027788696,1096.4246010781903,value_bets_atp_french_open_2023_deduped.csv
Emilio Nava,21.92849202156381,0.0,1074.4961090566264,value_bets_atp_us_open_2023_deduped.csv
Titouan Droguet,21.489922181132528,139.68449417736144,1192.6906810528553,value_bets_atp_us_open_2023_deduped.csv
Pedro Cachin,23.853813621057107,0.0,1168.8368674317983,value_bets_atp_us_open_2023_deduped.csv
Yosuke Watanuki,23.376737348635967,0.0,1145.4601300831623,value_bets_atp_us_open_2023_deduped.csv
Dominic Thiem,22.909202601663246,54.52390219195852,1177.0748296734575,value_bets_atp_us_open_2023_deduped.csv
Marcos Giron,23.54149659346915,0.0,1153.5333330799883,value_bets_atp_us_open_2023_deduped.csv
Juan Manuel Cerundolo,23.070666661599766,70.36553331787928,1200.8281997362678,value_bets_atp_us_open_2023_deduped.csv
Dominic Stricker,24.016563994725356,57.63975358734085,1234.4513893288834,value_bets_atp_us_open_2023_deduped.csv
Stefano Travaglia,24.689027786577668,0.0,1209.7623615423056,value_bets_atp_us_open_2023_deduped.csv
Ethan Quinn,24.195247230846114,0.0,1185.5671143114596,value_bets_atp_us_open_2023_deduped.csv
Jiri Vesely,23.711342286229193,63.54639732709424,1225.4021693523246,value_bets_atp_us_open_2023_deduped.csv
Laslo Djere,24.50804338704649,60.53486716600484,1261.4289931312828,value_bets_atp_us_open_2023_deduped.csv
Zachary Svajda,25.228579862625658,0.0,1236.2004132686573,value_bets_atp_us_open_2023_deduped.csv
Marco Cecchinato,24.724008265373147,0.0,1211.476405003284,value_bets_atp_us_open_2023_deduped.csv
Juan Pablo Varillas,24.229528100065682,109.03287645029557,1296.279753353514,value_bets_atp_us_open_2023_deduped.csv
Radu Albot,25.92559506707028,0.0,1270.3541582864436,value_bets_atp_us_open_2023_deduped.csv
Yoshihito Nishioka,25.407083165728874,0.0,1244.9470751207148,value_bets_atp_us_open_2023_deduped.csv
Nicolas Moreno De Alboran,24.898941502414296,0.0,1220.0481336183004,value_bets_atp_us_open_2023_deduped.csv
Taro Daniel,24.40096267236601,0.0,1195.6471709459345,value_bets_atp_us_open_2023_deduped.csv
Ugo Humbert,23.91294341891869,0.0,1171.7342275270157,value_bets_atp_us_open_2023_deduped.csv
Aleksandar Vukic,23.434684550540315,0.0,1148.2995429764753,value_bets_atp_us_open_2023_deduped.csv
Michael Mmoh,22.96599085952951,51.673479433941395,1177.0070315508872,value_bets_atp_us_open_2023_deduped.csv
Sebastian Baez,23.540140631017746,64.7353867352988,1218.2022776551682,value_bets_atp_us_open_2023_deduped.csv
Yu Hsiou Hsu,24.364045553103367,146.1842733186202,1340.022505420685,value_bets_atp_us_open_2023_deduped.csv
Alex Molcan,26.800450108413703,0.0,1313.2220553122713,value_bets_atp_us_open_2023_deduped.csv
Alexander Shevchenko,26.264441106245428,0.0,1286.957614206026,value_bets_atp_us_open_2023_deduped.csv
Corentin Moutet,25.739152284120518,0.0,1261.2184619219054,value_bets_atp_us_open_2023_deduped.csv
Donna Vekic,25.224369238438108,34.30514216427583,1270.299234847743,value_bets_wta_aus_open_2023_deduped.csv
Nadia Podoroska,24.181238637731354,0.0,1246.1179962100116,value_bets_wta_aus_open_2023_deduped.csv
Viktoria Hruncakova,24.922359924200233,0.0,1221.1956362858114,value_bets_wta_french_open_2023_deduped.csv
Marta Kostyuk,24.423912725716228,0.0,1196.771723560095,value_bets_wta_french_open_2023_deduped.csv
Jessika Ponchet,23.9354344712019,0.0,1172.8362890888932,value_bets_wta_french_open_2023_deduped.csv
Danielle Collins,23.456725781777862,0.0,1149.3795633071154,value_bets_wta_french_open_2023_deduped.csv
Madison Brengle,22.98759126614231,0.0,1126.391972040973,value_bets_wta_french_open_2023_deduped.csv
Katie Volynets,22.527839440819463,0.0,1103.8641326001537,value_bets_wta_french_open_2023_deduped.csv
Tereza Martincova,22.077282652003074,0.0,1081.7868499481506,value_bets_wta_french_open_2023_deduped.csv
Alycia Parks,21.63573699896301,0.0,1060.1511129491876,value_bets_wta_french_open_2023_deduped.csv
Dalma Galfi,21.20302225898375,0.0,1038.9480906902038,value_bets_wta_french_open_2023_deduped.csv
Elina Avanesyan,20.778961813804077,145.45273269662854,1163.6218615730284,value_bets_wta_french_open_2023_deduped.csv
Ana Bogdan,23.272437231460568,0.0,1140.3494243415678,value_bets_wta_french_open_2023_deduped.csv
Kaia Kanepi,22.806988486831354,0.0,1117.5424358547364,value_bets_wta_french_open_2023_deduped.csv
Dayana Yastremska,22.350848717094728,0.0,1095.1915871376416,value_bets_wta_french_open_2023_deduped.csv
Anna Karolina Schmiedlova,21.903831742752832,153.32682219926983,1226.6145775941586,value_bets_wta_french_open_2023_deduped.csv
Maryna Zanevska,24.532291551883173,0.0,1202.0822860422754,value_bets_wta_french_open_2023_deduped.csv
Katerina Siniakova,24.04164572084551,0.0,1178.04064032143,value_bets_wta_french_open_2023_deduped.csv
Camila Giorgi,23.560812806428597,0.0,1154.4798275150013,value_bets_wta_french_open_2023_deduped.csv
Camila Osorio,23.089596550300026,0.0,1131.3902309647012,value_bets_wta_french_open_2023_deduped.csv
Bernarda Pera,22.627804619294025,50.91256039341155,1159.6749867388187,value_bets_wta_french_open_2023_deduped.csv
Anna Blinkova,23.193499734776374,69.58049920432913,1206.0619862083715,value_bets_wta_french_open_2023_deduped.csv
Kayla Day,24.12123972416743,115.78195067600366,1297.7226971602076,value_bets_wta_french_open_2023_deduped.csv
Daria Kasatkina,25.954453943204154,77.60381729018043,1349.372060507184,value_bets_wta_french_open_2023_deduped.csv
Danka Kovinic,26.98744121014368,0.0,1322.3846192970402,value_bets_wta_french_open_2023_deduped.csv
Kateryna Baindl,26.447692385940805,0.0,1295.9369269110994,value_bets_wta_french_open_2023_deduped.csv
Lucia Bronzetti,25.918738538221987,0.0,1270.0181883728774,value_bets_wta_french_open_2023_deduped.csv
Fiona Ferro,25.40036376745755,0.0,1244.6178246054199,value_bets_wta_french_open_2023_deduped.csv
Petra Martic,24.892356492108398,43.561623861189695,1263.2870919745012,value_bets_wta_french_open_2023_deduped.csv
Anastasia Pavlyuchenkova,25.265741839490026,78.32379970241908,1316.3451498374302,value_bets_wta_french_open_2023_deduped.csv
Aliona Bolsova,26.326902996748604,0.0,1290.0182468406815,value_bets_wta_french_open_2023_deduped.csv
Bianca Andreescu,25.80036493681363,65.79093058887474,1330.0088124927427,value_bets_wta_french_open_2023_deduped.csv
Jasmine Paolini,26.600176249854854,81.92854284955295,1385.3371790924407,value_bets_wta_french_open_2023_deduped.csv
Clara Burel,27.706743581848816,0.0,1357.630435510592,value_bets_wta_french_open_2023_deduped.csv
Cristina Bucsa,27.15260871021184,0.0,1330.4778268003802,value_bets_wta_us_open_2023_deduped.csv
Clervie Ngounoue,26.609556536007602,0.0,1303.8682702643725,value_bets_wta_us_open_2023_deduped.csv
Kamilla Rakhimova,26.077365405287452,0.0,1277.790904859085,value_bets_wta_us_open_2023_deduped.csv
Storm Hunter,25.5558180971817,0.0,1252.2350867619034,value_bets_wta_us_open_2023_deduped.csv
Fiona Ferro,25.044701735238068,0.0,1227.1903850266654,value_bets_wta_us_open_2023_deduped.csv
Olivia Gadecki,22.05083097090322,0.0,1205.1395540557621,value_bets_wta_us_open_2023_deduped.csv
Linda Fruhvirtova,24.102791081115242,0.0,1181.036762974647,value_bets_wta_us_open_2023_deduped.csv
Nadia Podoroska,23.62073525949294,0.0,1157.416027715154,value_bets_wta_us_open_2023_deduped.csv
Lucia Bronzetti,23.148320554303083,111.1119386606548,1245.3796458215058,value_bets_wta_us_open_2023_deduped.csv
Arantxa Rus,24.90759291643012,0.0,1220.4720529050758,value_bets_wta_us_open_2023_deduped.csv
Claire Liu,24.409441058101518,0.0,1196.0626118469743,value_bets_wta_us_open_2023_deduped.csv
Camila Giorgi,23.921252236939488,0.0,1172.141359610035,value_bets_wta_us_open_2023_deduped.csv
Alycia Parks,23.4428271922007,0.0,1148.6985324178343,value_bets_wta_us_open_2023_deduped.csv
