match,side,odds,ev,stake,win,profit,player_staked,player_payout,bankroll
Nadia Podoroska vs Tereza Martincova,p1,3.35,0.1760000461732052,20.0,True,47.0,Nadia Podoroska,67.0,1047.0
Jil Teichmann vs Magda Linette,p1,2.3,0.1187137128453057,20.94,False,-20.94,Jil Teichmann,0.0,1026.06
Claire Liu vs Lesia Tsurenko,p1,3.4,0.1702171869882103,20.5212,False,-20.5212,Claire Liu,0.0,1005.5387999999999
Cristina Bucsa vs Kamilla Rakhimova,p1,1.71,0.0887939109830893,20.110775999999998,True,14.278650959999997,Cristina Bucsa,34.389426959999994,1019.81745096
Ana Bogdan vs Liudmila Samsonova,p1,3.25,0.0878919507787012,20.3963490192,True,45.89178529319999,Ana Bogdan,66.28813431239999,1065.7092362532
Kaia Kanepi vs Veronika Kudermetova,p1,10.0,0.933435854484171,21.314184725064003,False,-21.314184725064003,Kaia Kanepi,0.0,1044.395051528136
Diane Parry vs Harriet Dart,p1,3.35,0.1595419775070861,20.88790103056272,True,49.086567421822394,Diane Parry,69.97446845238511,1093.4816189499584
Kateryna Baindl vs Leylah Fernandez,p1,4.2,0.1566888844412224,21.869632378999167,False,-21.869632378999167,Kateryna Baindl,0.0,1071.6119865709593
Martina Trevisan vs Sara Sorribes Tormo,p1,3.4,0.0905600238374513,21.432239731419187,False,-21.432239731419187,Martina Trevisan,0.0,1050.17974683954
Mayar Sherif vs Rebeka Masarova,p1,1.96,0.0809859252035136,21.0035949367908,False,-21.0035949367908,Mayar Sherif,0.0,1029.1761519027493
Katerina Siniakova vs Qinwen Zheng,p1,2.0,0.0632850841699541,20.583523038054988,True,20.583523038054988,Katerina Siniakova,41.167046076109976,1049.7596749408044
Belinda Bencic vs Katie Swan,p1,1.48,0.0580129682144601,20.99519349881609,True,10.077692879431723,Belinda Bencic,31.072886378247812,1059.837367820236
Caroline Dolehide vs Daria Kasatkina,p1,6.0,0.3401430134621712,21.19674735640472,False,-21.19674735640472,Caroline Dolehide,0.0,1038.6406204638313
Anna Blinkova vs Yanina Wickmayer,p1,2.05,0.067747170748986,20.772812409276625,True,21.811453029740456,Anna Blinkova,42.58426543901708,1060.4520734935718
Greet Minnen vs Jelena Ostapenko,p1,4.1,0.1617063433188799,21.209041469871437,False,-21.209041469871437,Greet Minnen,0.0,1039.2430320237004
Jule Niemeier vs Karolina Muchova,p1,3.65,0.1295981387034144,20.784860640474008,True,55.079880697256115,Jule Niemeier,75.86474133773012,1094.3229127209565
Anna Bondar vs Bianca Andreescu,p1,4.9,0.2985220375055797,21.886458254419132,False,-21.886458254419132,Anna Bondar,0.0,1072.4364544665375
Diane Parry vs Petra Martic,p1,2.95,0.0822954717032908,21.44872908933075,False,-21.44872908933075,Diane Parry,0.0,1050.9877253772067
Jaqueline Cristian vs Lucia Bronzetti,p1,3.7,0.1393255273048663,21.019754507544135,True,56.753337170369164,Jaqueline Cristian,77.7730916779133,1107.741062547576
Dalma Galfi vs Linda Noskova,p1,2.97,0.0637922471686418,22.154821250951517,True,43.6449978643745,Dalma Galfi,65.79981911532602,1151.3860604119504
Cristina Bucsa vs Jessica Pegula,p1,5.75,0.3316648369814823,23.027721208239008,False,-23.027721208239008,Cristina Bucsa,0.0,1128.3583392037115
Alycia Parks vs Ana Bogdan,p1,2.6,0.0716664481422182,22.567166784074228,False,-22.567166784074228,Alycia Parks,0.0,1105.7911724196372
Anett Kontaveit vs Lucrezia Stefanini,p1,1.54,0.0555578038967921,22.115823448392742,True,11.942544662132082,Anett Kontaveit,34.058368110524825,1117.7337170817693
Rebecca Peterson vs Sloane Stephens,p1,2.8,0.0505888363574205,22.354674341635388,False,-22.354674341635388,Rebecca Peterson,0.0,1095.3790427401339
Daria Saville vs Katie Boulter,p1,3.2,0.1031788518436858,21.907580854802678,False,-21.907580854802678,Daria Saville,0.0,1073.471461885331
Jasmine Paolini vs Petra Kvitova,p1,7.0,0.4275604593787097,21.469429237706624,False,-21.469429237706624,Jasmine Paolini,0.0,1052.0020326476244
Magdalena Frech vs Ons Jabeur,p1,3.95,0.1559317120767269,21.040040652952488,False,-21.040040652952488,Magdalena Frech,0.0,1030.961991994672
Anna Karolina Schmiedlova vs Viktorija Golubic,p1,3.3,0.0979044182541697,20.61923983989344,False,-20.61923983989344,Anna Karolina Schmiedlova,0.0,1010.3427521547785
Sorana Cirstea vs Tatjana Maria,p1,1.81,0.0522764900833916,20.20685504309557,True,16.36755258490741,Sorana Cirstea,36.57440762800298,1026.7103047396859
Nadia Podoroska vs Victoria Azarenka,p1,4.0,0.1203860627574884,20.534206094793717,False,-20.534206094793717,Nadia Podoroska,0.0,1006.1760986448921
