market_id,player_1,player_2,odds_player_1_x,odds_player_2_x,actual_winner,winner_name,loser_name,match_date,player_1_clean,player_2_clean,selection_id_1,selection_id_2,odds_player_1_y,odds_player_2_y,odds_player_1,odds_player_2,implied_prob_1,implied_prob_2,odds_margin,implied_diff,player_1_won,pred_prob_player_1,ev,kelly_stake,expected_value,predicted_prob,odds,odds_2,implied_prob,winner,source_file,confidence,stake,tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points,market_time_x,market_name_x,runner_1_x,runner_2_x,timestamp_x,market_time_y,market_name_y,runner_name_x,runner_1_y,runner_2_y,timestamp_y,market_time,market_name,runner_name_y,runner_1,runner_2,implied_prob_diff,log_odds_diff,is_fav_player_1,label,player,match_id,pred_prob,won,strategy,payout,final_bankroll,max_drawdown
1.208871359,Donna Vekic,Nuria Parrizas Diaz,1.39,3.7,Donna Vekic,Donna Vekic,Nuria Parrizas Diaz,2023-01-16,donna vekic,nuria parrizas diaz,6603944.0,9364864.0,1.39,3.7,1.39,3.7,0.7194244604316548,0.2702702702702702,0.989694730701925,0.4491541901613845,,0.95,0.3204999999999998,0.8217948717948715,0.3204999999999998,0.95,1.39,3.7,0.7194244604316548,1,ausopen_2023_wta_value_bets.csv,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,flat,2.4,1101.7099999999998,3.5299999999997453
1.208871234,Shuai Zhang,Katie Volynets,1.39,3.6,Shuai Zhang,Shuai Zhang,Katie Volynets,2023-01-16,shuai zhang,katie volynets,2386498.0,13369546.0,1.39,3.6,1.39,3.6,0.7194244604316548,0.2777777777777778,0.9972022382094324,0.4416466826538769,,0.95,0.3204999999999998,0.8217948717948715,0.3204999999999998,0.95,1.39,3.6,0.7194244604316548,1,ausopen_2023_wta_value_bets.csv,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,flat,0.3999999999999999,1101.7099999999998,3.5299999999997453
1.20883355,Barbora Krejcikova,Anhelina Kalinina,1.81,2.22,Barbora Krejcikova,Barbora Krejcikova,Anhelina Kalinina,2023-01-16,barbora krejcikova,anhelina kalinina,8784972.0,8907168.0,1.81,2.22,1.81,2.22,0.5524861878453039,0.4504504504504504,1.0029366382957543,0.1020357373948535,,0.7199215234841285,0.3030579575062726,0.3741456265509538,0.3030579575062726,0.7199215234841285,1.81,2.22,0.5524861878453039,1,ausopen_2023_wta_value_bets.csv,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,flat,1.0,1101.7099999999998,3.5299999999997453
1.208838496,Jessica Pegula,Marta Kostyuk,1.36,3.85,Jessica Pegula,Jessica Pegula,Marta Kostyuk,2023-01-16,jessica pegula,marta kostyuk,6215852.0,11694656.0,1.36,3.85,1.36,3.85,0.7352941176470588,0.2597402597402597,0.9950343773873184,0.475553857906799,,0.95,0.292,0.811111111111111,0.292,0.95,1.36,3.85,0.7352941176470588,1,ausopen_2023_wta_value_bets.csv,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,flat,2.75,1101.7099999999998,3.5299999999997453
1.208566312,Petra Kvitova,Alison Van Uytvanck,1.3,4.9,Petra Kvitova,Petra Kvitova,Alison Van Uytvanck,2023-01-16,petra kvitova,alison van uytvanck,2497008.0,5548385.0,1.3,4.9,1.3,4.9,0.7692307692307692,0.2040816326530612,0.9733124018838304,0.5651491365777079,,0.95,0.2349999999999998,0.7833333333333332,0.2349999999999998,0.95,1.3,4.9,0.7692307692307692,1,ausopen_2023_wta_value_bets.csv,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,flat,2.2,1101.7099999999998,3.5299999999997453
1.208566344,Elena Rybakina,Elisabetta Cocciaretto,1.29,3.7,Elena Rybakina,Elena Rybakina,Elisabetta Cocciaretto,2023-01-16,elena rybakina,elisabetta cocciaretto,10349398.0,18848114.0,1.29,3.7,1.29,3.7,0.7751937984496123,0.2702702702702702,1.0454640687198826,0.504923528179342,,0.95,0.2255,0.7775862068965516,0.2255,0.95,1.29,3.7,0.7751937984496123,1,ausopen_2023_wta_value_bets.csv,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,flat,2.0,1101.7099999999998,3.5299999999997453
1.217515267,Andy Murray,Corentin Moutet,,,Andy Murray,Andy Murray,Corentin Moutet,2023-08-28,,,2256509.0,8842291.0,,,1.32,1000.0,0.7575757575757576,0.001,-0.2414242424242424,0.7565757575757576,,0.9511162280894628,,798.3544408690337,0.2554734210780908,0.9511162280894628,1.32,1000.0,0.7575757575757576,1,crossslam_atp_usopen_eval_value_bets.csv,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,flat,1.2999999999999998,1101.7099999999998,3.5299999999997453
1.217525693,Dominic Thiem,Alexander Bublik,,,Dominic Thiem,Dominic Thiem,Alexander Bublik,2023-08-28,,,5720747.0,8907933.0,,,2.4,140.0,0.4166666666666667,0.0071428571428571,-0.5761904761904761,0.4095238095238095,,0.8242646316303851,,698.7393685092317,0.9782351159129242,0.8242646316303851,2.4,140.0,0.4166666666666667,1,crossslam_atp_usopen_eval_value_bets.csv,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,flat,0.7,1101.7099999999998,3.5299999999997453
1.217611023,Francisco Cerundolo,Zachary Svajda,,,Francisco Cerundolo,Francisco Cerundolo,Zachary Svajda,2023-08-28,,,11204210.0,20832494.0,,,1.43,100.0,0.6993006993006994,0.01,-0.2906993006993006,0.6893006993006994,,0.936541686331278,,788.9642126830872,0.3392546114537275,0.936541686331278,1.43,100.0,0.6993006993006994,1,crossslam_atp_usopen_eval_value_bets.csv,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,flat,0.5800000000000001,1101.7099999999998,3.5299999999997453
1.217612742,Tomas Martin Etcheverry,Otto Virtanen,,,Tomas Martin Etcheverry,Tomas Martin Etcheverry,Otto Virtanen,2023-08-28,,,9631399.0,11694730.0,,,1.63,60.0,0.6134969325153374,0.0166666666666666,-0.3698364008179958,0.5968302658486707,,0.9098954926229036,,766.8724650402107,0.4831296529753326,0.9098954926229036,1.63,60.0,0.6134969325153374,1,crossslam_atp_usopen_eval_value_bets.csv,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,flat,0.44999999999999996,1101.7099999999998,3.5299999999997453
